DateTime,Entries,UniqueIPs
1472710921,30164,31489
1472711581,30173,31498
1472712122,30185,31513
1472712721,30191,31521
1472712962,30191,31521
1472713322,30192,31523
1472713922,30196,31526
1472714521,30200,31532
1472715721,30204,31537
1472716563,30210,31543
1472716921,30217,31550
1472718122,30234,31567
1472718721,30234,31567
1472719322,30236,31565
1472720163,30219,31548
1472720521,30211,31540
1472721721,30208,31536
1472722322,30211,31539
1472722922,30222,31552
1472723522,30235,31567
1472724121,30256,31591
1472724721,30261,31595
1472725321,30265,31599
1472725922,30271,31606
1472726522,30274,31610
1472727121,30295,31633
1472727362,30301,31639
1472727721,30300,31638
1472728322,30301,31638
1472728921,30302,31640
1472729522,30307,31645
1472730122,30310,31648
1472730721,30309,31647
1472730962,30309,31648
1472731321,30313,31654
1472731922,30314,31655
1472732521,30333,31674
1472733722,30346,31688
1472734322,30351,31691
1472734562,30338,31678
1472734921,30341,31681
1472735522,30342,31682
1472736122,30342,31682
1472736722,30350,31691
1472737321,30361,31702
1472738454,30362,31703
1472738522,30369,31709
1472739122,30375,31715
1472739722,30373,31714
1472740322,30374,31715
1472740921,30375,31716
1472741521,30375,31717
1472741762,30380,31722
1472742121,30380,31723
1472742721,30383,31725
1472743321,30391,31734
1472743921,30395,31738
1472744522,30397,31740
1472745121,30403,31747
1472745363,30423,31768
1472745721,30425,31772
1472746322,30430,31778
1472746922,30435,31783
1472747522,30437,31786
1472748122,30484,31832
1472748721,30495,31844
1472748962,30500,31849
1472749322,30493,31833
1472749922,30495,31835
1472750522,30500,31840
1472751121,30504,31844
1472751722,30506,31852
1472752322,30510,31856
1472752562,30510,31856
1472753058,30516,31863
1472753522,30518,31866
1472754722,30521,31869
1472755322,30521,31869
1472755921,30609,31959
1472756162,30613,31963
1472756522,30614,31964
1472757722,30619,31969
1472758322,30623,31973
1472758922,30626,31976
1472759762,30616,31966
1472760122,30613,31962
1472761321,30630,31986
1472762521,30633,31988
1472763121,30634,31989
1472763362,30633,31988
1472763721,30632,31987
1472764321,30634,31988
1472764921,30628,31982
1472765521,30629,31982
1472766122,30630,31983
1472766721,30632,31985
1472766963,30636,31990
1472767322,30638,31992
1472767922,30647,32001
1472768522,30644,31998
1472769721,30644,31998
1472770322,30647,32002
1472770563,30643,31998
1472770921,30642,32003
1472771522,30644,32006
1472772121,30635,31997
1472772722,30643,32005
1472773322,30642,32005
1472773921,30627,31991
1472774522,30624,31989
1472775123,30624,31990
1472775722,30639,32006
1472776321,30643,32010
1472776921,30649,32016
1472777522,30675,32044
1472777762,30685,32054
1472778123,30683,32050
1472778722,30669,32034
1472779322,30679,32044
1472779922,30687,32051
1472779981,30685,32048
1472780522,30686,32049
1472781121,30689,32052
1472781363,30687,32050
1472781723,30692,32059
1472782333,30691,32058
1472782921,30706,32076
1472783522,30707,32077
1472784121,30708,32084
1472784722,30717,32094
1472784963,30709,32086
1472785321,30711,32087
1472786522,30724,32100
1472787721,30755,32137
1472788322,30757,32140
1472788563,30764,32147
1472788921,30765,32148
1472789522,30769,32152
1472790122,30771,32153
1472790722,30790,32174
1472791322,30794,32178
1472791922,30799,32182
1472792163,30801,32185
1472793121,30803,32186
1472793723,30811,32193
1472794321,30818,32202
1472794922,30824,32208
1472795521,30828,32213
1472795763,30835,32220
1472796122,30845,32232
1472796721,30839,32224
1472797321,30840,32225
1472797921,30843,32225
1472799121,30853,32235
1472799723,30855,32237
1472800322,30872,32254
1472800922,30875,32257
1472801522,30876,32258
1472802122,30896,32278
1472802722,30921,32302
1472802963,30934,32315
1472803321,30942,32323
1472803921,30948,32329
1472804522,30959,32340
1472805121,30962,32343
1472805181,30966,32347
1472805721,30975,32356
1472806321,30980,32361
1472806562,30974,32355
1472806922,30978,32360
1472807522,30974,32362
1472808121,30978,32367
1472808722,30984,32374
1472809322,30991,32381
1472809922,30999,32389
1472810162,31009,32399
1472810522,31012,32402
1472811122,31025,32417
1472811860,31026,32417
1472812322,31029,32421
1472812922,31031,32424
1472813763,31020,32413
1472814121,31028,32420
1472814722,31031,32425
1472815322,31038,32432
1472816521,31037,32431
1472817121,31038,32429
1472817362,31038,32429
1472817722,31043,32434
1472818322,31044,32435
1472818921,31037,32428
1472819522,31040,32431
1472819581,31037,32428
1472820121,31039,32430
1472820722,31041,32432
1472821321,31024,32415
1472821921,31026,32417
1472822521,31026,32411
1472823122,31027,32418
1472824562,31055,32446
1472825522,31058,32449
1472826122,31048,32438
1472826721,31051,32441
1472826781,31055,32445
1472827321,31058,32448
1472827921,31059,32449
1472828163,31063,32453
1472829123,31067,32456
1472829722,31072,32461
1472830321,31078,32467
1472830921,31085,32475
1472831762,31090,32480
1472832121,31095,32485
1472833321,31095,32486
1472833922,31087,32477
1472833982,31086,32476
1472834521,31084,32472
1472835122,31086,32474
1472835363,31081,32469
1472835723,31081,32469
1472836921,31079,32462
1472837522,31075,32458
1472838122,31081,32464
1472838722,31078,32461
1472838963,31071,32454
1472839322,31073,32456
1472839922,31069,32452
1472840522,31073,32456
1472841181,31072,32455
1472841721,31069,32452
1472842323,31069,32452
1472842563,31072,32455
1472842921,31077,32460
1472843521,31078,32461
1472844122,31084,32467
1472844721,31181,32563
1472845322,31177,32560
1472846162,31171,32554
1472846521,31169,32551
1472847121,31171,32553
1472847721,31173,32555
1472848321,31178,32560
1472848922,31178,32561
1472849522,31186,32569
1472849763,31183,32566
1472850121,31178,32560
1472850721,31175,32557
1472851321,31173,32554
1472851921,31172,32553
1472852522,31175,32556
1472853121,31175,32556
1472853362,31176,32557
1472853721,31171,32552
1472854321,31172,32553
1472854922,31170,32551
1472855521,31172,32553
1472856121,31173,32554
1472856722,31177,32558
1472856962,31174,32555
1472857322,31172,32552
1472857921,31174,32554
1472858522,31181,32559
1472859121,31196,32574
1472860322,31195,32572
1472860562,31196,32573
1472860922,31195,32572
1472862121,31194,32571
1472862722,31196,32573
1472863321,31197,32574
1472863927,31193,32570
1472865721,31170,32546
1472866321,31171,32547
1472866921,31175,32551
1472867522,31199,32575
1472867763,31197,32573
1472868122,31210,32587
1472868723,31239,32618
1472869322,31243,32621
1472869921,31248,32627
1472870521,31258,32637
1472871122,31259,32638
1472871362,31249,32628
1472871722,31250,32629
1472872322,31270,32649
1472872921,31265,32643
1472874122,31267,32647
1472874963,31261,32641
1472875322,31286,32668
1472876521,31299,32681
1472877121,31301,32683
1472877721,31299,32680
1472878563,31290,32671
1472879522,31292,32673
1472880122,31298,32680
1472880722,31299,32681
1472881321,31300,32682
1472881922,31298,32671
1472882162,31293,32664
1472882522,31294,32665
1472883122,31295,32666
1472883721,31299,32671
1472884381,31298,32670
1472885045,31296,32665
1472885522,31310,32679
1472885762,31311,32680
1472886121,31304,32672
1472886722,31302,32669
1472887322,31306,32673
1472887921,31305,32672
1472888522,31287,32656
1472889122,31289,32658
1472889363,31283,32651
1472889721,31285,32653
1472890321,31284,32650
1472890922,31286,32652
1472891522,31285,32651
1472891581,31286,32652
1472892121,31287,32653
1472892722,31269,32635
1472892963,31270,32636
1472893321,31272,32638
1472894521,31257,32619
1472895721,31254,32616
1472896321,31253,32615
1472897522,31252,32613
1472898121,31248,32607
1472898722,31251,32610
1472898781,31251,32609
1472899322,31265,32622
1472900162,31264,32621
1472900522,31239,32596
1472901721,31234,32587
1472902322,31229,32582
1472902921,31195,32544
1472903521,31196,32545
1472903763,31194,32543
1472904122,31189,32538
1472904722,31192,32541
1472905322,31201,32541
1472905921,31214,32550
1472906521,31210,32547
1472907122,31212,32549
1472907362,31213,32550
1472907721,31215,32552
1472908922,31204,32539
1472909521,31205,32540
1472910122,31207,32542
1472910721,31209,32544
1472910963,31197,32532
1472911321,31204,32540
1472911922,31194,32530
1472912522,31194,32529
1472913122,31197,32532
1472913181,31196,32531
1472913721,31209,32544
1472914339,31204,32533
1472914563,31206,32535
1472915522,31210,32539
1472916124,31210,32539
1472916722,31205,32534
1472917321,31203,32532
1472917921,31204,32533
1472918163,31208,32537
1472918521,31205,32534
1472919722,31194,32524
1472920922,31189,32519
1472921522,31189,32519
1472921763,31213,32544
1472922121,31214,32545
1472922722,31213,32544
1472923321,31203,32533
1472923921,31204,32531
1472924521,31202,32528
1472925122,31201,32526
1472925363,31197,32521
1472925721,31200,32525
1472926321,31200,32524
1472926922,31200,32524
1472927521,31253,32578
1472928121,31249,32571
1472928721,31247,32569
1472929322,31265,32596
1472929922,31268,32598
1472930521,31265,32595
1472931122,31266,32596
1472931722,31265,32594
1472932322,31262,32590
1472932563,31262,32590
1472932922,31255,32582
1472933521,31262,32590
1472934122,31254,32582
1472934721,31252,32579
1472935321,31253,32580
1472936163,31250,32577
1472936522,31237,32563
1472937122,31236,32562
1472937721,31238,32564
1472938322,31240,32565
1472938381,31236,32561
1472938921,31238,32563
1472939522,31240,32564
1472939763,31241,32565
1472940121,31235,32558
1472940722,31238,32561
1472941321,31239,32562
1472941981,31238,32561
1472942522,31242,32565
1472943122,31240,32563
1472943654,31237,32560
1472943721,31239,32563
1472944321,31240,32564
1472944922,31228,32554
1472945522,31233,32557
1472945581,31232,32556
1472946121,31234,32558
1472946722,31231,32554
1472946963,31230,32553
1472947322,31229,32546
1472947923,31234,32551
1472948522,31235,32552
1472949722,31228,32545
1472950322,31228,32545
1472950563,31250,32570
1472950923,31251,32571
1472951521,31260,32580
1472952121,31248,32566
1472953322,31232,32549
1472954162,31225,32542
1472954522,31230,32547
1472955122,31235,32552
1472955722,31241,32558
1472956322,31240,32557
1472956926,31245,32562
1472957522,31250,32567
1472957762,31238,32555
1472958254,31248,32565
1472958722,31250,32567
1472959322,31258,32574
1472959922,31255,32571
1472961122,31256,32572
1472961722,31271,32582
1472962321,31274,32585
1472962923,31275,32588
1472963521,31275,32588
1472964121,31283,32593
1472964722,31282,32592
1472964962,31279,32589
1472965322,31268,32577
1472965922,31270,32579
1472966522,31272,32580
1472967181,31278,32586
1472967722,31281,32589
1472968321,31281,32587
1472968563,31276,32582
1472968922,31280,32586
1472969522,31278,32584
1472970123,31285,32591
1472970721,31288,32596
1472971322,31282,32590
1472972163,31273,32580
1472972522,31271,32579
1472973122,31283,32591
1472973722,31282,32589
1472974923,31293,32600
1472975522,31291,32598
1472975762,31287,32594
1472976121,31287,32595
1472976722,31288,32596
1472977322,31291,32595
1472977922,31294,32598
1472978522,31286,32589
1472979122,31284,32587
1472979363,31284,32587
1472979722,31255,32550
1472980322,31258,32553
1472980922,31257,32552
1472982121,31258,32553
1472982963,31261,32556
1472983322,31257,32549
1472983922,31260,32552
1472984522,31256,32543
1472985722,31229,32515
1472986563,31223,32508
1472986921,31221,32501
1472987540,31218,32498
1472988121,31219,32499
1472988722,31214,32494
1472989322,31186,32465
1472989922,31191,32470
1472990163,31189,32468
1472990522,31190,32467
1472991122,31194,32471
1472991722,31197,32478
1472992322,31189,32469
1472992382,31188,32468
1472992921,31191,32471
1472993763,31193,32473
1472994123,31198,32478
1472994722,31205,32485
1472995321,31207,32487
