DateTime,AddedIPs,RemovedIPs
1472011471,60,58
1472013400,52,77
1472015320,99,39
1472017216,90,85
1472019144,70,74
1472021050,47,34
1472023235,85,58
1472025152,53,63
1472027064,44,77
1472028981,45,45
1472030916,28,119
1472032858,22,35
1472034738,71,4923
1472036659,1832,0
1472038590,153,120
1472040531,95,114
1472044350,179,163
1472046253,117,73
1472048223,109,52
1472050124,82,92
1472052026,77,116
1472053960,123,72
1472055854,129,55
1472057790,159,54
1472059696,101,94
1472061652,96,72
1472063543,93,105
1472073151,89,288
1472075075,67,67
1472076979,51,70
1472078901,67,117
1472080789,1646,0
1472082748,45,89
1472084649,49,95
1472086582,40,74
1472088503,59,65
1472090450,36,58
1472092353,59,58
1472094276,58,94
1472096198,83,145
1472100052,176,112
1472102046,71,114
1472103855,42,35
1472106032,30,52
1472107936,48,61
1472109848,62,39
1472111780,76,48
1472113709,80,93
1472115670,17,37
1472117550,94,48
1472119460,173,3940
1472123344,1425,0
1472125255,86,70
1472129055,356,159
1472131011,137,47
1472132929,128,39
1472135066,79,51
1472137001,202,60
1472138918,186,43
1472140858,110,68
1472142759,91,67
1472144674,165,68
1472146591,180,90
1472148514,183,66
1472150433,142,36
1472152362,197,69
1472154265,233,68
1472156176,117,42
1472158114,173,51
1472160040,133,26
1472161940,137,23
1472163854,135,64
1472165798,137,112
1472167725,1248,0
1472169647,103,53
1472171541,101,67
1472173725,193,75
1472175638,65,25
1472177827,137,62
1472179722,92,32
1472181640,99,52
1472183557,65,56
1472185459,83,33
1472187377,109,53
1472189337,90,35
1472191281,90,56
1472193166,113,51
1472195313,198,88
1472199162,147,96
1472201053,66,34
1472203242,80,25
1472205170,40,24
1472207323,51,3071
1472209308,47,76
1472211157,1299,0
1472213064,166,85
1472215001,115,44
1472216923,50,41
1472218864,59,42
1472220763,45,50
1472222671,65,53
1472224859,57,50
1472226766,39,23
1472228652,36,51
1472230587,111,44
1472232502,67,64
1472234477,61,63
1472236340,60,15
1472238258,74,78
1472240189,28,60
1472244022,99,101
1472245970,46,72
1472247882,41,83
1472249786,33,62
1472251701,51,90
1472253648,1113,0
1472255542,29,32
1472257451,102,35
1472259389,35,34
1472261308,69,37
1472263272,29,24
