DateTime,Entries,UniqueIPs
1472009537,8839,8839
1472011471,8841,8841
1472013400,8816,8816
1472015320,8876,8876
1472017216,8881,8881
1472019144,8877,8877
1472021050,8890,8890
1472023235,8917,8917
1472025152,8907,8907
1472027064,8874,8874
1472028981,8874,8874
1472030916,8783,8783
1472032858,8770,8770
1472034738,3918,3918
1472036659,5750,5750
1472038590,5783,5783
1472040531,5764,5764
1472044350,5780,5780
1472046253,5824,5824
1472048223,5881,5881
1472050124,5871,5871
1472052026,5832,5832
1472053960,5883,5883
1472055854,5957,5957
1472057790,6062,6062
1472059696,6069,6069
1472061652,6093,6093
1472063543,6081,6081
1472073151,5882,5882
1472075075,5882,5882
1472076979,5863,5863
1472078901,5813,5813
1472080789,7459,7459
1472082748,7415,7415
1472084649,7369,7369
1472086582,7335,7335
1472088503,7329,7329
1472090450,7307,7307
1472092353,7308,7308
1472094276,7272,7272
1472096198,7210,7210
1472100052,7274,7274
1472102046,7231,7231
1472103855,7238,7238
1472106032,7216,7216
1472107936,7203,7203
1472109848,7226,7226
1472111780,7254,7254
1472113709,7241,7241
1472115670,7221,7221
1472117550,7267,7267
1472119460,3500,3500
1472123344,4925,4925
1472125255,4941,4941
1472129055,5138,5138
1472131011,5228,5228
1472132929,5317,5317
1472135066,5345,5345
1472137001,5487,5487
1472138918,5630,5630
1472140858,5672,5672
1472142759,5696,5696
1472144674,5793,5793
1472146591,5883,5883
1472148514,6000,6000
1472150433,6106,6106
1472152362,6234,6234
1472154265,6399,6399
1472156176,6474,6474
1472158114,6596,6596
1472160040,6703,6703
1472161940,6817,6817
1472163854,6888,6888
1472165798,6913,6913
1472167725,8161,8161
1472169647,8211,8211
1472171541,8245,8245
1472173725,8363,8363
1472175638,8403,8403
1472177827,8478,8478
1472179722,8538,8538
1472181640,8585,8585
1472183557,8594,8594
1472185459,8644,8644
1472187377,8700,8700
1472189337,8755,8755
1472191281,8789,8789
1472193166,8851,8851
1472195313,8961,8961
1472199162,9012,9012
1472201053,9044,9044
1472203242,9099,9099
1472205170,9115,9115
1472207323,6095,6095
1472209308,6066,6066
1472211157,7365,7365
1472213064,7446,7446
1472215001,7517,7517
1472216923,7526,7526
1472218864,7543,7543
1472220763,7538,7538
1472222671,7550,7550
1472224859,7557,7557
1472226766,7573,7573
1472228652,7558,7558
1472230587,7625,7625
1472232502,7628,7628
1472234477,7626,7626
1472236340,7671,7671
1472238258,7667,7667
1472240189,7635,7635
1472244022,7633,7633
1472245970,7607,7607
1472247882,7565,7565
1472249786,7536,7536
1472251701,7497,7497
1472253648,8610,8610
1472255542,8607,8607
1472257451,8674,8674
1472259389,8675,8675
1472261308,8707,8707
1472263272,8712,8712
1472265154,8698,8698
1472267056,8721,8721
1472270903,8753,8753
1472272833,8761,8761
1472274758,8737,8737
1472276666,8725,8725
1472278595,8738,8738
1472280516,8752,8752
1472282417,8746,8746
1472284346,8715,8715
1472286256,8720,8720
1472288210,8703,8703
1472290127,8676,8676
1472292070,2730,2730
1472295856,2715,2715
1472297789,5371,5371
1472299709,5381,5381
1472301887,5394,5394
1472303815,5377,5377
1472305707,5364,5364
1472307658,5321,5321
1472310525,5220,5220
1472312423,5269,5269
1472314349,5290,5290
1472316257,5346,5346
1472318216,5339,5339
1472320113,5333,5333
1472322031,5277,5277
1472323943,5290,5290
1472325858,5340,5340
1472327779,5389,5389
1472329710,5472,5472
1472331667,5528,5528
1472333561,5587,5587
1472335486,5641,5641
1472337412,5749,5749
1472339309,7986,7986
1472341503,7965,7965
1472343630,7943,7943
1472346517,7876,7876
1472348414,7825,7825
1472350343,7798,7798
1472352268,7718,7718
1472354432,7693,7693
1472356337,7690,7690
1472358258,7661,7661
1472360190,7693,7693
1472362107,7636,7636
1472364063,7591,7591
1472365957,7570,7570
1472367854,7532,7532
1472369788,7514,7514
1472373621,7461,7461
1472375536,7458,7458
1472377451,7447,7447
