DateTime,AddedIPs,RemovedIPs
1462294096,1,0
1462323388,1,0
1462338054,0,1
1462367295,0,1
1462396594,1,0
1462440506,1,0
1462455194,1,1
1462499048,1,0
1462513705,2,0
1462542971,1,1
1462557618,2,0
1462572357,3,0
1462586905,3,0
1462601541,1,0
1462616181,1,0
1462660139,6,0
1462674744,1,0
1462689371,3,0
1462704010,1,0
1462733301,2,0
1462762574,6,0
1462777227,1,0
1462791848,2,0
1462821135,4,0
1462835786,2,0
1462850409,2,0
1462865068,1,0
1462879705,2,0
1462894364,2,0
1462908977,1,0
1462923618,1,0
1462938250,1,0
1462982170,1,2
1463040983,1,0
1463070262,0,1
1463084909,2,1
1463099548,1,0
1463114180,2,0
1463128864,4,0
1463143474,1,0
1463158114,5,1
1463202028,3,1
1463216717,3,0
1463231305,2,0
1463246187,2,0
1463260816,1,1
1463275484,1,0
1463290100,0,1
1463304761,1,3
1463348651,1,0
1463363197,1,0
1463377946,1,1
1463392573,1,0
1463421863,2,0
1463451153,2,0
1463495051,0,1
1463509695,4,1
1463539230,2,0
1463568498,5,0
1463583276,1,0
1463598032,1,2
1463627301,0,1
1463642200,1,0
1463656835,1,0
1463671455,3,0
1463700749,1,1
1463715417,2,0
1463730024,0,1
1463773983,1,0
1463788611,1,0
1463803231,1,0
1463817857,1,1
1463847136,2,1
1463861776,2,0
1463876437,0,1
1463905942,1,0
1463935211,2,1
1463994037,1,0
1464008649,2,1
1464037959,0,1
1464052600,2,0
1464067208,1,0
1464096744,1,0
1464111388,4,0
1464126055,2,0
1464140654,2,0
1464155294,2,0
1464169955,5,0
1464184573,2,0
1464199271,6,0
1464213854,3,0
1464228495,4,0
1464243143,3,0
1464272420,0,1
1464287070,2,1
1464301718,0,4
1464316331,1,0
1464345611,1,1
1464360252,0,2
1464375090,2,1
1464389781,0,1
1464419060,1,1
1464433702,3,0
1464448365,1,0
1464521540,2,0
1464536170,1,0
1464550839,2,0
1464580097,1,0
1464594734,1,0
1464624048,2,0
1464653297,2,0
1464682603,1,0
1464697247,2,0
1464711874,2,0
1464741140,1,0
1464755777,1,0
1464799709,1,0
1464814345,2,0
1464843623,9,0
1464858255,2,0
1464872897,1,0
1464887550,1,0
1464902205,1,0
1464916819,1,0
1464931452,3,0
1464946093,2,0
1464960736,2,1
1465004661,1,1
1465019295,2,0
1465048596,1,1
1465063228,1,0
1465092500,1,0
1465107147,3,0
1465136410,1,0
1465165699,2,0
1465180370,1,0
1465194987,1,0
1465224282,2,0
1465238897,1,0
1465282824,1,1
1465297454,1,0
1465326773,1,0
1465356016,0,1
1465370675,0,1
1465385304,1,0
1465399952,1,0
1465414572,1,0
1465487778,3,0
1465517050,2,0
1465531718,0,2
1465546346,0,1
1465560970,1,0
1465575646,1,0
1465604918,2,0
1465634180,4,0
1465648814,1,1
1465663460,4,0
1465722029,2,0
1465780580,1,0
1465809856,1,0
1465824495,1,2
1465839141,2,0
1465854038,3,1
1465868677,3,0
1465883300,1,0
1465927226,2,0
1465941852,3,0
1465956506,1,1
1465971140,3,3
1465986033,1,0
1466059225,1,0
1466118031,3,0
1466132649,1,0
1466147344,2,0
1466161943,2,0
1466176617,1,0
1466191209,1,0
1466205765,1,0
1466220499,1,0
1466235168,2,0
1466264412,3,0
1466293699,2,0
1466322981,1,0
1466352258,2,0
1466381546,2,1
1466410817,3,0
1466440101,1,0
1466498663,1,0
1466513305,1,0
1466527972,1,0
1466542612,2,0
1466557239,2,0
1466571855,0,1
1466586499,2,0
1466601144,3,0
1466615796,2,0
1466630412,1,0
1466645050,1,0
1466689011,1,0
1466703632,1,2
1466718257,2,0
1466747564,1,0
1466776839,1,2
1466806109,3,0
1466820743,1,0
1466864646,0,1
1466879303,2,0
1466893935,1,0
1466908589,1,0
1466923213,1,0
1466937849,1,0
1466952496,1,0
1466981781,1,0
1466996447,1,0
1467011097,1,0
1467040342,2,0
1467069635,1,0
1467084253,1,0
1467128186,2,0
1467172100,2,0
1467186772,1,0
1467201403,5,0
1467216030,3,0
1467230690,2,0
1467245322,5,0
1467259939,9,0
1467274574,1,0
1467304149,1,1
1467318737,1,1
1467333375,2,0
1467348014,2,1
1467377296,3,0
1467391941,1,0
1467421289,1,0
1467435850,3,1
1467450502,1,0
1467479789,1,0
1467509057,2,0
1467523704,2,0
1467538336,1,0
1467552978,5,1
1467567710,1,0
1467596904,2,0
1467611617,3,0
1467626180,1,0
1467640840,13,0
1467728724,2,0
1467743380,2,0
1467758135,1,0
1467772660,0,1
1467787221,1,1
1467801854,4,0
1467816503,1,1
1467831230,3,0
1467860455,1,0
1467875300,1,0
1467889942,3,0
1467904572,1,0
1467919227,1,0
1467933856,2,0
1467948505,0,1
1467963143,2,0
1467977779,2,0
1467992418,1,1
1468007053,1,0
1468021704,4,0
1468065641,1,0
1468080254,2,1
1468094893,2,0
1468138823,2,1
1468153446,1,0
1468182743,3,0
1468226651,2,2
1468241297,2,0
1468270572,3,1
1468285245,1,0
1468299855,0,1
1468314496,1,0
1468329148,1,0
1468343785,2,0
1468373047,3,1
1468402414,2,0
1468416978,1,0
1468431613,0,1
1468446255,1,0
1468504842,2,0
1468519458,1,0
1468534091,1,1
1468563376,3,0
1468578022,1,0
1468592901,4,0
1468622183,0,1
1468636816,2,0
1468680767,1,0
1468695370,1,0
1468710054,2,0
1468739294,2,0
1468768578,1,3
1468812500,1,0
1468827146,1,0
1468900341,1,0
1468914970,1,1
1468958896,2,0
1468988172,1,0
1469002812,1,0
1469046742,2,0
1469061381,2,0
1469090651,2,0
1469134575,2,0
1469163855,3,0
1469178510,1,0
1469193141,1,0
1469222428,1,0
1469237059,1,0
1469251692,1,0
1469266344,1,0
1469280980,2,1
1469310255,2,0
1469339539,1,0
1469368886,1,0
1469398591,2,0
1469413231,1,0
1469427847,1,0
1469457146,1,0
1469471780,2,0
1469486412,1,0
1469501057,2,0
1469515695,1,0
1469530345,1,0
1469574261,1,1
1469588902,1,0
1469603553,2,0
1469640247,1,1
1469684451,3,0
1469699065,2,0
1469728354,1,0
1469742972,1,0
1469757651,1,0
1469772250,1,0
1469786913,1,1
1469801554,1,0
1469816174,2,0
1469874741,2,0
1469933301,1,0
1469962594,1,0
1469977294,1,0
1469991866,3,0
1470006508,0,1
1470035834,2,0
1470050421,1,0
1470079704,1,0
1470094368,1,0
1470108988,4,0
1470138257,2,0
1470152902,1,0
1470167539,2,0
1470182178,3,0
1470196856,1,0
1470211449,1,0
1470226099,2,0
1470240993,2,0
1470255610,2,0
1470270248,3,0
1470284898,0,1
1470299545,1,0
1470314185,1,0
1470328833,2,0
1470343449,1,1
1470358108,1,0
1470372743,1,0
1470387392,0,2
1470416649,1,0
1470460577,2,0
1470475227,1,0
1470504501,3,0
1470548657,1,0
1470563302,1,0
1470577936,1,0
1470607239,1,0
1470636508,3,0
1470651144,1,0
1470709703,1,0
1470753613,2,0
1470768252,2,0
1470797540,2,0
1470812185,1,0
1470826840,3,0
1470841465,1,0
1470856107,3,0
1470885371,1,0
1470929300,1,1
1470943948,2,0
1470958590,2,0
1470987863,1,0
1471017132,3,0
1471031780,6,1
1471061053,2,1
1471104980,2,0
1471119633,0,1
1471134253,1,0
1471163548,4,1
1471178182,2,0
1471192825,1,0
1471207451,1,0
1471222092,2,0
1471266034,1,0
1471309961,2,0
1471324579,2,0
1471339217,1,0
1471353869,1,0
1471368536,0,1
1471383180,1,0
1471397786,2,1
1471412417,1,0
1471427047,1,0
1471456353,2,0
1471470982,1,0
1471485638,1,0
1471514894,0,1
1471529541,4,0
1471544443,1,0
1471559057,5,0
1471573705,1,0
1471632274,2,0
1471646899,1,0
1471661561,1,0
1471676186,1,0
1471690871,2,0
1471705450,4,1
1471734742,1,1
1471764041,4,0
1471778655,2,0
1471793304,2,0
1471807946,1,0
1471822580,5,0
1471837215,2,0
1471851856,2,0
1471866505,2,0
1471881131,2,0
1471910435,2,0
1471925056,1,0
1471954355,1,0
1471968979,2,1
1471998252,3,0
1472012911,4,0
1472056812,1,0
1472071450,3,0
1472086111,1,0
1472100737,1,0
1472115373,6,0
1472130063,4,1
1472144669,2,0
1472159554,3,0
1472174434,1,1
1472189049,2,0
1472203695,2,0
1472218358,1,1
1472232987,0,1
1472247612,3,0
1472262341,1,0
1472276891,1,0
1472306180,2,0
1472320851,1,0
1472350107,2,0
1472364746,1,0
1472379404,1,0
1472394009,1,1
1472408663,1,0
1472423302,2,0
1472437936,1,0
1472467453,3,0
1472496738,1,0
1472511383,7,0
1472526050,1,0
1472540655,3,0
1472569960,1,1
1472584578,2,0
1472599240,1,0
1472613874,1,0
1472643151,1,0
1472657775,1,0
1472672435,2,1
1472701713,1,0
1472716334,1,0
1472730975,2,0
1472760260,3,0
1472774904,4,0
1472804193,2,0
1472818828,1,0
1472833448,2,0
1472848102,4,0
1472862749,2,0
1472877381,1,0
1472892027,1,0
1472906653,1,0
1472921297,1,0
