DateTime,Entries,UniqueIPs
1462323388,21056,21056
1462338054,21055,21055
1462367295,21054,21054
1462396594,21055,21055
1462440506,21056,21056
1462455194,21056,21056
1462499048,21057,21057
1462513705,21059,21059
1462542971,21059,21059
1462557618,21061,21061
1462572357,21064,21064
1462586905,21067,21067
1462601541,21068,21068
1462616181,21069,21069
1462660139,21075,21075
1462674744,21076,21076
1462689371,21079,21079
1462704010,21080,21080
1462733301,21082,21082
1462762574,21088,21088
1462777227,21089,21089
1462791848,21091,21091
1462821135,21095,21095
1462835786,21097,21097
1462850409,21099,21099
1462865068,21100,21100
1462879705,21102,21102
1462894364,21104,21104
1462908977,21105,21105
1462923618,21106,21106
1462938250,21107,21107
1462982170,21106,21106
1463040983,21107,21107
1463070262,21106,21106
1463084909,21107,21107
1463099548,21108,21108
1463114180,21110,21110
1463128864,21114,21114
1463143474,21115,21115
1463158114,21119,21119
1463202028,21121,21121
1463216717,21124,21124
1463231305,21126,21126
1463246187,21128,21128
1463260816,21128,21128
1463275484,21129,21129
1463290100,21128,21128
1463304761,21126,21126
1463348651,21127,21127
1463363197,21128,21128
1463377946,21128,21128
1463392573,21129,21129
1463421863,21131,21131
1463451153,21133,21133
1463495051,21132,21132
1463509695,21135,21135
1463539230,21137,21137
1463568498,21142,21142
1463583276,21143,21143
1463598032,21142,21142
1463627301,21141,21141
1463642200,21142,21142
1463656835,21143,21143
1463671455,21146,21146
1463700749,21146,21146
1463715417,21148,21148
1463730024,21147,21147
1463773983,21148,21148
1463788611,21149,21149
1463803231,21150,21150
1463817857,21150,21150
1463847136,21151,21151
1463861776,21153,21153
1463876437,21152,21152
1463905942,21153,21153
1463935211,21154,21154
1463994037,21155,21155
1464008649,21156,21156
1464037959,21155,21155
1464052600,21157,21157
1464067208,21158,21158
1464096744,21159,21159
1464111388,21163,21163
1464126055,21165,21165
1464140654,21167,21167
1464155294,21169,21169
1464169955,21174,21174
1464184573,21176,21176
1464199271,21182,21182
1464213854,21185,21185
1464228495,21189,21189
1464243143,21192,21192
1464272420,21191,21191
1464287070,21192,21192
1464301718,21188,21188
1464316331,21189,21189
1464345611,21189,21189
1464360252,21187,21187
1464375090,21188,21188
1464389781,21187,21187
1464419060,21187,21187
1464433702,21190,21190
1464448365,21191,21191
1464521540,21193,21193
1464536170,21194,21194
1464550839,21196,21196
1464580097,21197,21197
