DateTime,AddedIPs,RemovedIPs
1471214207,63,54
1471217807,62,61
1471221407,76,44
1471225007,89,33
1471228607,77,57
1471232207,57,44
1471235807,71,30
1471239407,69,34
1471243007,81,32
1471246607,79,47
1471250206,52,57
1471253806,161,26
1471257407,286,35
1471261007,393,43
1471264607,338,54
1471268207,430,53
1471271807,315,34
1471275407,99,38
1471279007,50,48
1471282607,83,62
1471286207,74,60
1471289807,79,44
1471293407,46,47
1471297007,81,46
1471300607,83,66
1471304206,58,39
1471307807,67,37
1471311407,41,35
1471315007,53,58
1471318607,87,28
1471322207,42,42
1471325807,34,49
1471329408,35,50
1471333007,34,58
1471336607,32,27
1471340208,59,22
1471343808,89,43
1471347408,97,51
1471351008,114,43
1471354608,73,31
1471358208,75,35
1471361808,124,55
1471365408,71,71
1471369008,72,66
1471372608,46,89
1471376209,54,53
1471379810,80,46
1471383409,30,86
1471387009,32,64
1471390609,58,62
1471394208,51,71
1471397809,37,91
1471401409,35,72
1471405009,48,69
1471408610,79,69
1471412209,28,64
1471415810,32,78
1471419410,49,82
1471423010,75,56
1471426610,47,90
1471430210,113,329
1471433810,257,417
1471437410,332,302
1471441010,377,452
1471444610,391,293
1471448210,471,140
1471451811,157,51
1471455411,372,69
1471459012,337,77
1471462612,217,78
1471466212,126,57
1471469812,111,74
1471473412,60,86
1471477012,46,62
1471480611,44,62
1471484211,63,45
1471487811,73,49
1471491411,89,77
1471495011,67,57
1471498611,63,33
1471502211,87,34
1471505812,90,31
1471509412,78,34
1471513012,53,57
1471516612,267,90
1471520212,88,98
1471523812,243,111
1471527412,296,76
1471531012,309,71
1471534612,184,125
1471538212,30,72
1471541812,27,78
1471545413,42,43
1471549012,54,48
1471552613,56,88
1471556213,57,29
1471559813,45,33
1471563413,52,53
1471567014,44,59
1471570614,50,36
1471574214,42,32
1471577814,32,45
1471581414,44,83
1471585014,39,29
1471588615,23,33
1471592215,27,43
1471595815,44,77
1471599415,27,39
1471603015,212,107
1471606615,161,235
1471610215,79,338
1471613815,63,366
1471617415,109,381
1471621015,129,511
1471624615,106,149
1471628216,18,356
1471631816,24,344
1471635416,29,234
1471639016,29,133
1471642616,24,108
1471646217,13,68
1471649816,16,47
1471653416,19,45
1471657017,28,63
1471660616,24,69
1471664216,32,86
1471667816,14,70
1471671416,16,66
1471675016,19,84
1471678616,28,83
1471682216,18,84
1471685815,9,60
1471689415,33,239
1471693015,51,114
1471696615,39,186
1471700215,44,335
1471703816,52,294
1471707416,25,212
1471711016,25,31
1471714616,16,32
1471718216,23,37
1471721816,19,56
1471725416,18,58
1471729016,20,54
1471732616,15,47
1471736216,18,52
1471739816,15,47
1471743416,20,46
1471747016,19,44
1471750616,9,33
1471754216,10,41
1471757817,12,43
1471761417,12,21
1471765017,15,28
1471768617,17,43
1471772217,19,25
1471775818,45,204
1471779418,53,166
1471783018,60,89
1471786618,29,50
1471790219,36,111
1471793820,37,124
1471797419,34,120
1471801019,23,18
1471804619,23,23
1471808219,13,28
1471811819,34,29
1471815419,30,27
1471819019,27,13
1471822619,32,15
1471826219,16,18
1471829819,26,24
1471833419,20,27
1471837019,22,30
1471840619,27,16
1471844220,20,17
1471847820,23,19
1471851420,33,27
1471855019,71,15
1471858620,93,14
1471862220,97,23
1471865820,136,54
1471869420,124,38
1471873019,85,42
1471876619,84,56
1471880219,43,31
1471883819,50,26
1471887419,95,16
1471891019,218,22
1471894620,108,17
1471898220,210,18
1471901820,89,22
1471905420,69,13
1471909020,32,20
1471912620,34,15
1471916220,47,21
1471919820,38,19
1471923420,32,8
1471927020,45,9
1471930621,46,9
1471934221,52,17
1471937821,85,15
1471941421,64,14
1471945021,160,17
1471948620,187,45
1471952221,190,53
1471955820,135,56
1471959420,124,38
1471963021,179,29
1471966620,168,38
1471970221,205,37
1471973821,234,24
1471977421,182,24
1471981021,68,10
1471984621,149,34
1471988221,168,31
1471991821,157,27
1471995422,127,34
1471999022,159,13
1472002622,98,29
1472006222,89,21
1472009822,125,23
1472013422,125,19
1472017022,164,22
1472020622,90,26
1472024223,40,25
1472027822,81,75
1472031422,158,94
1472035022,159,88
1472038622,94,137
1472042222,193,123
1472045822,174,92
1472049422,163,84
1472053022,246,48
1472056622,174,42
1472060222,177,95
1472063822,239,211
1472067423,464,106
1472071022,329,215
1472074622,202,96
1472078223,235,71
1472081823,204,31
1472085423,189,37
1472089023,160,46
1472092623,146,39
1472096223,188,36
1472099824,209,41
1472103424,253,45
1472107024,239,49
1472110625,123,86
1472114225,134,59
1472117824,47,141
1472121425,44,198
1472125025,52,190
1472128625,104,138
1472132226,120,119
1472135826,291,181
