DateTime,Entries,UniqueIPs
1471221407,2316,2316
1471225007,2372,2372
1471228607,2392,2392
1471232207,2405,2405
1471235807,2446,2446
1471239407,2481,2481
1471243007,2530,2530
1471246607,2562,2562
1471250206,2557,2557
1471253806,2692,2692
1471257407,2943,2943
1471261007,3293,3293
1471264607,3577,3577
1471268207,3954,3954
1471271807,4235,4235
1471275407,4296,4296
1471279007,4298,4298
1471282607,4319,4319
1471286207,4333,4333
1471289807,4368,4368
1471293407,4367,4367
1471297007,4402,4402
1471300607,4419,4419
1471304206,4438,4438
1471307807,4468,4468
1471311407,4474,4474
1471315007,4469,4469
1471318607,4528,4528
1471322207,4528,4528
1471325807,4513,4513
1471329408,4498,4498
1471333007,4474,4474
1471336607,4479,4479
1471340208,4516,4516
1471343808,4562,4562
1471347408,4608,4608
1471351008,4679,4679
1471354608,4721,4721
1471358208,4761,4761
1471361808,4830,4830
1471365408,4830,4830
1471369008,4836,4836
1471372608,4793,4793
1471376209,4794,4794
1471379810,4828,4828
1471383409,4772,4772
1471387009,4740,4740
1471390609,4736,4736
1471394208,4716,4716
1471397809,4662,4662
1471401409,4625,4625
1471405009,4604,4604
1471408610,4614,4614
1471412209,4578,4578
1471415810,4532,4532
1471419410,4499,4499
1471423010,4518,4518
1471426610,4475,4475
1471430210,4259,4259
1471433810,4099,4099
1471437410,4129,4129
1471441010,4054,4054
1471444610,4152,4152
1471448210,4483,4483
1471451811,4589,4589
1471455411,4892,4892
1471459012,5152,5152
1471462612,5291,5291
1471466212,5360,5360
1471469812,5397,5397
1471473412,5371,5371
1471477012,5355,5355
1471480611,5337,5337
1471484211,5355,5355
1471487811,5379,5379
1471491411,5391,5391
1471495011,5401,5401
1471498611,5431,5431
1471502211,5484,5484
1471505812,5543,5543
1471509412,5587,5587
1471513012,5583,5583
1471516612,5760,5760
1471520212,5750,5750
1471523812,5882,5882
1471527412,6102,6102
1471531012,6340,6340
1471534612,6399,6399
1471538212,6357,6357
1471541812,6306,6306
1471545413,6305,6305
1471549012,6311,6311
1471552613,6279,6279
1471556213,6307,6307
1471559813,6319,6319
1471563413,6318,6318
1471567014,6303,6303
1471570614,6317,6317
1471574214,6327,6327
1471577814,6314,6314
1471581414,6275,6275
1471585014,6285,6285
1471588615,6275,6275
1471592215,6259,6259
1471595815,6226,6226
1471599415,6214,6214
1471603015,6319,6319
1471606615,6245,6245
1471610215,5986,5986
1471613815,5683,5683
1471617415,5411,5411
1471621015,5029,5029
1471624615,4986,4986
1471628216,4648,4648
1471631816,4328,4328
1471635416,4123,4123
1471639016,4019,4019
1471642616,3935,3935
1471646217,3880,3880
1471649816,3849,3849
1471653416,3823,3823
1471657017,3788,3788
1471660616,3743,3743
1471664216,3689,3689
1471667816,3633,3633
1471671416,3583,3583
1471675016,3518,3518
1471678616,3463,3463
1471682216,3397,3397
1471685815,3346,3346
1471689415,3140,3140
1471693015,3077,3077
1471696615,2930,2930
1471700215,2639,2639
1471703816,2397,2397
1471707416,2210,2210
1471711016,2204,2204
1471714616,2188,2188
1471718216,2174,2174
1471721816,2137,2137
1471725416,2097,2097
1471729016,2063,2063
1471732616,2031,2031
1471736216,1997,1997
1471739816,1965,1965
1471743416,1939,1939
1471747016,1914,1914
1471750616,1890,1890
1471754216,1859,1859
1471757817,1828,1828
1471761417,1819,1819
1471765017,1806,1806
1471768617,1780,1780
1471772217,1774,1774
1471775818,1615,1615
1471779418,1502,1502
1471783018,1473,1473
1471786618,1452,1452
1471790219,1377,1377
1471793820,1290,1290
1471797419,1204,1204
1471801019,1209,1209
1471804619,1209,1209
1471808219,1194,1194
1471811819,1199,1199
1471815419,1202,1202
1471819019,1216,1216
1471822619,1233,1233
1471826219,1231,1231
1471829819,1233,1233
1471833419,1226,1226
1471837019,1218,1218
1471840619,1229,1229
1471844220,1232,1232
1471847820,1236,1236
1471851420,1242,1242
1471855019,1298,1298
1471858620,1377,1377
1471862220,1451,1451
1471865820,1533,1533
1471869420,1619,1619
1471873019,1662,1662
1471876619,1690,1690
1471880219,1702,1702
1471883819,1726,1726
1471887419,1805,1805
1471891019,2001,2001
1471894620,2092,2092
1471898220,2284,2284
1471901820,2351,2351
1471905420,2407,2407
1471909020,2419,2419
1471912620,2438,2438
1471916220,2464,2464
1471919820,2483,2483
1471923420,2507,2507
1471927020,2543,2543
1471930621,2580,2580
1471934221,2615,2615
1471937821,2685,2685
1471941421,2735,2735
1471945021,2878,2878
1471948620,3020,3020
1471952221,3157,3157
1471955820,3236,3236
1471959420,3322,3322
1471963021,3472,3472
1471966620,3602,3602
1471970221,3770,3770
1471973821,3980,3980
1471977421,4138,4138
1471981021,4196,4196
1471984621,4311,4311
1471988221,4448,4448
1471991821,4578,4578
1471995422,4671,4671
1471999022,4817,4817
1472002622,4886,4886
1472006222,4954,4954
1472009822,5056,5056
1472013422,5162,5162
1472017022,5304,5304
1472020622,5368,5368
1472024223,5383,5383
1472027822,5389,5389
1472031422,5453,5453
1472035022,5524,5524
1472038622,5481,5481
1472042222,5551,5551
1472045822,5633,5633
1472049422,5712,5712
1472053022,5910,5910
1472056622,6042,6042
1472060222,6124,6124
1472063822,6152,6152
1472067423,6510,6510
1472071022,6624,6624
1472074622,6730,6730
1472078223,6894,6894
1472081823,7067,7067
1472085423,7219,7219
1472089023,7333,7333
1472092623,7440,7440
1472096223,7592,7592
1472099824,7760,7760
1472103424,7968,7968
1472107024,8158,8158
1472110625,8195,8195
1472114225,8270,8270
1472117824,8176,8176
1472121425,8022,8022
1472125025,7884,7884
