DateTime,AddedIPs,RemovedIPs
1448402800,3,0
1448410000,1,0
1448417200,1,0
1448442399,2,0
1448453198,0,1
1448519796,0,1
1448534195,0,1
1448541395,0,2
1448544995,0,1
1448554895,0,2
1448558495,0,2
1448579194,0,1
1448582794,0,1
1448589994,0,1
1448615193,0,1
1448618793,0,1
1448780787,1,0
1448858185,1,0
1448886983,1,0
1448936482,1,0
1448954482,0,1
1449030079,0,1
1449040879,1,0
1449048079,1,0
1449058878,0,1
1449111076,0,1
1449114676,1,0
1449198372,1,0
1449212772,0,1
1449216372,1,0
1449223572,0,1
1449288371,0,1
1449335171,1,0
1449360370,1,0
1449371170,0,1
1449389170,0,1
1449483668,1,0
1449501667,0,1
1449534066,0,1
1449552966,1,0
1449556566,1,0
1449635764,1,0
1449639364,1,0
1449653764,0,1
1449664563,1,0
1449711366,1,0
1449719466,1,1
1449726667,1,0
1449730266,0,1
1449763567,1,0
1449804968,1,0
1449813067,0,2
1449836469,1,1
1449881470,1,0
1449885070,0,1
1449892270,0,1
1449896770,1,0
1449900370,0,1
1449932769,0,1
1449977768,0,1
1450006567,0,1
1450056067,0,1
1450070467,0,1
1450102867,1,0
1450173066,2,0
1450187466,1,0
1450227066,2,0
1450254966,1,0
1450265767,1,0
1450276567,0,1
1450337768,1,0
1450344968,1,1
1450348568,0,1
1450352168,1,0
1450359368,0,1
1450402567,0,2
1450427768,1,1
1450431367,1,0
1450438568,0,1
1450445768,1,0
1450511467,0,1
1450518666,0,1
1450522267,0,1
1450600565,0,1
1450604165,0,1
1450618565,0,1
1450695968,1,0
1450861567,1,0
1450868767,1,1
1451033464,0,1
1451044264,0,1
1451237757,1,0
1451387151,0,1
1451487949,1,1
1451658052,1,0
1451661651,0,1
1452523849,5,1
1452538248,2,0
1452545449,2,0
1452696651,0,4
1452700251,0,1
1452711051,0,2
1452761449,1,2
1453291553,1,1
1453475156,1,1
1453728055,3,1
1453731655,1,0
1453792855,1,0
1453800055,3,0
1453803655,2,0
1453807255,1,0
1453810855,2,0
1453828854,2,0
1453900855,0,3
1453904455,0,1
1453966553,0,1
1453973752,0,4
1453977353,0,2
1453984553,0,2
1453998952,0,1
1454323848,1,1
1454327448,1,0
1454496644,0,1
1454518243,1,1
1454536243,1,0
1454583041,3,0
1454586641,3,0
1454590241,3,0
1454593841,1,0
1454597440,1,0
1454601040,1,0
1454604640,1,0
1454608240,2,0
1454611840,1,0
1454615441,2,0
