DateTime,AddedIPs,RemovedIPs
1472568306,5379,5379
1472569205,6840,6840
1472570106,7513,7512
1472571006,6887,6886
1472571906,4593,4593
1472572807,4223,4223
1472573706,4764,4765
1472574608,4475,4477
1472575506,3909,3908
1472576405,4109,4109
1472577306,4108,4111
1472578208,3637,3637
1472579107,4806,4810
1472580007,5635,5634
1472580908,5115,5116
1472581806,4810,4812
1472582708,4865,4863
1472583609,4997,4997
1472584508,4470,4467
1472585406,4391,4391
1472586307,6349,6587
1472587209,13896,14680
1472588108,5738,5742
1472589007,5665,5667
1472589908,5321,5321
1472590808,5344,5343
1472591707,9163,8688
1472592609,6724,6635
1472593506,6337,6741
1472594409,5931,6211
1472595309,6781,7277
1472596208,6518,6849
1472597109,6220,6314
1472598009,5983,6096
1472598909,5904,5669
1472599806,6370,6360
1472600710,7461,7097
1472601610,8381,8061
1472602510,9629,9298
1472603409,9462,9291
1472604310,9198,9046
1472605209,8610,8527
1472606110,9207,9175
1472607010,9661,9598
1472607910,9159,9116
1472608809,5731,5745
1472609725,5391,5391
1472610610,5448,5459
1472611509,5720,5742
1472612410,4080,4179
1472613310,2414,2530
1472614210,2137,2258
1472615111,2075,2178
1472616010,1558,1681
1472616909,1505,1594
1472617810,1461,1573
1472618711,5793,5806
1472619611,6351,6379
1472620510,6300,6302
1472621411,5966,5962
1472622311,6114,5907
1472623210,9544,9122
1472624109,9422,9512
1472625012,8618,8698
1472625911,5417,5523
1472626810,2005,2176
1472627711,1746,1917
1472628612,1903,2045
1472629512,5195,5216
1472630413,7070,6978
1472631311,8043,7923
1472632210,6747,6665
1472633113,6537,6395
1472634011,7890,7349
1472634912,7424,7423
1472635811,7080,7088
1472636710,7163,7161
1472637612,6938,6935
1472638512,6735,6756
1472639408,6656,6666
1472640313,6651,6679
1472641213,6893,6886
1472642113,6345,6381
1472643012,6340,6344
1472643912,8976,8929
1472644811,11248,11167
1472645714,11643,11604
1472646613,10910,10860
1472647511,10092,10076
1472648411,6543,6586
1472649312,7913,7931
1472650212,8814,8885
1472651111,9623,9693
1472652014,9269,9268
1472652912,9682,9644
1472653812,9458,9390
1472654715,9226,9154
1472655613,9531,9500
1472656513,8692,8685
1472657413,8993,8979
1472658313,8609,8592
1472659213,7859,7877
1472660114,6880,6926
1472661013,4338,4421
1472661913,1934,2011
1472662814,1735,1802
1472663713,1657,1740
1472664613,1530,1637
1472665515,5840,5870
1472666414,7609,7611
1472667313,6087,6080
1472668212,5156,5150
1472669113,5222,5281
1472670015,6207,6453
1472670908,4639,4605
1472671814,4180,4273
1472672715,3748,3831
1472673614,3682,3743
1472674514,3815,3889
1472675415,3694,3785
1472676313,3661,4311
1472677212,3707,3741
1472678114,3755,3940
1472679012,3585,3717
1472679914,6067,6126
1472680813,7276,7177
1472681713,4946,4888
1472682611,5267,4834
1472683514,5056,5756
1472684413,5263,7119
1472685313,3916,5733
1472686212,3890,5555
1472687114,4247,5683
1472688013,4788,6022
1472688914,6206,6052
