DateTime,Entries,UniqueIPs
1472641213,39539,39539
1472642113,39503,39503
1472643012,39499,39499
1472643912,39546,39546
1472644811,39627,39627
1472645714,39666,39666
1472646613,39716,39716
1472647511,39732,39732
1472648411,39689,39689
1472649312,39671,39671
1472650212,39600,39600
1472651111,39530,39530
1472652014,39531,39531
1472652912,39569,39569
1472653812,39637,39637
1472654715,39709,39709
1472655613,39740,39740
1472656513,39747,39747
1472657413,39761,39761
1472658313,39778,39778
1472659213,39760,39760
1472660114,39714,39714
1472661013,39631,39631
1472661913,39554,39554
1472662814,39487,39487
1472663713,39404,39404
1472664613,39297,39297
1472665515,39267,39267
1472666414,39265,39265
1472667313,39272,39272
1472668212,39278,39278
1472669113,39219,39219
1472670015,38973,38973
1472670908,39007,39007
1472671814,38914,38914
1472672715,38831,38831
1472673614,38770,38770
1472674514,38696,38696
1472675415,38605,38605
1472676313,37955,37955
1472677212,37921,37921
1472678114,37736,37736
1472679012,37604,37604
1472679914,37545,37545
1472680813,37644,37644
1472681713,37702,37702
1472682611,38135,38135
1472683514,37435,37435
1472684413,35579,35579
1472685313,33762,33762
1472686212,32097,32097
1472687114,30661,30661
1472688013,29427,29427
1472688914,29581,29581
1472689815,31207,31207
1472690712,33454,33454
1472691614,35132,35132
1472692514,36298,36298
1472693413,36835,36835
1472694315,37203,37203
1472695213,37347,37347
1472696135,37501,37501
1472697014,37663,37663
1472697912,37652,37652
1472698808,37788,37788
1472699714,37952,37952
1472700614,38163,38163
1472701514,38474,38474
1472702413,38690,38690
1472703313,38913,38913
1472704214,38994,38994
1472705115,38878,38878
1472706012,38554,38554
1472706913,38273,38273
1472707812,38010,38010
1472708711,37785,37785
1472709612,37537,37537
1472710513,37281,37281
1472711414,37063,37063
1472712313,36828,36828
1472713212,36651,36651
1472714112,36455,36455
1472715012,36265,36265
1472715912,36061,36061
1472716812,35873,35873
1472717714,36786,36786
1472718612,38343,38343
1472719513,39349,39349
1472720415,39366,39366
1472721314,39301,39301
1472722215,39253,39253
1472723117,39180,39180
1472724015,39159,39159
1472724915,39133,39133
1472725814,39114,39114
1472726715,39159,39159
1472727615,39147,39147
1472728516,39265,39265
1472729414,39439,39439
1472730317,39523,39523
1472731214,39463,39463
