DateTime,Entries,UniqueIPs
1471219322,140,140
1471222922,138,138
1471226522,138,138
1471230122,134,134
1471233722,138,138
1471237322,136,136
1471240922,136,136
1471244522,133,133
1471248122,136,136
1471251722,140,140
1471255322,137,137
1471258923,136,136
1471262522,138,138
1471266123,135,135
1471269723,134,134
1471273322,134,134
1471276922,139,139
1471280522,135,135
1471284122,142,142
1471287722,138,138
1471291322,142,142
1471294922,140,140
1471298522,137,137
1471302123,139,139
1471305723,129,129
1471309322,128,128
1471312922,128,128
1471316522,133,133
1471320122,135,135
1471323722,134,134
1471327323,135,135
1471330923,139,139
1471334523,147,147
1471338122,148,148
1471341722,147,147
1471345322,148,148
1471348922,150,150
1471352523,148,148
1471356122,152,152
1471359722,153,153
1471363322,149,149
1471366922,156,156
1471370522,151,151
1471374122,153,153
1471377722,157,157
1471381323,161,161
1471384922,162,162
1471388523,168,168
1471392122,178,178
1471395722,185,185
1471399322,193,193
1471402923,192,192
1471406522,192,192
1471410122,190,190
1471413722,186,186
1471417323,192,192
1471420923,191,191
1471424523,192,192
1471428123,189,189
1471431722,193,193
1471435322,199,199
1471438923,199,199
1471442523,202,202
1471446122,203,203
1471449722,200,200
1471453322,197,197
1471456923,198,198
1471460522,199,199
1471464122,200,200
1471467723,195,195
1471471322,194,194
1471474922,197,197
1471478523,191,191
1471482122,190,190
1471485722,184,184
1471489322,186,186
1471492922,187,187
1471496522,191,191
1471500122,195,195
1471503722,193,193
1471507323,201,201
1471510922,204,204
1471514522,213,213
1471518122,211,211
1471521722,211,211
1471525322,215,215
1471528922,214,214
1471532522,216,216
1471536122,228,228
1471539722,234,234
1471543322,240,240
1471546923,243,243
1471550523,249,249
1471554122,251,251
1471557722,252,252
1471561322,255,255
1471564922,257,257
1471568522,255,255
1471572122,263,263
1471575722,263,263
1471579322,262,262
1471582922,257,257
1471586522,265,265
1471590422,264,264
1471594322,263,263
1471597923,264,264
1471601522,265,265
1471605421,268,268
1471609021,264,264
1471612622,265,265
1471616222,268,268
1471619822,285,285
1471623422,283,283
1471627022,280,280
1471630622,285,285
1471634222,283,283
1471637822,281,281
1471641422,282,282
1471645022,285,285
1471648621,281,281
1471652222,285,285
1471655822,288,288
1471659422,290,290
1471663022,291,291
1471666622,293,293
1471670222,291,291
1471673821,291,291
1471677722,284,284
1471681322,272,272
1471684922,266,266
1471688522,258,258
1471692122,251,251
1471695722,247,247
1471699322,253,253
1471702922,253,253
1471706522,243,243
