DateTime,AddedIPs,RemovedIPs
1465797121,7,8
1465811522,11,6
1465825922,8,5
1465840322,9,10
1465854722,3,8
1465869122,10,10
1465883521,7,12
1465897922,7,7
1465912322,9,9
1465926721,8,7
1465941121,7,7
1465955521,8,7
1465969921,6,8
1465984622,6,7
1465999021,8,7
1466013422,8,6
1466027822,19,6
1466042222,10,6
1466056622,12,6
1466071022,7,6
1466085421,6,16
1466099821,8,5
1466114222,8,8
1466129822,19,6
1466144222,7,6
1466158622,7,6
1466173323,12,9
1466188023,6,6
1466202722,8,10
1466217123,6,5
1466231523,8,5
1466245922,8,7
1466260322,11,7
1466274723,9,13
1466289123,6,8
1466303823,6,18
1466318222,8,14
1466332623,10,6
1466347023,8,3
1466361423,9,8
1466376123,5,6
1466390823,7,10
1466405223,6,9
1466419622,6,7
1466434022,8,5
1466448422,8,16
1466462823,11,13
1466477522,9,7
1466491923,7,9
1466506322,10,11
1466520722,11,11
1466535122,9,14
1466549822,6,6
1466564223,9,11
1466578622,9,5
1466593022,7,11
1466607422,11,9
1466621823,2,10
1466636222,13,4
1466650622,8,6
1466665023,3,7
1466679423,6,5
1466693823,11,11
1466708523,6,17
1466723222,9,7
1466737623,9,9
1466752322,6,8
1466767023,9,7
1466781423,9,15
1466795822,13,4
1466810223,12,9
1466824623,20,11
1466839023,8,11
1466853423,17,16
1466867823,6,12
1466882223,13,8
1466896624,4,10
1466911026,16,13
1466925426,15,8
1466939823,4,7
1466954222,8,1
1466968622,12,10
1466983323,6,17
1467020222,2,24
1467034622,29,12
1467049022,8,16
1467063422,11,18
1467077823,9,8
1467092233,6,15
1467106622,10,11
1467121022,10,9
1467135422,18,6
1467149822,6,10
1467164222,8,7
1467178622,7,5
1467193022,6,11
1467207422,5,8
1467221822,9,9
1467236222,16,9
1467250622,18,11
1467265021,9,12
1467279422,9,5
1467293824,5,26
1467308222,10,7
1467322622,11,7
1467337024,5,12
1467351422,7,11
1467365822,8,5
1467380222,9,19
1467394621,12,10
1467409022,11,11
1467423424,4,7
1467437822,8,8
1467452223,7,11
1467466622,11,20
1467481022,10,7
1467495422,9,13
