DateTime,Entries,UniqueIPs
1465734799,1286,1286
1465749408,1301,1301
1465763279,1294,1294
1465777311,1277,1277
1465791486,1286,1286
1465805618,1282,1282
1465820157,1283,1283
1465834360,1298,1298
1465848736,1275,1275
1465863144,1273,1273
1465877501,1248,1248
1465892016,1238,1238
1465906430,1228,1228
1465920712,1199,1199
1465934402,128,128
1465948802,226,226
1465963201,318,318
1465977602,415,415
1465992001,513,513
1466006401,602,602
1466020802,683,683
1466035201,763,763
1466049602,864,864
1466064002,970,970
1466078402,1061,1061
1466092802,1094,1094
1466107202,1128,1128
1466121602,1133,1133
1466136002,1119,1119
1466150402,1130,1130
1466164801,1165,1165
1466179202,1184,1184
1466193602,1207,1207
1466208002,1165,1165
1466222401,1137,1137
1466236801,1120,1120
1466251202,1109,1109
1466265602,1102,1102
1466280002,1110,1110
1466294401,1095,1095
1466308802,1076,1076
1466323202,1062,1062
1466337602,1076,1076
1466352002,1078,1078
1466366401,1098,1098
1466380802,1095,1095
1466395202,1109,1109
1466409602,1107,1107
1466424002,1098,1098
1466438402,1107,1107
1466452802,1127,1127
1466467202,1145,1145
1466481601,1167,1167
1466496002,1201,1201
1466510402,1205,1205
1466524801,1219,1219
1466539201,1260,1260
1466553601,1282,1282
1466568002,1299,1299
1466582402,1304,1304
1466596802,1320,1320
1466611202,1302,1302
1466625603,1300,1300
1466640002,1317,1317
1466683203,927,927
1466697602,918,918
1466712001,906,906
1466726402,885,885
1466740801,875,875
1466755202,866,866
1466769602,886,886
1466784002,928,928
1466798402,994,994
1466812802,1097,1097
1466827202,1199,1199
1466841602,1202,1202
1466856002,1204,1204
1466870402,1221,1221
1466884802,1228,1228
1466899201,1234,1234
1466913602,1221,1221
1466928002,1214,1214
1466942402,1227,1227
1466956802,1246,1246
1466971202,1223,1223
1466985602,1203,1203
1467000002,1187,1187
1467014401,1163,1163
1467028802,1180,1180
1467043202,1177,1177
1467057602,1171,1171
1467072002,1187,1187
1467086401,1170,1170
1467100801,1178,1178
1467115202,1202,1202
1467129602,1215,1215
1467144002,1239,1239
1467158402,1252,1252
1467172801,1255,1255
1467187202,1273,1273
1467201602,1322,1322
1467216002,1356,1356
1467230401,1375,1375
1467244801,1387,1387
1467259202,1377,1377
1467273601,1355,1355
1467288003,1352,1352
1467302402,1361,1361
1467316802,1349,1349
1467331202,1348,1348
1467345602,1326,1326
1467360001,1310,1310
1467374402,1287,1287
1467388802,1279,1279
1467403202,1297,1297
1467417602,1308,1308
1467432001,1347,1347
1467446402,1371,1371
1467460802,1412,1412
1467475201,1448,1448
1467489602,1469,1469
1467504001,1500,1500
1467518402,1537,1537
1467532802,1548,1548
1467547202,1554,1554
1467561601,1561,1561
1467576002,1555,1555
1467590401,1527,1527
1467604802,1517,1517
1467619202,1506,1506
1467633602,1482,1482
1467648002,1490,1490
1467662402,1477,1477
1467676802,1449,1449
1467691202,1432,1432
1467705601,1414,1414
1467720002,1416,1416
1467734402,1417,1417
1467748802,1429,1429
1467763202,1419,1419
1467777601,1437,1437
1467792002,1424,1424
1467806402,1407,1407
1467820802,1361,1361
1467835202,1377,1377
1467849602,1389,1389
1467864002,1404,1404
1467878402,1374,1374
1467892802,1355,1355
1467907202,1335,1335
1467921602,1324,1324
1467936002,1302,1302
1467950402,1296,1296
1467964802,1323,1323
1467979202,1307,1307
1467993602,1325,1325
1468008002,1299,1299
1468022402,1273,1273
1468036802,1251,1251
1468051201,1243,1243
1468065602,1233,1233
1468080001,1229,1229
1468094402,1212,1212
1468108801,1214,1214
1468123202,1192,1192
1468137601,1185,1185
1468152002,1201,1201
1468166402,1199,1199
1468180801,1177,1177
1468195202,1166,1166
1468209602,1159,1159
1468224002,1155,1155
1468238402,1148,1148
1468252801,1137,1137
1468267202,1104,1104
1468281602,1109,1109
