DateTime,AddedIPs,RemovedIPs
1465736749,8,30
1465748207,24,6
1465762401,15,18
1465775819,19,26
1465789310,10,20
1465802840,3,14
1465817436,34,21
1465831721,40,6
1465845848,26,15
1465860348,11,14
1465874609,19,4
1465889255,8,10
1465903680,4,24
1465917833,15,17
1465930802,7,200
1465945202,24,0
1465959601,14,0
1465974002,15,0
1465988402,26,0
1466002802,12,0
1466017202,5,0
1466031602,55,0
1466046001,21,0
1466060402,12,0
1466074802,10,0
1466089203,25,7
1466103602,19,25
1466118002,32,8
1466132402,14,32
1466146802,28,8
1466161201,5,14
1466175602,45,19
1466190002,30,44
1466204401,23,20
1466218802,15,10
1466233202,20,14
1466247602,28,21
1466262002,13,24
1466276401,24,30
1466290803,8,12
1466305202,14,30
1466319602,47,3
1466334002,43,54
1466348403,30,17
1466362802,20,25
1466377202,8,13
1466391601,26,23
1466406002,20,27
1466420402,30,17
1466434801,35,22
1466449202,23,6
1466463602,41,16
1466478002,29,57
1466492403,15,38
1466506801,13,25
1466521202,15,18
1466535602,16,21
1466550006,14,11
1466564402,36,23
1466578802,7,35
1466593202,8,29
1466607602,34,28
1466618402,36,37
1466632802,20,31
1466640002,12,2
1466683204,25,73
1466697602,32,16
1466712001,6,33
1466726402,20,17
1466740801,21,2
1466755202,17,11
1466769602,41,51
1466784002,36,20
1466798402,34,0
1466812802,39,0
1466827202,16,0
1466841602,43,37
1466856002,30,24
1466870402,34,5
1466884802,29,23
1466899201,13,21
1466913602,17,33
1466928002,13,27
1466942402,22,34
1466956802,30,41
1466971202,25,39
1466985602,29,24
1467000002,10,24
1467014401,17,33
1467028802,15,34
1467043202,35,26
1467057602,39,11
1467072002,63,20
1467086401,34,21
1467100801,17,16
1467115202,31,32
1467129602,30,27
1467144002,26,23
1467158402,9,9
1467172801,13,20
1467187202,32,18
1467201602,25,51
1467216002,12,32
1467230401,54,63
1467244801,10,21
1467259202,17,18
1467273601,16,31
1467288003,13,39
1467302402,14,15
1467316802,27,7
1467331202,15,19
1467345602,10,31
1467360001,4,25
1467374402,5,16
1467388802,16,49
1467403202,8,14
1467417602,5,10
1467432002,9,20
1467446402,4,16
1467460802,7,11
1467475201,61,26
1467489602,25,17
1467504001,28,7
1467518402,22,2
1467532802,30,12
1467547202,23,9
1467561601,26,10
1467576002,31,4
1467590401,20,11
1467604802,6,2
1467619202,8,12
1467633602,7,62
1467648002,25,22
1467662402,17,30
1467676802,32,26
1467691202,24,25
1467705601,6,24
1467720002,15,28
1467734402,13,29
1467748802,21,14
1467763202,23,8
1467777602,10,9
1467792002,17,8
1467806402,14,24
1467820802,34,32
1467835202,9,18
1467849602,22,23
1467864002,9,7
1467878402,17,19
1467892802,22,5
1467907202,15,22
1467921602,16,21
1467936002,6,10
1467950402,3,19
1467964802,9,12
1467979202,13,34
1467993602,7,6
1468008002,4,23
1468022402,7,8
1468036802,20,24
1468051201,9,15
1468065602,0,16
1468080002,0,15
1468094402,4,4
1468108801,2,6
1468123202,0,8
1468137601,3,13
1468152002,0,9
1468166402,2,3
1468180801,3,8
1468195202,3,25
1468209602,7,3
1468224002,19,2
1468238402,14,1
1468252801,8,4
1468267202,15,2
1468281602,11,0
1468296002,2,3
1468310401,10,0
1468324801,8,4
1468339202,19,3
1468353602,18,6
1468368001,11,11
1468382402,14,15
1468396802,7,11
1468411202,14,9
1468425602,17,16
1468440001,15,6
1468454402,9,5
1468468802,9,8
1468483202,9,12
1468497602,9,17
1468512002,13,15
1468526401,7,14
1468540802,12,13
1468555202,12,5
1468569601,13,15
1468584002,27,19
1468598403,9,10
1468612801,3,11
1468627202,5,10
1468641601,6,9
1468656002,5,10
1468670402,5,14
1468684802,2,12
1468699202,2,8
1468713601,5,14
1468728002,2,12
1468742401,1,27
1468756801,5,6
1468771202,6,4
1468785602,5,4
1468800002,3,9
1468814401,11,1
1468828802,10,6
1468843287,7,1
1468857602,22,5
1468872001,14,3
1468886402,19,1
1468900802,16,1
1468915202,13,6
1468929602,13,8
1468944002,10,2
1468958401,17,6
1468972802,24,9
1468987202,7,10
1469001601,13,12
1469016001,9,19
1469030402,11,18
1469044802,22,13
1469059202,26,17
1469073602,16,13
1469088001,23,10
1469102401,14,14
1469116801,12,20
1469131202,9,20
1469145602,8,5
1469160001,10,13
1469174402,7,10
1469188802,8,15
1469203201,2,22
1469217601,9,24
1469232002,14,18
1469246402,5,23
1469260802,7,10
1469275201,10,11
1469289602,3,11
1469304002,7,5
1469318402,4,13
1469332802,2,7
1469347202,4,4
1469361601,5,4
1469376001,7,9
1469390402,8,13
1469404802,3,5
1469419202,6,8
1469433602,9,7
1469448002,17,4
1469462401,14,6
1469476801,14,5
1469491202,14,4
1469505602,9,4
1469520002,9,5
1469534401,12,9
1469548802,15,7
1469563202,12,5
1469577602,10,4
1469592002,20,12
1469606401,8,18
1469620802,9,9
1469635201,13,17
1469649602,10,9
1469664001,8,9
1469678402,4,11
1469692802,8,12
1469707201,4,19
1469721602,15,13
1469736002,14,14
1469750401,7,14
1469764802,9,8
1469779202,9,11
1469793601,11,17
1469808001,46,4
1469822402,40,7
1469836802,27,8
1469851202,21,4
1469865602,12,4
1469880001,7,17
1469894401,8,12
1469908802,4,7
1469923201,12,8
1469937602,2,9
1469952002,10,15
1469966402,12,50
1469980802,7,38
1469995202,7,18
1470009602,8,29
1470024002,12,4
1470038402,8,10
1470052801,11,8
1470067202,22,6
1470081602,25,11
1470096002,33,4
1470110402,32,12
1470124802,31,8
1470139202,9,6
1470153602,8,6
1470168002,9,11
1470204002,5,24
1470218402,3,20
1470232802,6,14
1470247201,11,40
1470261602,10,33
1470276002,14,39
1470290401,21,8
1470304802,19,9
1470319202,14,7
1470333602,11,5
1470348001,32,0
1470362402,33,3
1470376802,38,4
1470391202,48,4
1470405602,14,10
1470420002,6,12
1470434401,8,12
1470448802,2,24
1470463201,3,16
1470477603,7,11
1470492001,10,10
1470506402,7,40
1470520802,3,32
1470535202,3,40
1470549602,6,42
1470564002,1,10
1470578402,3,3
1470592802,9,7
1470607202,8,3
1470621602,6,2
1470636002,1,10
1470650401,2,7
1470664801,8,3
1470679201,24,1
1470693602,9,6
1470708002,2,5
1470722401,6,4
1470736802,6,6
1470751202,11,11
1470765602,27,8
1470780002,17,5
1470794402,12,4
1470808801,7,4
1470823202,9,20
1470837601,16,12
1470852002,14,9
1470866402,12,2
1470880801,7,6
1470895202,3,11
1470909602,15,9
1470924002,20,33
1470938402,5,10
1470952802,5,13
1470967201,3,3
1470981603,3,11
1470996002,10,16
1471010402,28,12
1471024801,53,9
1471039202,9,4
1471053601,4,2
1471068002,1,27
1471082401,4,10
1471096802,4,4
1471111202,2,8
1471125602,3,6
1471140002,1,6
1471154402,5,8
1471168802,2,59
1471183202,15,24
1471197601,19,8
1471212002,19,2
1471226402,12,1
1471240802,7,8
1471255202,0,1
1471269602,10,3
1471284002,8,3
1471298402,9,0
1471312802,5,5
1471327202,7,7
1471341601,4,17
1471356002,4,18
1471370402,8,17
1471384803,14,11
1471399202,2,4
1471413602,8,2
1471428001,6,10
1471442402,3,7
1471456801,22,8
1471471202,14,6
1471485602,7,6
1471500002,7,4
1471514401,9,12
1471528802,6,4
1471543202,3,12
1471557602,5,2
1471572002,6,7
1471586402,2,7
1471600802,4,4
1471615202,32,27
1471629602,28,7
1471644002,13,7
1471658401,5,11
1471672802,1,6
1471687202,7,5
1471701601,4,4
1471716002,9,7
1471730402,11,1
1471744801,7,3
1471759202,2,5
1471773602,7,49
1471788001,3,9
1471802401,7,14
1471816802,9,5
1471831202,16,0
1471845602,8,8
1471860002,3,4
1471874402,49,11
1471888801,55,8
1471903202,23,6
1471917602,13,1
1471932002,8,6
1471946401,22,3
1471960802,34,7
1471975202,28,12
1471989602,21,11
1472004002,16,6
1472018402,7,13
1472032802,8,56
1472047202,16,52
1472061602,2,15
1472076002,20,10
1472090402,20,15
1472104802,12,29
1472119202,13,34
1472133602,14,27
1472148002,10,15
1472162402,15,17
1472176802,6,8
1472191201,11,9
1472205602,1,12
1472220001,21,6
1472234402,19,17
1472248802,17,21
1472263201,25,11
1472277602,17,18
1472292002,5,8
1472306401,9,13
1472320802,9,9
1472335202,10,6
1472349602,10,8
1472364002,3,3
1472378401,5,25
1472392802,6,18
1472407201,7,15
1472421602,4,28
1472436001,3,17
1472450403,2,7
1472464802,6,7
1472479202,15,10
1472493602,18,8
1472508001,11,9
1472522402,32,4
1472536802,30,5
1472551202,15,9
1472565602,26,7
1472580002,14,4
1472594401,25,2
1472608802,24,5
1472623202,8,4
1472637602,9,19
1472652002,19,12
1472666402,9,19
1472680802,26,30
1472695202,22,33
1472709602,23,8
1472724002,11,30
1472738401,14,16
1472752802,19,22
1472767202,25,22
1472781602,18,5
1472796002,13,14
1472810402,14,17
1472824802,35,7
1472839202,45,27
1472853601,15,25
1472868002,9,19
1472882402,12,11
1472896802,6,14
1472911202,7,26
1472925601,12,24
1472940002,7,16
1472954402,12,12
