DateTime,AddedIPs,RemovedIPs
1470072070,3,6
1470077476,48,14
1470083472,11,0
1470088876,0,11
1470094876,5,12
1470101476,7,0
1470107471,7,12
1470114070,3,14
1470119472,1,17
1470125470,10,0
1470132069,3,15
1470137467,2,19
1470143463,2,0
1470147660,3,14
1470154267,41,9
1470159064,13,0
1470164470,8,12
1470170469,7,18
1470175875,1,0
1470182469,5,14
1470187872,12,6
1470192667,10,0
1470198066,12,24
1470204070,2,56
1470208876,7,21
1470214872,6,25
1470220874,7,9
1470226268,3,0
1470233468,5,27
1470240666,8,18
1470246669,5,0
1470252667,5,33
1470257469,4,0
1470263465,1,12
1470268869,61,16
1470275470,20,0
1470282070,2,12
1470289869,6,26
1470297073,3,33
1470303678,13,0
1470308474,20,8
1470313874,30,0
1470319872,0,10
1470326472,4,8
1470332468,3,44
1470337264,4,0
1470342668,5,18
1470348069,30,0
1470353465,28,13
1470358868,1,13
1470364270,1,0
1470369670,2,9
1470374472,7,16
1470379871,12,6
1470385871,7,0
1470391269,5,32
1470396665,2,0
1470402666,6,20
1470412866,3,18
1470418264,8,23
1470423066,11,0
1470429064,2,33
1470436271,6,19
1470442266,42,25
1470449465,2,23
1470456667,8,0
1470463262,1,23
1470468665,3,16
1470474070,2,0
1470480068,9,19
1470484869,6,22
1470489672,2,0
1470495669,5,16
1470501066,4,0
1470505871,4,25
1470511270,3,31
1470517268,3,0
1470522668,3,16
1470527465,16,21
1470533468,14,16
1470538870,3,16
1470544266,4,0
1470549667,3,24
1470555673,6,16
1470562279,2,27
1470567670,5,0
1470573068,5,23
1470577867,1,0
1470583272,3,23
1470588671,37,0
1470594668,4,13
1470599467,5,25
1470605467,6,0
1470610872,5,5
1470616265,6,17
1470621667,2,0
1470628269,4,10
1470634869,4,13
1470642070,8,16
1470649277,8,17
1470654070,43,0
1470659468,1,21
1470664269,8,0
1470669669,6,14
1470681672,5,10
1470686471,8,6
1470691873,5,11
1470697270,5,14
1470702675,11,0
1470708073,6,13
1470713472,4,0
1470719477,6,12
1470727277,5,16
1470734481,2,18
1470741077,83,0
1470746475,11,15
1470753077,5,0
1470759076,7,17
1470766270,5,45
1470771073,3,0
1470776471,4,33
1470781874,3,0
1470787269,6,25
1470792670,7,0
1470798074,4,33
1470804673,6,28
1470811871,4,29
1470817873,3,0
1470823875,2,13
1470829268,5,30
1470836470,30,0
1470841269,1,30
1470846069,7,0
1470852069,15,13
1470858668,1,13
1470862270,2,0
1470869466,0,28
