DateTime,Entries,UniqueIPs
1470358868,4854,5041
1470364270,4842,5028
1470369670,4821,5004
1470374472,4838,5022
1470379871,4834,5018
1470385871,4825,5010
1470391269,4821,5007
1470396665,4803,4988
1470402666,4800,4986
1470407470,4789,4973
1470412866,4796,4980
1470418264,4771,4954
1470423066,4794,4977
1470429064,4784,4964
1470436271,4785,4965
1470442266,4814,4991
1470449465,4818,4995
1470456667,4809,4986
1470463262,4792,4966
1470468665,4787,4960
1470474070,4792,4965
1470480068,4792,4966
1470484869,4780,4954
1470489672,4773,4946
1470495669,4780,4953
1470501066,4776,4949
1470505871,4779,4952
1470511270,4775,4947
1470517268,4774,4945
1470522668,4778,4950
1470527465,4780,4952
1470533468,4757,4927
1470538870,4749,4918
1470544266,4738,4908
1470549667,4746,4916
1470555673,4740,4909
1470562279,4740,4909
1470567670,4739,4909
1470573068,4734,4904
1470577867,4710,4878
1470583272,4719,4888
1470588671,4747,4912
1470594668,4741,4904
1470599467,4733,4897
1470605467,4740,4904
1470610872,4751,4916
1470616265,4736,4900
1470621667,4729,4892
1470628269,4735,4898
1470634869,4713,4874
1470642070,4720,4883
1470649277,4712,4876
1470654070,4733,4894
1470659468,4735,4896
1470664269,4732,4892
1470669669,4737,4899
1470675067,4734,4899
1470681672,4727,4888
1470686471,4724,4886
1470691873,4726,4888
1470697270,4731,4894
1470702675,4733,4894
1470708073,4713,4873
1470713472,4702,4861
1470719477,4706,4866
1470727277,4683,4841
1470734481,4663,4820
1470741077,4734,4892
1470746475,4739,4896
1470753077,4733,4890
1470759076,4737,4894
1470766270,4749,4906
1470771073,4732,4887
1470776471,4727,4882
1470781874,4732,4887
1470787269,4705,4860
1470792670,4707,4862
1470798074,4710,4867
1470804673,4704,4860
1470811871,4707,4859
1470817873,4698,4849
1470823875,4693,4846
1470829268,4688,4839
1470836470,4698,4849
1470841269,4689,4839
1470846069,4690,4840
1470852069,4709,4855
1470858668,4711,4857
1470862270,4705,4850
1470865869,4692,4836
1470873064,4669,4810
1470876667,4643,4783
1470883865,4629,4768
1470889263,4603,4736
1470892868,4608,4741
1470896467,4610,4744
1470900066,4596,4729
1470903670,4555,4686
1470907266,4556,4687
1470910868,4541,4672
1470918068,4530,4658
1470921670,4522,4650
1470928865,4509,4637
1470932467,4493,4620
1470936068,4494,4621
1470939666,4480,4606
1470943270,4490,4616
1470946864,4479,4605
1470950471,4460,4586
1470954074,4463,4589
1470957667,4454,4580
1470961266,4452,4577
1470968469,4441,4564
1470972070,4425,4548
1470975673,4426,4549
1470979267,4408,4531
1470982872,4379,4502
1470986478,4380,4503
1470990062,4373,4496
1470993666,4363,4483
1470997267,4364,4484
1471000862,4343,4463
1471004458,4330,4448
1471008066,4331,4449
1471011662,4321,4439
1471015265,4296,4414
1471022464,4277,4394
1471026063,4263,4380
1471033261,4247,4364
1471036862,4232,4349
1471040462,4239,4356
1471044060,4226,4342
1471051262,4219,4335
1471054858,4182,4297
1471058458,4184,4299
1471062065,4174,4288
1471065659,4175,4289
1471069259,4155,4268
1471076464,4132,4244
1471083660,4122,4234
1471087262,4107,4219
1471090857,4112,4224
1471094461,4107,4218
1471098063,4093,4204
1471105262,4082,4193
1471108864,4070,4181
1471112464,4071,4182
1471116059,4062,4173
1471121465,4041,4152
1471125062,4029,4140
1471132261,4024,4135
1471135864,4017,4128
1471139457,4025,4137
1471143057,4004,4115
1471146667,3990,4098
1471150258,3991,4099
1471153860,3972,4079
1471157465,3960,4067
1471164660,3944,4051
1471168266,3937,4042
1471175459,3902,4005
1471182660,3882,3985
1471186258,3863,3965
1471189868,3875,3977
1471193461,3860,3961
1471197063,3849,3950
1471204262,3833,3933
1471207859,3822,3922
1471215058,3796,3893
1471218659,3763,3859
1471225859,3742,3838
1471229462,3716,3812
1471233062,3717,3813
1471236660,3695,3791
1471240258,3705,3802
1471243864,3667,3763
1471247460,3619,3714
1471254671,3589,3681
1471258268,3590,3682
1471261862,3567,3659
1471269060,3537,3629
1471272659,3515,3607
1471276259,3516,3608
1471279862,3490,3581
1471282862,3453,3542
1471286458,3454,3543
1471290058,3428,3516
1471297258,3417,3503
1471300860,3366,3450
1471304460,3324,3406
1471311660,3311,3393
1471315259,3284,3365
1471322460,3250,3329
1471326058,3200,3279
1471333259,3201,3280
1471336858,3134,3209
1471340464,3105,3180
1471347659,3032,3106
1471351262,3036,3110
1471354860,2977,3046
1471362060,2951,3020
1471365658,2894,2963
1471374663,2872,2941
1471381858,2827,2894
1471385458,2797,2862
1471389055,2764,2829
1471392657,2765,2830
1471396259,2721,2786
1471399853,2693,2758
1471408854,2639,2703
1471412456,2567,2628
1471419654,2519,2578
1471423256,2520,2579
1471426863,2448,2502
1471430456,2345,2397
1471434053,2350,2402
1471437656,2241,2292
1471441255,2244,2295
1471444855,2185,2235
1471448459,2189,2239
1471452057,2139,2189
1471455657,2012,2060
1471459259,2002,2050
1471466459,1999,2047
1471470059,2000,2048
1471480861,2001,2049
1471484459,2004,2052
1471488064,1988,2036
1471491659,1986,2034
1471495264,1975,2023
1471498859,1973,2021
1471506060,1970,2018
1471513268,1960,2008
1471516860,1959,2007
1471520458,1960,2008
1471531255,1969,2017
1471534861,1964,2011
1471538456,1965,2012
1471542058,1966,2013
1471545659,1947,1994
1471549252,1950,1997
1471556455,1946,1993
1471560053,1945,1992
1471563654,1939,1986
1471570853,1940,1987
1471581649,1940,1987
1471585252,1935,1982
1471588851,1934,1981
1471592452,1931,1975
1471596049,1920,1964
1471599661,1917,1961
1471603252,1914,1958
1471606851,1913,1957
1471610453,1908,1952
1471617652,1910,1954
1471628449,1911,1955
1471632056,1957,2002
1471635654,2092,2140
1471639258,2202,2263
1471642861,2235,2296
1471646457,2276,2338
1471650051,2320,2383
1471653655,2367,2431
1471657253,2409,2475
1471660857,2423,2489
1471664457,2469,2537
1471668053,2487,2555
1471671653,2509,2577
1471675253,2535,2603
1471678848,2564,2636
1471680653,2577,2649
1471686658,2666,2740
1471692659,2677,2750
1471697457,2704,2778
1471703458,2753,2832
1471708857,2799,2879
1471713655,2812,2894
1471719060,2868,2951
1471725059,2936,3020
1471729864,2976,3062
1471736459,3063,3151
1471741263,3066,3155
1471747256,3090,3179
1471752059,3125,3216
1471758059,3164,3257
1471764658,3183,3279
1471770059,3195,3293
1471775463,3228,3327
1471780858,3248,3352
1471786257,3290,3397
1471791054,3291,3398
1471797059,3299,3406
1471801860,3394,3508
1471808460,3402,3517
1471813857,3418,3535
1471818658,3425,3542
1471824056,3441,3559
1471828855,3468,3587
1471834856,3531,3653
1471840253,3531,3652
1471845057,3536,3656
1471851060,3557,3677
1471855860,3569,3693
1471861260,3587,3716
1471867260,3612,3741
1471872654,3617,3746
1471877458,3626,3756
1471883455,3673,3804
1471888857,3718,3857
1471894259,3709,3848
1471899663,3719,3858
1471905057,3730,3869
1471910457,3751,3894
