DateTime,Entries,UniqueIPs
1470379871,1079,1079
1470385871,1068,1068
1470391269,1064,1064
1470396665,1073,1073
1470402666,1093,1093
1470407470,1090,1090
1470412866,1056,1056
1470418264,1046,1046
1470423066,1096,1096
1470429064,1097,1097
1470436271,1075,1075
1470442266,1122,1122
1470449465,1104,1104
1470456667,1039,1039
1470463262,1025,1025
1470468665,1022,1022
1470474070,998,998
1470480068,973,973
1470484869,973,973
1470489672,978,978
1470495669,962,962
1470501066,950,950
1470505871,946,946
1470511270,959,959
1470517268,974,974
1470522668,981,981
1470527465,1008,1008
1470533468,1055,1055
1470538870,1086,1086
1470544266,1096,1096
1470549667,1106,1106
1470555673,1066,1066
1470562279,1054,1054
1470567670,1050,1050
1470573068,1025,1025
1470577867,1021,1021
1470583272,1045,1045
1470588671,1100,1100
1470594668,1096,1096
1470599467,1109,1109
1470605467,1130,1130
1470610872,1184,1184
1470616265,1206,1206
1470621667,1237,1237
1470628269,1224,1224
1470634869,1213,1213
1470642070,1164,1164
1470649277,1099,1099
1470654070,1115,1115
1470659468,1101,1101
1470664269,1134,1134
1470669669,1140,1140
1470675067,1161,1161
1470681672,1172,1172
1470686471,1216,1216
1470691873,1235,1235
1470697270,1256,1256
1470702675,1277,1277
1470708073,1309,1309
1470713472,1336,1336
1470719477,1369,1369
1470727277,1338,1338
1470734481,1257,1257
1470741077,1318,1318
1470746475,1220,1220
1470753077,1210,1210
1470759076,1213,1213
1470766270,1142,1142
1470771073,1153,1153
1470776471,1156,1156
1470781874,1169,1169
1470787269,1183,1183
1470792670,1198,1198
1470798074,1268,1268
1470804673,1289,1289
1470811871,1227,1227
1470817873,1181,1181
1470823875,1127,1127
1470829268,1090,1090
1470836470,1075,1075
1470841269,1063,1063
1470846069,1041,1041
1470852069,1025,1025
1470858668,1024,1024
1470862270,1072,1072
1470873064,1073,1073
1470876667,1073,1073
1470883865,1066,1066
1470889263,1063,1063
1470892868,1067,1067
1470896467,1073,1073
1470900066,1073,1073
1470903670,1064,1064
1470907266,1063,1063
1470910868,1057,1057
1470914466,1056,1056
1470921670,1053,1053
1470925259,1051,1051
1470928865,1050,1050
1470932467,1036,1036
1470936068,1037,1037
1470939666,1034,1034
1470943270,1017,1017
1470946864,1026,1026
1470950471,1034,1034
1470954074,1046,1046
