DateTime,AddedIPs,RemovedIPs
1467337271,176,108
1467351671,113,83
1467366180,95,324
1467387700,267,139
1467396098,124,0
1467409327,82,144
1467422534,237,137
1467430949,133,127
1467442287,95,102
1467450721,109,233
1467458520,49,0
1467472891,137,0
1467486694,150,107
1467494508,80,206
1467501724,73,0
1467511309,100,129
1467524521,127,96
1467532901,106,106
1467546700,110,50
1467561083,89,298
1467568910,129,107
1467576106,150,0
1467585736,224,58
1467594103,94,79
1467601898,30,184
1467615701,109,85
1467630097,168,101
1467637304,83,151
1467645102,74,48
1467653511,52,0
1467661305,75,150
1467675722,184,86
1467685967,90,102
1467693104,78,217
1467702117,71,192
1467715329,119,89
1467723698,159,0
1467731528,83,146
1467738687,95,0
1467750103,58,79
1467763933,92,252
1467778327,173,40
1467785534,109,107
1467793331,39,129
1467800532,73,128
1467808338,194,0
1467816128,141,103
1467823363,69,74
1467832298,132,107
1467845545,98,130
1467853304,61,146
1467862327,137,90
1467876109,153,0
1467883932,54,105
1467892920,34,80
1467900118,106,156
1467908535,64,86
1467917560,202,111
1467925922,87,167
1467934291,67,85
1467948090,122,135
1467962514,184,162
1467969704,59,137
1467977498,135,0
1467989515,119,89
1467998503,129,224
1468006941,70,108
1468014723,97,75
1468021912,42,140
1468031528,128,199
1468045921,169,0
1468054899,79,70
1468062680,81,107
1468074712,139,105
1468082531,75,136
1468092711,139,77
1468105918,156,92
1468114292,68,179
1468122107,86,126
1468131109,46,87
1468139506,126,0
1468153890,280,85
1468161712,68,250
1468170718,53,85
1468179754,144,139
1468189290,99,86
1468196500,65,0
1468204323,51,79
1468218095,194,49
1468226551,111,260
1468236715,119,31
1468246935,117,0
1468255949,251,58
1468263124,71,146
1468272131,117,101
1468281718,118,43
1468290135,131,50
1468299722,78,154
1468308700,105,76
1468317131,75,64
1468325517,99,108
1468335715,104,120
1468345925,158,53
1468358523,70,83
1468367540,47,122
1468378318,128,178
1468387338,49,211
1468396932,98,114
1468407717,75,167
1468416135,69,83
1468426360,213,144
1468433523,169,124
1468442518,94,79
1468452116,57,0
1468460522,73,177
1468469525,45,64
1468479725,204,128
1468490510,106,102
1468497707,82,112
1468505534,41,166
1468512738,56,91
1468522910,214,0
1468531318,124,183
1468539711,115,130
1468546941,77,75
1468556525,65,188
1468566700,71,151
1468575725,132,69
1468582939,83,0
1468591312,146,67
1468599116,45,59
1468606303,183,271
1468614750,52,0
1468623710,223,97
1468636362,127,63
1468645940,60,167
1468656702,108,189
1468665741,65,53
1468679495,143,67
1468688501,153,102
1468695708,43,100
1468704114,50,194
1468718523,157,209
1468725732,78,74
1468740124,125,173
1468747307,17,91
1468755716,73,234
1468764724,79,148
1468771904,152,0
1468780891,118,70
1468794727,123,73
1468807924,125,288
1468820513,185,139
1468828327,88,31
1468836112,86,115
1468850496,114,57
1468864928,142,121
1468878118,151,225
1468891930,135,157
1468903341,92,202
1468910489,44,80
1468924289,207,92
1468930291,90,344
1468939929,75,0
1468954317,155,187
1468968097,208,140
1468975907,78,148
1468990296,145,0
1469004692,151,239
1469019107,170,93
1469026893,98,224
1469040711,136,185
1469054493,135,52
1469062910,160,0
1469076715,169,267
1469091128,146,0
1469097701,68,218
1469106729,134,88
1469114507,119,119
1469128929,127,149
1469142694,74,139
1469157113,176,154
1469164303,144,124
1469178688,139,101
1469185918,35,138
1469193693,122,101
1469208115,160,194
1469221922,143,146
1469235706,106,204
1469246494,79,75
1469257302,150,135
1469268115,121,42
1469279467,167,93
1469287262,36,213
1469301062,236,176
1469314865,153,116
1469326259,107,120
1469338863,149,99
1469346068,64,130
1469360470,131,107
1469374866,82,62
1469389260,141,339
1469401260,111,107
1469412659,72,177
1469423460,111,84
1469433660,84,0
1469445061,184,250
1469457661,160,0
1469472058,97,178
1469484058,153,125
1469494861,175,69
1469505663,108,120
1469518867,72,57
1469530869,139,145
1469541670,173,123
1469554870,103,116
1469565070,50,188
1469575865,138,136
1469586671,195,103
1469598070,110,112
1469610676,122,136
1469623272,143,151
1469635868,169,109
1469650262,167,76
1469662261,114,97
1469673066,97,145
1469686266,162,211
1469698868,131,142
1469709664,128,192
1469721057,97,158
1469734859,196,0
1469746862,124,101
1469758262,122,116
1469772663,115,221
1469785269,181,245
1469796660,129,0
1469808055,79,340
1469821257,168,93
1469831458,169,0
1469844659,96,90
1469857259,100,173
1469871066,108,177
1469881868,171,155
1469892669,89,75
1469903467,175,136
1469914270,52,155
1469925067,115,106
1469938261,163,142
1469952663,102,135
1469962863,71,165
1469974268,114,62
1469988664,177,104
1470000663,111,89
1470011462,59,103
1470021662,70,351
1470033061,153,0
1470043863,128,89
1470055263,95,89
1470067266,98,210
1470077468,193,136
1470088867,114,71
1470101468,119,82
1470114061,99,140
1470125463,143,126
1470137459,110,85
1470147653,124,110
1470159055,144,156
1470170461,125,82
1470182460,84,117
1470192659,71,128
1470204060,141,169
1470214864,114,128
1470226260,91,90
1470240656,153,93
1470252659,106,116
1470263456,112,106
1470275460,243,78
1470289859,123,112
1470303667,85,86
1470313863,150,243
1470326461,89,135
1470337254,79,0
1470348057,121,97
1470358856,92,173
1470369658,73,171
1470379857,114,161
1470391262,132,123
1470402659,100,108
1470412859,58,95
1470423055,147,0
1470436261,121,139
1470449456,102,173
1470463253,108,129
1470474065,130,127
1470484861,74,88
1470495662,97,98
1470505863,90,116
1470517260,105,140
1470527457,96,100
1470538862,134,178
1470549657,117,146
1470562272,86,0
1470573060,115,166
1470583264,127,97
1470594660,135,97
1470605458,91,68
1470616255,150,87
1470628258,117,85
1470642060,128,119
1470654060,140,125
1470664258,103,106
1470675055,109,58
1470686458,127,72
1470697257,128,114
1470708059,134,104
1470719464,121,124
1470727270,44,139
1470741070,154,0
1470753070,139,169
1470766262,104,110
1470776462,62,159
1470787261,71,102
1470798065,185,107
1470811861,132,66
1470823867,56,142
1470836463,120,218
1470846062,124,160
1470860458,128,75
1470874859,1,91
1470889256,12,329
1470903664,102,133
1470918062,60,233
1470932460,18,199
1470946858,83,197
1470961259,65,33
1470990058,39,154
1471004453,70,0
1471018856,36,29
1471033253,15,108
1471047653,74,59
1471062057,68,36
1471090852,77,95
1471105256,65,56
1471119658,2,84
1471134056,21,0
1471148453,86,54
1471162856,56,103
1471177253,12,61
1471191659,94,3
1471206053,63,0
1471220453,3,97
1471234853,21,0
1471249259,108,58
1471263655,56,22
1471278052,19,80
1471291852,82,61
1471306253,66,0
1471320652,0,10
1471335054,51,73
1471349453,32,59
1471363852,32,18
1471378252,15,117
1471392650,87,60
1471407047,57,0
1471421447,8,69
1471435849,81,82
1471450252,54,0
1471464655,0,126
1471479051,19,50
1471493454,109,0
1471507856,50,95
1471522254,14,0
1471536649,73,76
1471551049,66,18
1471579845,57,76
1471594247,12,59
1471608643,46,95
1471623045,16,62
1471637452,313,0
1471651845,238,101
1471666245,156,28
1471680648,191,52
1471692653,129,0
1471703451,107,25
1471713648,77,148
1471725052,139,162
1471736451,186,120
1471747248,96,0
1471758050,100,185
1471770052,92,97
1471780851,132,81
1471791047,94,77
1471801850,168,57
1471813848,50,150
1471824047,45,126
1471834847,173,110
1471845048,44,100
1471855853,84,182
1471867252,121,0
1471877451,44,93
1471888849,196,192
1471899654,82,92
1471910448,106,0
1471921252,73,129
1471931449,143,51
1471942248,100,107
1471953047,87,90
1471963847,88,64
1471974648,126,261
1471986053,168,0
1471996856,102,188
1472008253,123,146
1472018447,133,99
1472029246,96,74
1472040044,90,74
1472050241,74,79
1472061048,134,0
1472071847,92,141
1472082644,71,126
1472093445,127,156
1472104245,102,138
1472115651,79,86
1472125849,64,105
1472136647,107,92
1472147444,125,110
1472158249,94,172
1472168446,119,141
1472181053,152,0
1472191249,80,192
1472201450,69,112
1472212245,76,0
1472222448,86,189
1472233847,130,0
1472244052,104,90
1472255450,117,137
1472266856,71,203
1472277655,96,0
1472288459,73,100
1472298652,64,208
1472310056,74,0
1472320252,174,174
1472331658,86,103
1472342458,78,84
1472352654,95,120
1472364054,103,0
1472374848,83,97
1472385650,57,174
1472396446,93,96
1472410848,285,109
1472421651,91,82
1472432450,125,104
1472443254,113,89
1472454653,76,96
1472466656,78,86
1472478050,116,112
1472487650,89,118
1472499646,159,90
