DateTime,Entries,UniqueIPs
1467387700,8890,9193
1467396098,8928,9233
1467409327,8925,9231
1467422534,9064,9373
1467430949,9011,9321
1467442287,9024,9335
1467450721,9032,9344
1467458520,9004,9314
1467472891,9020,9331
1467486694,9020,9331
1467494508,9015,9326
1467501724,9014,9326
1467511309,9013,9320
1467524521,8989,9296
1467532901,8980,9280
1467546700,8987,9287
1467561083,8991,9293
1467568910,9028,9329
1467576106,9043,9347
1467585736,9179,9490
1467594103,9163,9475
1467601898,9147,9459
1467615701,9170,9483
1467630097,9160,9473
1467637304,9143,9456
1467645102,9153,9470
1467653511,9145,9460
1467661305,9151,9468
1467675722,9099,9418
1467685967,9094,9409
1467693104,9056,9367
1467702117,9056,9368
1467715329,9078,9390
1467723698,9128,9440
1467731528,9100,9412
1467738687,9105,9417
1467750103,9093,9404
1467763933,9103,9414
1467778327,9097,9411
1467785534,9053,9367
1467793331,9043,9351
1467800532,9047,9356
1467808338,9138,9439
1467816128,9122,9420
1467823363,9126,9424
1467832298,9145,9443
1467845545,9137,9438
1467853304,9103,9402
1467862327,9119,9418
1467876109,9127,9429
1467883932,9107,9407
1467892920,9102,9402
1467900118,9139,9441
1467908535,9145,9444
1467917560,9165,9464
1467925922,9177,9476
1467934291,9175,9476
1467948090,9195,9497
1467962514,9194,9495
1467969704,9172,9472
1467977498,9207,9508
1467989515,9241,9544
1467998503,9238,9542
1468006941,9248,9552
1468014723,9256,9560
1468021912,9232,9536
1468031528,9247,9551
1468045921,9249,9554
1468054899,9237,9542
1468062680,9230,9535
1468074712,9242,9547
1468082531,9238,9543
1468092711,9304,9609
1468105918,9297,9603
1468114292,9295,9601
1468122107,9313,9621
1468131109,9305,9612
1468139506,9302,9609
1468153890,9429,9739
1468161712,9414,9724
1468170718,9391,9700
1468179754,9392,9702
1468189290,9414,9727
1468196500,9413,9724
1468204323,9412,9723
1468218095,9400,9710
1468226551,9409,9719
1468236715,9409,9719
1468246935,9410,9720
1468255949,9465,9772
1468263124,9463,9770
1468272131,9474,9781
1468281718,9471,9778
1468290135,9470,9777
1468299722,9464,9771
1468308700,9466,9773
1468317131,9476,9785
1468325517,9468,9777
1468335715,9465,9774
1468345925,9521,9830
1468358523,9518,9827
1468367540,9502,9810
1468378318,9522,9831
1468387338,9517,9826
1468396932,9505,9814
1468407717,9484,9793
1468416135,9475,9784
1468426360,9535,9845
1468433523,9606,9917
1468442518,9592,9902
1468452116,9569,9878
1468460522,9587,9896
1468469525,9586,9895
1468479725,9611,9920
1468490510,9573,9881
1468497707,9565,9873
1468505534,9548,9855
1468522910,9589,9896
1468531318,9607,9914
1468539711,9612,9919
1468546941,9619,9926
1468556525,9628,9935
1468566700,9616,9923
1468575725,9617,9924
1468582939,9595,9903
1468591312,9606,9914
1468599116,9589,9897
1468606303,9699,10009
1468614750,9687,9997
1468623710,9673,9983
1468636362,9680,9990
1468645940,9663,9973
1468656702,9646,9953
1468665741,9643,9950
1468679495,9658,9965
1468688501,9714,10022
1468695708,9712,10020
1468704114,9691,9997
1468718523,9721,10027
1468725732,9709,10015
1468740124,9676,9983
1468747307,9651,9958
1468755716,9640,9947
1468764724,9665,9972
1468771904,9650,9958
1468780891,9702,10011
1468794727,9712,10022
1468807924,9724,10036
1468820513,9734,10049
1468828327,9697,10012
1468836112,9702,10019
1468850496,9705,10021
1468864928,9748,10066
1468878118,9744,10064
1468891930,9747,10067
1468903341,9738,10056
1468910489,9724,10041
1468924289,9737,10062
1468930291,9724,10048
1468939929,9723,10047
1468954317,9758,10084
1468968097,9770,10095
1468975907,9765,10088
1468990296,9772,10095
1469004692,9751,10075
1469019107,9696,10020
1469026893,9702,10026
1469040711,9746,10070
1469054493,9734,10057
1469062910,9725,10047
