DateTime,AddedIPs,RemovedIPs
1467366180,175,220
1467387700,478,430
1467396098,206,209
1467409327,179,197
1467422534,348,238
1467430949,260,198
1467442287,203,204
1467450721,182,202
1467458520,91,109
1467472891,278,297
1467486694,288,323
1467494508,161,175
1467501724,132,127
1467511309,155,124
1467524521,313,325
1467532901,183,190
1467546700,219,203
1467561083,242,269
1467568910,184,99
1467576106,224,244
1467585736,316,175
1467594103,162,156
1467601898,79,96
1467615701,228,348
1467630097,319,355
1467637304,178,171
1467645102,115,163
1467653511,105,134
1467661305,145,158
1467675722,366,272
1467685967,249,193
1467693104,136,108
1467702117,128,205
1467715329,217,237
1467723698,254,222
1467731528,190,196
1467738687,143,155
1467750103,116,176
1467763933,257,269
1467778327,309,280
1467785534,208,147
1467793331,89,81
1467800532,137,120
1467808338,251,156
1467816128,242,284
1467823363,128,167
1467832298,219,233
1467845545,192,282
1467853304,132,162
1467862327,276,252
1467876109,332,320
1467883932,113,134
1467892920,95,122
1467900118,205,180
1467908535,141,141
1467917560,296,275
1467925922,186,205
1467934291,125,126
1467948090,237,241
1467962514,337,350
1467969704,129,128
1467977498,216,187
1467989515,226,206
1467998503,237,264
1468006941,117,154
1468014723,168,214
1468021912,121,115
1468031528,243,225
1468045921,340,295
1468054899,128,147
1468062680,179,173
1468074712,268,313
1468082531,178,215
1468092711,240,184
1468105918,320,275
1468114292,149,160
1468122107,174,178
1468131109,118,135
1468139506,243,244
1468153890,464,301
1468161712,139,86
1468170718,137,157
1468179754,260,314
1468189290,235,256
1468196500,104,103
1468204323,138,145
1468218095,364,339
1468226551,240,186
1468236715,221,154
1468246935,233,243
1468255949,425,269
1468263124,158,96
1468272131,238,187
1468281718,226,230
1468290135,282,362
1468299722,144,183
1468308700,203,224
1468317131,157,236
1468325517,273,292
1468335715,203,196
1468345925,282,263
1468358523,201,247
1468367540,167,133
1468378318,305,332
1468387338,176,149
1468396932,208,228
1468407717,157,178
1468416135,155,198
1468426360,347,293
1468433523,233,199
1468442518,189,245
1468452116,109,144
1468460522,175,220
1468469525,119,143
1468479725,380,348
1468490510,266,262
1468497707,140,136
1468505534,90,132
1468512738,114,127
1468522910,380,340
1468531318,220,177
1468539711,228,199
1468546941,141,135
1468556525,130,168
1468566700,162,182
1468575725,239,364
1468582939,176,119
1468591312,253,145
1468599116,99,82
1468606303,276,115
1468614750,129,196
1468623710,404,267
1468636362,249,346
