DateTime,Entries,UniqueIPs
1470560163,1293,1299
1470563764,1269,1274
1470570963,1296,1301
1470574563,1281,1286
1470581764,1316,1321
1470585363,1280,1284
1470592564,1311,1317
1470596164,1283,1289
1470603364,1288,1294
1470606963,1237,1242
1470614163,1270,1275
1470617763,1208,1212
1470624964,1257,1262
1470628563,1269,1274
1470635764,1268,1275
1470639363,1241,1245
1470646564,1292,1297
1470650163,1319,1328
1470657366,1377,1386
1470660964,1383,1393
1470668164,1403,1414
1470671763,1379,1389
1470678964,1475,1486
1470682563,1432,1444
1470689764,1487,1499
1470693363,1417,1428
1470700564,1484,1495
1470704164,1487,1498
1470711364,1453,1463
1470714964,1444,1454
1470722163,1478,1487
1470725763,1444,1453
1470732964,1507,1516
1470736563,1418,1422
1470740164,1454,1458
1470743763,1425,1430
1470750964,1426,1431
1470754564,1418,1423
1470761764,1398,1402
1470765363,1395,1400
1470772564,1379,1385
1470776164,1373,1378
1470783364,1344,1350
1470786964,1338,1345
1470794163,1289,1300
1470797763,1269,1280
1470804964,1251,1262
1470808563,1250,1261
1470812165,1269,1280
1470815763,1244,1254
1470819364,1228,1238
1470822963,1253,1263
1470830164,1225,1235
1470833764,1204,1214
1470840964,1209,1219
1470844564,1163,1174
1470851763,1161,1170
1470855363,1111,1120
1470862563,1122,1131
1470866164,1096,1105
1470869764,1085,1094
1470873363,1105,1114
1470880564,1092,1101
1470884163,1086,1096
1470891363,1077,1088
1470894964,1061,1072
1470905764,1010,1015
1470909363,1034,1039
1470916564,997,1001
1470920163,991,994
1470927364,1058,1062
1470930964,1080,1084
1470938163,1084,1090
1470941765,1124,1130
1470948963,1101,1107
1470952564,1124,1130
1470959764,1126,1134
1470963363,1110,1117
1470970563,1133,1138
1470974163,1117,1122
1470981364,1145,1151
1470984965,1127,1133
1470992165,1165,1171
1470995764,1169,1175
1471002963,1128,1135
1471006564,1156,1163
1471013764,1098,1105
1471017364,1139,1146
1471024563,1052,1057
1471028164,1042,1047
1471035363,1068,1073
1471038963,1093,1098
1471046164,1068,1073
1471049764,1097,1102
1471056979,1093,1101
1471060564,1083,1094
1471067764,1114,1125
1471071363,1100,1111
1471078564,1138,1149
1471082163,1142,1151
1471089363,1133,1137
1471092963,1102,1106
1471100164,1146,1150
1471103764,1097,1101
1471110964,1151,1156
1471114564,1146,1151
1471121767,1228,1233
1471125363,1183,1189
1471132563,1227,1233
1471136163,1201,1209
1471143363,1243,1254
1471146963,1243,1253
1471154163,1234,1246
1471157764,1225,1237
1471164964,1194,1204
1471168564,1194,1200
1471175764,1246,1253
1471179364,1246,1254
1471186563,1210,1218
1471190165,1237,1245
1471197363,1264,1273
1471200964,1159,1166
1471208165,1214,1223
1471211764,1261,1270
1471218964,1238,1246
1471222564,1240,1248
1471229763,1238,1247
1471233363,1229,1239
1471240564,1248,1259
1471244164,1254,1265
1471251364,1291,1302
1471254963,1280,1285
1471258564,1363,1368
1471262163,1362,1367
1471269364,1342,1346
1471272964,1341,1345
1471280164,1305,1309
1471283764,1306,1310
1471290963,1296,1300
1471294564,1277,1280
1471301763,1295,1299
1471305363,1309,1314
1471312563,1292,1300
