DateTime,AddedIPs,RemovedIPs
1470527763,12,18
1470538563,19,34
1470542164,7,11
1470549363,31,17
1470552964,6,12
1470560163,8,18
1470563764,16,10
1470570963,20,16
1470574563,14,7
1470581764,21,11
1470585363,16,12
1470592564,30,10
1470596164,9,17
1470603364,16,39
1470606963,10,11
1470614163,25,13
1470617763,5,4
1470624964,9,21
1470628563,11,8
1470635764,20,11
1470639363,12,11
1470646564,30,15
1470650163,22,12
1470657366,25,18
1470660964,30,17
1470668164,29,25
1470671763,18,9
1470678964,41,3
1470682563,6,20
1470689764,24,0
1470693363,14,26
1470700564,21,0
1470704164,9,11
1470711364,18,27
1470714964,13,15
1470722163,25,9
1470725763,12,7
1470732964,19,2
1470736563,11,10
1470740164,12,6
1470743763,8,0
1470750964,17,24
1470754564,13,0
1470761764,25,24
1470765363,7,15
1470772564,17,6
1470776164,9,12
1470783364,17,0
1470786964,12,16
1470794163,4,0
1470797763,6,27
1470804964,12,9
1470808563,9,14
1470812165,6,0
1470815763,10,18
1470819364,7,0
1470822963,8,40
1470830164,11,8
1470833764,8,28
1470840964,15,14
1470844564,13,25
1470851763,15,16
1470855363,6,19
1470862563,16,6
1470866164,8,13
1470869764,7,0
1470873363,5,12
1470880564,5,10
1470884163,6,63
1470891363,12,19
1470894964,5,22
1470905764,14,2
1470909363,2,15
1470916564,11,10
1470920163,7,20
1470927364,30,5
1470930964,11,16
1470938163,25,8
1470941765,22,15
1470948963,24,7
1470952564,7,13
1470959764,21,7
1470963363,3,15
1470970563,5,17
1470974163,1,16
1470981364,8,12
1470984965,5,11
1470992165,8,7
1470995764,5,16
1471002963,7,17
1471006564,14,30
1471013764,25,6
1471017364,21,8
1471024563,21,17
1471028164,10,20
1471035363,25,8
1471038963,10,26
1471046164,19,7
1471049764,10,18
1471056979,10,15
1471060564,3,9
1471067764,16,7
1471071363,11,17
1471078564,13,15
1471082163,12,17
1471089363,20,5
1471092963,13,18
1471100164,23,7
1471103764,27,26
1471110964,24,17
1471114564,13,19
1471121767,65,8
1471125363,21,19
1471132563,35,12
1471136163,2,30
1471143363,10,0
1471146963,8,9
1471154163,16,20
1471157764,2,21
1471164964,11,7
1471168564,13,17
1471175764,14,5
1471179364,9,0
1471186563,23,24
1471190165,8,0
1471197363,32,14
1471200964,19,25
1471208165,18,0
1471211764,28,10
1471218964,15,16
1471222564,8,10
1471229763,19,31
1471233363,13,15
1471240564,9,4
1471244164,16,22
1471251364,11,0
1471254963,25,55
1471258564,41,0
1471262163,9,14
1471269364,13,24
1471272964,18,17
1471280164,16,31
1471283764,23,15
1471290963,24,23
1471294564,11,13
1471301763,18,37
1471305363,17,15
1471312563,5,36
1471316164,8,24
1471323364,11,20
1471326964,8,7
1471334164,13,19
1471337763,5,19
1471341364,18,0
1471344965,26,24
1471352164,17,15
1471355764,9,16
1471359363,20,0
1471362963,8,29
1471370165,12,19
1471373765,10,25
1471380964,14,16
1471384564,14,16
1471391764,14,22
1471395364,7,13
1471402564,1,12
1471406164,10,17
1471413364,17,14
1471416964,10,15
1471424164,18,3
1471427763,19,11
1471434964,19,24
1471438564,20,16
1471445763,19,0
1471449363,4,22
1471456563,18,14
1471460163,18,0
1471467364,34,30
1471470963,10,0
1471478163,17,14
1471481764,4,14
1471488963,3,11
1471492563,8,13
1471499763,12,2
1471503364,7,16
1471510563,7,0
1471514163,13,7
1471521364,41,28
1471524964,16,25
1471532163,29,15
1471535763,18,0
1471542963,29,54
1471546564,6,0
1471553763,17,21
1471557364,4,19
1471564563,15,4
1471568164,9,0
1471575364,5,20
1471578964,4,12
1471586164,14,7
1471589766,7,15
1471596963,17,0
1471600564,10,19
1471607763,16,0
1471611364,12,30
1471618564,12,0
1471622163,14,18
1471629364,14,15
1471632963,14,9
1471640164,8,15
1471643765,8,8
1471650964,14,24
1471654563,8,19
1471661763,5,0
1471665364,7,12
1471672563,8,29
1471676163,8,18
1471683364,20,0
1471686964,13,22
1471694164,9,6
1471697763,12,14
1471704964,25,21
1471708563,11,18
1471715764,23,16
1471719363,11,0
1471726564,14,55
1471730164,17,26
1471733764,4,0
1471737363,7,5
1471744564,14,16
1471748164,10,18
1471755364,16,38
1471758963,6,11
1471766164,16,12
1471769764,15,15
1471776963,20,18
1471780564,7,7
1471787764,12,14
1471791364,14,14
1471798564,22,25
1471802163,9,24
1471809364,20,28
1471812964,7,20
1471820163,11,19
1471823763,11,6
1471830963,7,12
1471834564,6,19
1471841764,11,13
1471845364,11,7
1471852563,18,16
1471856167,6,24
1471863363,14,38
1471866964,9,26
1471874164,32,19
1471877764,21,0
1471884963,21,47
1471888564,20,0
1471895764,12,60
1471899363,6,25
1471906563,17,10
1471910164,11,0
1471917363,7,25
1471920963,2,18
1471928163,14,9
1471931764,7,0
1471938965,11,31
1471942564,9,18
1471949763,23,14
1471953364,7,14
1471960563,27,7
1471964164,24,27
1471971364,29,26
1471974964,12,7
1471982164,32,14
1471985764,8,13
1471992963,19,18
1471996564,11,7
1472003765,7,10
1472007364,14,12
1472014565,19,11
1472018163,12,10
1472025363,13,21
1472028964,14,17
1472036163,19,19
1472039763,16,21
1472046964,17,18
1472050564,14,9
1472057764,33,19
1472061363,11,17
1472068564,63,32
1472072163,21,8
1472079363,25,17
1472082963,10,6
1472090164,9,15
1472093764,2,5
1472100963,7,11
1472104563,4,7
1472111763,18,16
1472115363,4,16
1472122564,17,24
1472126164,10,13
1472133364,16,23
1472136964,5,17
1472144163,19,49
1472147763,15,17
1472154964,13,17
1472158564,2,11
1472162163,2,0
1472165764,8,15
1472172963,13,9
1472180165,4,29
1472183764,4,0
1472190964,14,19
1472194565,11,0
1472201764,13,33
1472205364,5,15
1472212563,14,17
1472219764,21,17
1472223363,8,8
1472230564,31,19
1472234163,9,7
1472241364,27,9
1472244964,6,12
1472252163,30,18
1472255763,15,5
1472262963,6,22
1472266563,2,10
1472273765,12,11
1472277364,9,15
1472284563,11,23
1472288163,10,15
1472295363,21,9
1472298963,10,12
1472306164,20,15
1472309763,14,9
1472316964,16,17
1472320564,9,5
1472327763,16,17
1472331364,5,21
1472338563,17,26
1472342164,12,21
1472345763,6,0
1472349363,4,8
1472356564,7,16
1472360163,3,11
1472367364,14,13
1472370964,10,12
1472378164,15,11
1472381763,6,8
1472388965,14,17
1472392566,4,17
1472399765,10,19
1472403364,7,13
1472410565,13,19
1472414164,12,8
1472421363,8,17
1472424964,13,18
1472432163,12,19
1472435764,6,15
1472442964,3,16
1472446564,7,14
1472453763,9,12
1472457363,5,8
1472464563,7,13
1472468164,19,17
1472475363,16,31
1472478964,10,12
1472486164,17,22
1472489764,4,16
1472496963,13,17
1472500562,3,0
1472504163,4,10
1472507762,12,0
1472511363,25,17
1472514962,44,9
1472518563,21,0
1472522162,21,9
1472525762,7,18
1472529362,4,0
1472532963,3,15
1472536562,3,4
1472540162,2,0
1472543763,4,21
1472547362,3,5
1472550963,7,0
1472554563,11,25
1472558163,5,6
1472561763,9,0
1472565363,7,28
1472572562,31,22
1472576163,28,30
1472579762,15,7
1472583363,11,0
1472586963,7,19
1472590562,10,4
1472594162,4,0
1472597763,9,19
1472601362,3,8
1472604962,6,0
1472608563,5,19
1472612163,18,10
1472615762,18,0
1472619362,12,24
1472622963,12,11
1472626563,16,0
1472630163,20,13
1472633763,13,12
1472637363,38,0
1472640962,27,30
1472644563,21,15
1472648162,21,0
1472651763,24,15
1472655363,17,9
1472658963,22,0
1472662562,23,31
1472666162,29,21
1472669762,32,0
1472673363,21,31
1472676962,9,10
1472680562,14,0
1472684162,22,17
1472687763,11,7
1472691362,4,0
1472694963,0,13
1472698563,15,19
1472702162,19,0
1472705763,13,24
1472709362,28,16
1472712962,22,0
1472716563,24,29
1472720163,13,9
1472723763,23,0
1472727362,27,18
1472730962,13,2
1472734562,41,0
1472738162,19,16
1472741762,31,11
1472745363,62,0
1472748962,46,17
1472752562,19,16
1472756162,19,0
1472759762,11,16
1472763362,13,5
1472766963,18,0
1472770563,10,25
1472774163,6,13
1472777762,1,0
1472781363,3,12
1472784963,11,0
1472788563,16,2
1472792163,74,0
1472795763,25,7
1472799363,26,6
1472802963,44,0
1472806562,9,13
1472810162,27,5
1472813763,22,0
1472817362,9,17
1472820963,21,11
1472824562,25,0
1472828163,17,8
1472831762,12,0
1472835363,13,18
1472838963,3,8
1472842563,10,0
1472846162,9,21
1472849763,5,8
1472853362,5,0
1472856962,10,26
1472860562,10,4
1472864162,1,0
1472867763,0,8
1472871362,2,5
1472874963,5,0
1472878563,6,9
1472882162,7,8
1472885762,5,0
1472889363,11,7
1472892963,5,10
1472896562,4,0
1472900162,11,15
1472903763,9,5
1472907362,1,0
1472910963,2,12
1472914563,7,8
1472918163,6,0
1472921763,8,9
1472925363,7,4
1472928963,2,0
1472932563,10,12
1472936163,5,5
1472939763,4,0
1472943363,12,22
1472946963,6,10
1472950563,5,0
1472954162,1,11
1472957762,2,0
1472961363,4,19
1472964962,4,12
1472968563,5,0
