DateTime,Entries,UniqueIPs
1470592564,300,300
1470596164,299,299
1470603364,300,300
1470606963,300,300
1470614163,300,300
1470617763,300,300
1470624964,299,299
1470628563,299,299
1470635764,298,298
1470639363,298,298
1470646564,300,300
1470650163,300,300
1470657366,300,300
1470660964,300,300
1470668164,299,299
1470671763,300,300
1470678964,300,300
1470682563,300,300
1470689764,300,300
1470693363,300,300
1470700564,299,299
1470704164,300,300
1470711364,300,300
1470714964,300,300
1470722163,300,300
1470725763,299,299
1470732964,300,300
1470736563,300,300
1470740164,300,300
1470743763,300,300
1470750964,300,300
1470754564,300,300
1470761764,300,300
1470765363,300,300
1470772564,299,299
1470776164,299,299
1470783364,300,300
1470786964,300,300
1470794163,299,299
1470797763,299,299
1470804964,298,298
1470808563,300,300
1470812165,299,299
1470815763,299,299
1470819364,299,299
1470822963,300,300
1470830164,299,299
1470833764,299,299
1470840964,299,299
1470844564,299,299
1470851763,300,300
1470855363,300,300
1470862563,300,300
1470866164,300,300
1470869764,300,300
1470873363,300,300
1470880564,300,300
1470884163,300,300
1470891363,299,299
1470894964,297,297
1470905764,299,299
1470909363,299,299
1470916564,298,298
1470920163,298,298
1470927364,299,299
1470930964,300,300
1470938163,300,300
1470941765,299,299
1470948963,299,299
1470952564,300,300
1470959764,298,298
1470963363,299,299
1470970563,298,298
1470974163,298,298
1470981364,299,299
1470984965,299,299
1470992165,300,300
1470995764,300,300
1471002963,300,300
1471006564,300,300
1471013764,299,299
1471017364,299,299
1471024563,300,300
1471028164,300,300
1471035363,300,300
1471038963,300,300
1471046164,300,300
1471049764,300,300
1471056979,300,300
1471060564,300,300
1471067764,300,300
1471071363,299,299
1471078564,300,300
1471082163,299,299
1471089363,300,300
1471092963,300,300
1471100164,300,300
1471103764,300,300
1471110964,300,300
1471114564,300,300
1471121767,300,300
1471125363,300,300
1471132563,300,300
1471136163,300,300
1471143363,299,299
1471146963,299,299
1471154163,300,300
1471157764,300,300
1471164964,300,300
1471168564,300,300
1471175764,300,300
1471179364,300,300
1471186563,300,300
1471190165,300,300
1471197363,300,300
1471200964,299,299
1471208165,299,299
1471211764,299,299
1471218964,300,300
1471222564,300,300
1471229763,300,300
1471233363,299,299
1471240564,300,300
1471244164,299,299
1471251364,299,299
1471254963,300,300
1471258564,299,299
1471262163,299,299
1471269364,300,300
1471272964,300,300
1471280164,300,300
1471283764,300,300
1471290963,299,299
1471294564,299,299
1471301763,299,299
1471305363,299,299
1471312563,299,299
1471316164,300,300
1471323364,300,300
1471326964,300,300
1471334164,300,300
1471337763,300,300
1471341364,300,300
1471344965,299,299
1471352164,299,299
1471355764,299,299
1471359363,299,299
1471362963,300,300
1471370165,300,300
1471373765,299,299
1471380964,300,300
1471384564,299,299
1471391764,299,299
1471395364,299,299
1471402564,299,299
1471406164,299,299
1471413364,300,300
1471416964,299,299
1471424164,300,300
1471427763,299,299
1471434964,300,300
1471438564,300,300
1471445763,300,300
1471449363,300,300
1471456563,299,299
1471460163,298,298
1471467364,300,300
1471470963,299,299
1471478163,300,300
1471481764,300,300
1471488963,300,300
1471492563,299,299
1471499763,298,298
1471503364,299,299
1471510563,300,300
1471514163,300,300
1471521364,300,300
1471524964,300,300
1471532163,300,300
1471535763,300,300
1471542963,300,300
1471546564,300,300
1471553763,300,300
1471557364,300,300
1471564563,299,299
1471568164,299,299
1471575364,300,300
1471578964,300,300
1471586164,300,300
1471589766,299,299
1471596963,299,299
1471600564,300,300
1471607763,299,299
1471611364,300,300
1471618564,300,300
1471622163,300,300
1471629364,300,300
1471632963,300,300
1471640164,300,300
1471643765,300,300
1471650964,300,300
1471654563,300,300
1471661763,299,299
1471665364,298,298
1471672563,300,300
1471676163,300,300
1471683364,300,300
1471686964,299,299
1471694164,300,300
1471697763,300,300
1471704964,300,300
