DateTime,Entries,UniqueIPs
1469925072,2300,2361
1469931073,2300,2362
1469938266,2303,2365
1469945465,2297,2360
1469952666,2300,2363
1469957468,2298,2361
1469962867,2301,2364
1469967669,2302,2365
1469974272,2303,2366
1469981474,2303,2366
1469988669,2309,2372
1469994069,2307,2370
1470000668,2310,2373
1470006067,2307,2370
1470011467,2309,2372
1470016861,2306,2369
1470021667,2309,2372
1470027066,2303,2366
1470033066,2304,2366
1470038469,2305,2367
1470043868,2308,2370
1470049868,2315,2377
1470055267,2315,2377
1470061867,2314,2376
1470067270,2311,2373
1470072066,2313,2375
1470077472,2314,2376
1470083468,2311,2373
1470088872,2306,2368
1470094873,2299,2361
1470101472,2302,2364
1470107467,2300,2363
1470114066,2301,2364
1470119468,2302,2365
1470125467,2306,2369
1470132065,2300,2363
1470137463,2297,2360
1470143459,2302,2365
1470147657,2293,2356
1470154264,2294,2357
1470159060,2297,2360
1470164466,2295,2358
1470170465,2293,2356
1470175869,2297,2360
1470182465,2293,2357
1470187869,2290,2354
1470192664,2294,2358
1470198063,2289,2353
1470204066,2291,2355
1470208872,2293,2357
1470214868,2293,2357
1470220868,2293,2357
1470226264,2296,2360
1470233464,2291,2355
1470240660,2295,2359
1470246666,2297,2361
1470252664,2291,2355
1470257465,2289,2354
1470263462,2285,2350
1470268865,2283,2348
1470275466,2287,2352
1470282066,2284,2349
1470289865,2282,2347
1470297069,2284,2349
1470303674,2288,2353
1470308470,2287,2353
1470313870,2292,2358
1470319868,2289,2355
1470326468,2284,2350
1470332464,2281,2347
1470337261,2288,2354
1470342664,2293,2359
1470348065,2297,2363
1470353461,2295,2361
1470358864,2300,2366
1470364266,2303,2369
1470369666,2305,2371
1470374468,2306,2372
1470379866,2303,2369
1470385867,2306,2372
1470391266,2299,2366
1470396662,2303,2370
1470402662,2301,2368
1470407467,2303,2370
1470412863,2304,2371
1470418261,2304,2370
1470423060,2310,2376
1470429060,2308,2373
1470436265,2307,2372
1470442263,2300,2365
1470449461,2297,2363
1470456664,2301,2367
1470463259,2297,2363
1470468662,2295,2361
1470474067,2300,2366
1470480065,2294,2360
1470484864,2293,2359
1470489668,2297,2363
1470495665,2293,2358
1470501063,2298,2363
1470505867,2298,2363
1470511267,2292,2357
1470517265,2297,2363
1470522665,2296,2362
1470527462,2295,2362
1470533464,2293,2360
1470538867,2299,2366
1470544263,2301,2368
1470549663,2299,2365
1470555668,2295,2361
1470562275,2296,2362
1470567666,2297,2363
1470573064,2294,2360
1470577864,2298,2364
1470583268,2296,2362
1470588668,2304,2370
1470594664,2304,2370
1470599463,2304,2370
1470605463,2307,2373
1470610868,2305,2371
1470616261,2303,2369
1470621663,2307,2373
1470628264,2306,2372
1470634865,2301,2367
1470642066,2300,2366
1470649270,2294,2360
1470654066,2301,2368
1470659464,2301,2368
1470664265,2302,2369
1470669665,2302,2369
1470675062,2306,2373
1470681666,2307,2374
1470686467,2307,2374
1470691868,2308,2375
1470697266,2309,2375
1470702671,2314,2380
1470708068,2311,2376
1470713466,2315,2380
1470719473,2314,2380
1470727273,2315,2381
1470734477,2312,2378
1470741073,2320,2386
1470746471,2310,2376
1470753073,2313,2379
1470759072,2308,2374
1470766266,2306,2372
1470771068,2309,2375
1470776467,2304,2370
1470781871,2301,2367
1470787266,2300,2368
1470792667,2303,2371
1470798070,2304,2372
1470804669,2299,2367
1470811867,2298,2366
1470817869,2301,2369
1470823871,2298,2366
1470829265,2301,2369
1470836466,2306,2375
1470841266,2306,2375
1470846066,2310,2379
1470852066,2310,2379
1470858665,2308,2377
1470862265,2309,2378
1470869462,2304,2373
1470876664,2300,2369
1470885666,2296,2365
1470896463,2293,2362
1470903667,2286,2355
1470914462,2281,2349
1470921666,2274,2342
1470932463,2268,2336
1470939663,2264,2332
1470943267,2265,2333
1470954069,2259,2327
1470964868,2254,2322
1470972065,2249,2317
1470982868,2245,2313
1470993663,2242,2310
1471000859,2239,2307
1471011659,2235,2303
1471022460,2229,2297
1471026060,2222,2290
1471036859,2219,2287
1471047657,2216,2284
1471058455,2210,2278
1471065656,2203,2271
1471072861,2201,2269
1471083656,2198,2266
1471090853,2190,2258
1471101662,2185,2252
1471108860,2181,2248
1471116056,2176,2243
1471126856,2170,2237
1471137658,2167,2234
1471141258,2162,2228
1471152059,2157,2222
1471162860,2154,2219
1471173663,2146,2211
1471177255,2139,2204
1471188060,2135,2200
1471195261,2131,2196
1471198857,2123,2188
1471213258,2119,2184
1471220457,2115,2180
1471231254,2113,2178
1471242059,2110,2175
1471249261,2108,2173
1471263658,2106,2171
1471274457,2100,2165
1471284658,2093,2158
1471288256,2081,2146
1471299053,2078,2143
1471306256,2075,2140
1471313452,2070,2135
1471317053,2071,2136
