DateTime,Entries,UniqueIPs
1472638807,1535,1535
1472641240,1535,1535
1472641690,1537,1537
1472642648,1536,1536
1472643141,1535,1535
1472643609,1536,1536
1472644090,1535,1535
1472644567,1533,1533
1472645054,1536,1536
1472646486,1535,1535
1472646976,1536,1536
1472647449,1535,1535
1472647932,1535,1535
1472648648,1535,1535
1472649126,1535,1535
1472649609,1536,1536
1472651047,1535,1535
1472651532,1535,1535
1472652017,1536,1536
1472652489,1535,1535
1472653211,1534,1534
1472653688,1535,1535
1472654650,1535,1535
1472655132,1534,1534
1472655624,1535,1535
1472657051,1534,1534
1472657535,1535,1535
1472658969,1534,1534
1472659453,1534,1534
1472659930,1534,1534
1472660415,1535,1535
1472661367,1534,1534
1472661846,1535,1535
1472663050,1533,1533
1472663533,1535,1535
1472664018,1534,1534
1472664488,1533,1533
1472664971,1534,1534
1472665450,1533,1533
1472665928,1533,1533
1472666414,1534,1534
1472666889,1533,1533
1472667608,1534,1534
1472668095,1534,1534
1472668567,1533,1533
1472669051,1534,1534
1472670973,1533,1533
1472671449,1534,1534
1472675770,1532,1532
1472676246,1533,1533
1472676733,1532,1532
1472677448,1535,1535
1472677928,1534,1534
1472678418,1535,1535
1472678887,1534,1534
1472679366,1535,1535
1472679847,1534,1534
1472680327,1535,1535
1472684513,1533,1533
1472684891,1534,1534
1472685851,1534,1534
1472686334,1533,1533
1472686811,1534,1534
1472688251,1533,1533
1472693065,1532,1532
1472693527,1533,1533
1472694018,1532,1532
1472694489,1531,1531
1472694970,1533,1533
1472695450,1534,1534
1472695936,1534,1534
1472696408,1534,1534
1472696894,1534,1534
1472697374,1534,1534
1472697855,1533,1533
1472698328,1535,1535
1472698836,1535,1535
1472699288,1536,1536
1472699773,1536,1536
1472700246,1535,1535
1472700736,1536,1536
1472701213,1535,1535
1472701697,1536,1536
1472702649,1535,1535
1472703127,1536,1536
1472705053,1537,1537
1472706728,1536,1536
1472707206,1535,1535
1472708167,1534,1534
1472708669,1535,1535
1472709128,1535,1535
1472710329,1534,1534
1472710811,1534,1534
1472711293,1535,1535
1472712012,1548,1548
1472712487,1559,1559
1472712967,1560,1560
1472715128,1559,1559
1472715611,1560,1560
1472716094,1559,1559
1472716573,1559,1559
1472717048,1559,1559
1472717528,1559,1559
1472718015,1560,1560
1472718493,1559,1559
1472718969,1560,1560
1472719447,1558,1558
1472719935,1559,1559
1472720894,1559,1559
1472721369,1559,1559
1472721858,1559,1559
1472722337,1560,1560
1472722807,1559,1559
1472723286,1559,1559
1472723777,1559,1559
1472724251,1560,1560
1472726648,1559,1559
1472727130,1561,1561
1472728090,1561,1561
1472728573,1561,1561
1472729048,1562,1562
1472729539,1561,1561
1472730007,1562,1562
1472731459,1561,1561
1472731929,1561,1561
1472732416,1560,1560
1472732887,1560,1560
1472733384,1561,1561
1472733847,1563,1563
1472735297,1560,1560
1472735769,1560,1560
1472736248,1560,1560
1472736737,1558,1558
1472737216,1560,1560
1472737689,1559,1559
1472738167,1560,1560
1472738647,1560,1560
1472739135,1558,1558
1472739612,1559,1559
1472740086,1560,1560
1472741530,1559,1559
1472742247,1560,1560
1472742729,1559,1559
1472743210,1559,1559
1472743686,1560,1560
1472744174,1558,1558
1472744648,1560,1560
1472745850,1568,1568
1472746327,1578,1578
1472746817,1577,1577
1472747289,1577,1577
1472747769,1578,1578
1472751143,1576,1576
1472751608,1578,1578
1472752091,1577,1577
1472752575,1578,1578
1472754494,1577,1577
1472754973,1578,1578
1472756424,1576,1576
1472756891,1577,1577
1472757375,1577,1577
1472757848,1578,1578
1472760731,1577,1577
1472761212,1578,1578
1472761690,1578,1578
1472762650,1578,1578
1472763133,1579,1579
1472763637,1578,1578
1472764092,1579,1579
1472764570,1579,1579
1472765056,1579,1579
1472765537,1580,1580
1472766012,1581,1581
1472766489,1580,1580
1472766975,1581,1581
1472767449,1581,1581
1472767933,1581,1581
1472768408,1582,1582
1472768893,1579,1579
1472769370,1580,1580
1472769855,1580,1580
1472770328,1581,1581
1472771050,1580,1580
1472772009,1579,1579
1472772488,1580,1580
1472772974,1579,1579
1472773449,1583,1583
1472773934,1583,1583
1472774654,1583,1583
1472775132,1581,1581
1472778257,1578,1578
1472778730,1579,1579
1472779213,1580,1580
1472779694,1580,1580
1472780169,1581,1581
1472780649,1580,1580
1472781127,1580,1580
1472781641,1577,1577
1472782086,1579,1579
1472782572,1577,1577
1472783047,1578,1578
1472783533,1576,1576
1472784008,1576,1576
1472784489,1577,1577
1472784970,1577,1577
1472785454,1576,1576
1472785931,1576,1576
1472786410,1577,1577
1472786888,1577,1577
1472787380,1575,1575
1472787852,1576,1576
1472788334,1577,1577
1472788818,1575,1575
1472789295,1575,1575
1472789770,1577,1577
1472790256,1576,1576
1472790732,1577,1577
1472791215,1578,1578
1472791690,1576,1576
1472792169,1576,1576
1472792650,1576,1576
1472793133,1575,1575
1472793608,1580,1580
1472794089,1595,1595
1472794568,1597,1597
1472797209,1596,1596
1472797689,1597,1597
1472799128,1596,1596
1472799851,1595,1595
1472800333,1595,1595
1472801069,1595,1595
1472801532,1596,1596
1472802009,1595,1595
1472802491,1596,1596
1472802976,1595,1595
1472803448,1595,1595
1472804173,1596,1596
1472805131,1595,1595
1472805610,1596,1596
1472806088,1595,1595
1472806568,1596,1596
1472807532,1594,1594
1472808008,1594,1594
1472808487,1594,1594
1472808967,1595,1595
1472809930,1594,1594
1472810654,1595,1595
1472811372,1596,1596
1472811848,1594,1594
1472812330,1594,1594
1472812809,1595,1595
1472814727,1594,1594
1472815691,1594,1594
1472816177,1593,1593
