DateTime,AddedIPs,RemovedIPs
1463469002,0,1
1463517902,0,1
1463529902,164,0
1463543402,1,0
1463547301,1,0
1463547902,1,0
1463553302,0,1
1463558702,1,0
1463573102,1,0
1463616602,168,1
1463622602,1,0
1463640302,1,1
1463646302,1,1
1463659502,1,1
1463659802,1,1
1463660101,2,0
1463667902,1,0
1463679902,0,1
1463681402,1,0
1463702702,157,0
1463715901,1,0
1463716202,0,1
1463721301,1,0
1463723701,1,0
1463724002,0,1
1463732102,1,0
1463737502,1,1
1463743802,1,0
1463744702,1,0
1463756702,1,0
1463788802,158,0
1463819702,0,1
1463833802,1,0
1463860502,2,0
1463860802,1,0
1463861102,1,0
1463875203,167,0
1463961602,162,0
1463997302,1,0
1464048002,149,0
1464066302,1,0
1464074401,0,1
1464134402,153,0
1464163502,1,0
1464221102,153,0
1464244502,1,0
1464245102,1,0
1464276902,1,0
1464277202,1,0
1464307501,169,0
1464331802,1,0
1464393902,142,0
1464420002,1,0
1464480003,133,0
1464566702,151,0
1464653102,133,0
1464675903,1,0
1464739502,134,0
1464769501,1,0
1464770102,1,0
1464825902,145,0
1464912302,141,0
1464929702,2,0
1464998702,135,0
1465085101,130,0
1465171502,125,0
1465257902,159,0
1465344302,126,0
1465430702,140,0
1465517102,136,0
1465603503,149,0
1465689902,133,0
1465776002,142,0
1465862703,138,0
1465887302,0,1
1465887902,1,0
1465948802,122,0
1466035202,36,0
1466052602,0,1
1466052902,1,0
1466121902,1,0
1466208003,1,0
1466294702,2,0
1466499302,1,0
1466588102,79,0
1466588702,1,0
1466590525,0,21
1466590802,0,4
1466598302,0,1
1466599502,1,0
1466600102,1,0
1466603702,1,1
1466609103,0,1
1466665203,1,0
1466667302,0,2
1466669101,2,0
1466670902,1,2
1466672702,1,1
1466686202,1,0
1466690702,0,1
1466692502,1,0
1466694302,0,1
1466749802,1,0
1466751002,3,0
1466751302,4,1
1466751902,1,0
1466752502,1,0
1466753102,1,0
1466754302,0,1
1466754901,1,0
1466755502,0,7
1466756702,0,1
1466757002,0,2
1466759101,1,1
1466762702,0,1
1466771402,1,0
1466772302,1,0
1466774102,0,1
1466778302,1,0
1466780102,0,1
1466813102,1,0
1466838903,0,1
1466840102,1,0
1466841002,1,0
1466859602,0,1
1466861402,1,0
1466873402,1,2
1466875502,1,0
1466914202,0,2
1466914502,2,0
1466943901,1,1
1466950502,1,1
1466964603,0,2
1466964902,2,0
1466968801,0,2
1466969102,2,0
1466973002,0,2
1466973302,2,0
1466977503,2,1
1466989802,0,2
1467008703,1,0
1467009302,1,0
1467018302,0,1
1467027002,0,2
1467032102,1,0
1467033601,1,0
1467072002,1,0
1467075303,1,1
1467079502,0,2
1467092703,3,0
1467094502,1,0
