DateTime,Entries,UniqueIPs
1463469002,6865,6865
1463517902,6864,6864
1463529902,7028,7028
1463543402,7029,7029
1463547301,7030,7030
1463547902,7031,7031
1463553302,7030,7030
1463558702,7031,7031
1463573102,7032,7032
1463616602,7199,7199
1463622602,7200,7200
1463640302,7200,7200
1463646302,7200,7200
1463659502,7200,7200
1463659802,7200,7200
1463660101,7202,7202
1463667902,7203,7203
1463679902,7202,7202
1463681402,7203,7203
1463702702,7360,7360
1463715901,7361,7361
1463716202,7360,7360
1463721301,7361,7361
1463723701,7362,7362
1463724002,7361,7361
1463732102,7362,7362
1463737502,7362,7362
1463743802,7363,7363
1463744702,7364,7364
1463756702,7365,7365
1463788802,7523,7523
1463819702,7522,7522
1463833802,7523,7523
1463860502,7525,7525
1463860802,7526,7526
1463861102,7527,7527
1463875203,7694,7694
1463961602,7856,7856
1463997302,7857,7857
1464048002,8006,8006
1464066302,8007,8007
1464074401,8006,8006
1464134402,8159,8159
1464163502,8160,8160
1464221102,8313,8313
1464244502,8314,8314
1464245102,8315,8315
1464276902,8316,8316
1464277202,8317,8317
1464307501,8486,8486
1464331802,8487,8487
1464393902,8629,8629
1464420002,8630,8630
1464480003,8763,8763
1464566702,8914,8914
1464653102,9047,9047
1464675903,9048,9048
1464739502,9182,9182
1464769501,9183,9183
1464770102,9184,9184
1464825902,9329,9329
1464912302,9470,9470
1464929702,9472,9472
1464998702,9607,9607
1465085101,9737,9737
1465171502,9862,9862
1465257902,10021,10021
1465344302,10147,10147
1465430702,10287,10287
1465517102,10423,10423
1465603503,10572,10572
1465689902,10705,10705
1465776002,10847,10847
1465862703,10985,10985
1465887302,10984,10984
1465887902,10985,10985
1465948802,11107,11107
1466035202,11143,11143
1466052602,11142,11142
1466052902,11143,11143
1466121902,11144,11144
1466208003,11145,11145
1466294702,11147,11147
1466499302,11148,11148
1466588102,11227,11227
1466588702,11228,11228
1466590525,11207,11207
1466590802,11203,11203
1466598302,11202,11202
1466599502,11203,11203
1466600102,11204,11204
1466603702,11204,11204
1466609103,11203,11203
1466665203,11204,11204
1466667302,11202,11202
1466669101,11204,11204
1466670902,11203,11203
1466672702,11203,11203
1466686202,11204,11204
1466690702,11203,11203
1466692502,11204,11204
1466694302,11203,11203
1466749802,11204,11204
1466751002,11207,11207
1466751302,11210,11210
1466751902,11211,11211
1466752502,11212,11212
1466753102,11213,11213
1466754302,11212,11212
1466754901,11213,11213
1466755502,11206,11206
1466756702,11205,11205
1466757002,11203,11203
1466759101,11203,11203
