DateTime,AddedIPs,RemovedIPs
1458820202,1,0
1458824702,0,1
1458861601,1,0
1458865502,0,1
1458885002,1,0
1458888602,0,1
1458914702,1,0
1458984900,1,0
1458986702,0,1
1459002001,0,1
1459255802,1,0
1459260601,1,1
1459433401,1,0
1459434002,0,1
1459437601,0,1
1459555201,2,0
1459583701,1,0
1459587901,1,1
1459728002,3,0
1459755002,0,1
1459814401,2,0
1459848901,1,0
1459860901,1,1
1459900801,1,0
1459934101,0,1
1459987202,3,0
1460073602,4,0
1460160002,2,0
1460189702,1,0
1460194501,1,1
1460208001,0,1
1460209202,1,0
1460267102,0,1
1460268602,1,0
1460281501,0,1
1460281801,1,0
1460366402,0,1
1460534102,1,0
1460538302,1,1
1460543101,0,1
1460629501,1,0
1460634302,1,1
1460639401,0,1
1460640302,1,0
1460643901,1,1
1460649001,0,1
1460678401,1,0
1460764802,10,0
1461052201,1,0
1461056402,1,1
1461060902,1,1
1461065701,0,1
1461456002,1,0
1461630301,1,0
1461888001,2,0
1462060802,1,0
1462091701,1,0
1462096802,1,1
1462100702,0,1
1462492802,1,0
1462775702,1,0
1462779902,0,1
1462838702,2,0
1463184002,2,0
1463270402,3,0
1463557201,1,0
1463561102,1,1
1463564401,1,0
1463565302,0,1
1463569201,1,1
1463573102,0,1
1463702702,2,0
1463898902,1,0
1463904002,1,1
1463995501,0,1
1464187201,1,0
1464192301,1,1
1464250202,0,1
1464432902,1,0
1464550202,0,1
1464739502,2,0
1464768301,1,0
1464772801,0,1
1465035302,1,0
1465039802,1,1
1465047902,0,1
1465369801,1,0
1465370702,1,0
1465374301,0,1
1465378201,1,0
1465380302,0,1
1465394701,0,1
1465461302,1,0
1465466102,1,1
1465470301,0,1
1465972501,1,0
1465977601,1,1
1465986001,1,1
1465990501,1,1
1465994402,1,1
1465999502,1,0
1466002802,1,1
1466004602,0,1
1466006701,1,0
1466015101,0,1
1466016902,1,0
1466021102,0,1
1466073602,0,1
1466208002,3,0
1466553601,1,0
1466599202,1,0
1466603702,1,1
1466609102,0,1
1466754901,1,0
1466759101,1,1
1466762701,0,1
1466812801,1,0
1467072001,1,0
1467417602,1,0
1467677101,2,0
1467726601,1,0
1467730502,1,1
1467794702,0,1
1467832502,1,0
1467837901,1,1
1467881701,0,1
1468022401,2,0
1468108802,1,0
1468235701,1,0
1468241702,1,1
1468324201,0,1
1468335902,1,0
1468427102,0,1
1468489801,1,0
1468525802,0,1
1468526101,1,0
1468596002,0,1
1468596302,1,0
1468627202,7,0
1468703102,0,1
1468703401,1,0
1468771201,1,0
1468780201,1,1
1468851001,1,1
1468947302,0,1
1468996501,1,1
1469119801,0,1
1469120102,1,0
1469143501,0,1
1469179802,1,0
1469232002,1,0
1469293801,0,1
1469294101,1,0
1469386502,0,1
1469386802,1,0
1469405102,2,0
1470355202,1,0
1470441602,2,0
1470494702,0,1
1470495002,1,0
1470685802,0,1
1470686102,1,0
1470731702,1,1
1470751201,1,1
1470873602,1,0
1471132802,1,0
1471392002,2,0
1471408502,0,1
1471408802,1,0
1471412701,1,0
1471419902,1,0
1471440901,1,2
1471478701,1,0
1471651201,1,0
1471885802,1,0
1471890302,0,1
1472507402,0,1
1472507701,1,0
1472616601,1,0
1472617501,0,1
1472652002,1,0
1472652902,0,1
1472782501,0,1
1472818202,1,0
1472882101,1,1
1472921101,0,1
1472953502,1,0
