DateTime,Entries,UniqueIPs
1451314318,152,152
1451354153,152,152
1451409373,151,151
1451440831,151,151
1451490565,151,151
1451529066,150,150
1451574601,149,149
1451614813,151,151
1451665983,152,152
1451701502,150,150
1451745248,151,151
1451788312,152,152
1451839601,151,151
1451878974,150,150
1451920560,150,150
1451961628,150,150
1452007107,151,151
1452045576,150,150
1452102206,151,151
1452133772,150,150
1452178545,148,148
1452220891,150,150
1452267603,149,149
1452306446,150,150
1452351919,152,152
1452402373,152,152
1452441682,152,152
1452484908,151,151
1452527998,151,151
1452575186,152,152
1452612450,151,151
1452656639,151,151
1452706521,152,152
1452740944,151,151
1452786428,151,151
1452825135,149,149
1452872299,151,151
1452913042,152,152
1452957441,149,149
1453001633,151,151
1453055015,152,152
1453088922,148,148
1453132874,150,150
1453171702,152,152
1453213195,152,152
1453254508,151,151
1453311980,152,152
1453343795,151,151
1453400566,152,152
1453431198,152,152
1453489569,152,152
1453521252,151,151
1453563611,151,151
1453604782,152,152
1453665869,152,152
1453691404,151,151
1453739126,150,150
1453788314,150,150
1453824992,150,150
1453873410,151,151
1453907351,151,151
1453945816,152,152
1454002067,152,152
1454042765,152,152
1454080473,152,152
1454170616,152,152
1454220648,152,152
1454254176,152,152
1454310962,152,152
1454342840,152,152
1454412768,152,152
1454434882,152,152
1454486558,151,151
1454517250,152,152
1454556724,151,151
1454602683,149,149
1454646382,152,152
1454688023,150,150
1454728751,151,151
1454771831,152,152
1454811389,151,151
1454858155,149,149
1454895628,149,149
1454944525,150,150
1454983994,151,151
1455045442,151,151
1455077546,149,149
1455132431,150,150
1455160011,152,152
1455215234,152,152
1455246420,150,150
1455288430,149,149
1455327781,150,150
1455380569,149,149
1455416348,149,149
1455470551,151,151
1455500778,151,151
1455554442,151,151
1455588812,152,152
1455641670,152,152
1455676306,151,151
1455729009,151,151
1455760720,152,152
1455814641,151,151
1455855847,150,150
1455901577,152,152
1455936923,150,150
1455987725,151,151
1456025868,150,150
1456069562,152,152
1456115624,152,152
1456161551,150,150
1456194138,150,150
1456243746,152,152
1456285033,151,151
1456325888,149,149
1456365652,149,149
1456421896,151,151
1456459705,149,149
1456499082,148,148
1456548027,151,151
1456583308,152,152
1456627967,152,152
1456675669,152,152
1456722500,152,152
1456761663,151,151
1456798435,151,151
1456846083,151,151
1456886309,151,151
1456935701,151,151
1456986674,151,151
1457015821,149,149
1457058320,151,151
1457126434,152,152
1457144266,152,152
1457190861,151,151
1457233747,152,152
1457281857,152,152
1457317131,151,151
1457361321,152,152
1457402491,152,152
1457448642,151,151
1457486901,150,150
1457534158,151,151
1457573241,150,150
1457642592,150,150
1457658570,150,150
