DateTime,AddedIPs,RemovedIPs
1462233307,80,0
1462256655,36,127
1462281955,96,63
1462296672,38,57
1462321875,91,67
1462343896,40,0
1462369389,92,126
1462382866,40,56
1462408771,85,0
1462430038,25,136
1462454452,89,0
1462469700,47,76
1462494550,90,113
1462515594,39,0
1462541606,90,57
1462555644,44,134
1462579873,91,0
1462602961,44,70
1462628482,87,134
1462642937,39,59
1462666877,86,80
1462689461,36,55
1462713649,92,0
1462729003,42,119
1462753143,71,72
1462775522,36,0
1462800605,80,56
1462815118,31,72
1462840313,77,34
1462861896,38,112
1462886323,79,0
1462901113,53,67
1462926653,84,38
1462947747,25,68
1462972577,71,74
1462987472,35,115
1463012299,94,73
1463035230,43,44
1463059916,84,68
1463073814,32,59
1463097436,76,0
1463121349,28,69
1463145357,76,39
1463160338,37,64
1463184738,76,49
1463207571,40,66
1463232651,68,42
1463246664,30,105
1463271627,68,71
1463294281,30,49
1463319497,83,60
1463333304,37,37
1463358282,86,64
1463380872,39,48
1463405766,79,67
1463419951,37,0
1463445300,83,119
1463466485,31,53
1463490238,83,0
1463506358,30,115
1463532305,84,71
1463552559,53,48
1463575927,76,0
1463592231,24,65
1463618214,93,60
1463639557,38,78
1463664368,80,96
1463678834,36,0
1463703882,116,57
1463725321,31,79
1463749026,79,43
1463766153,34,144
1463791644,106,76
1463812000,44,48
1463834355,66,0
1463852029,39,66
1463876876,95,61
1463898538,31,74
1463922474,102,112
1463938693,30,62
1463964036,94,72
1463985701,37,57
1464009285,106,69
1464024491,30,0
1464048177,91,54
1464071844,43,139
1464096886,105,0
1464111387,32,129
1464134962,104,77
1464157745,31,0
1464180791,79,61
1464197585,34,140
1464222526,114,0
1464243908,25,117
1464265923,87,0
1464283408,30,63
1464305066,77,76
1464330716,26,61
1464353047,83,108
1464369833,37,57
1464392412,81,0
1464417221,34,116
1464441895,99,68
1464456913,25,0
1464480961,82,119
1464503864,37,0
1464528311,89,116
1464543384,30,56
1464565710,71,0
1464589592,32,114
1464614632,102,0
1464628893,32,63
1464650624,75,33
1464675883,32,72
1464698736,78,63
1464716015,31,112
1464738293,88,74
1464762875,34,39
1464786168,95,71
1464801686,36,54
1464824252,89,0
1464848160,44,72
1464872374,74,59
1464887415,37,66
1464909484,95,55
1464934635,42,68
1464959466,81,118
1464974217,41,72
1464997840,94,70
1465021057,45,57
1465045072,105,70
1465060955,42,66
1465082917,100,0
1465108278,40,74
1465132347,90,149
1465146953,32,0
1465170333,98,138
1465194629,34,54
1465219037,82,69
1465233904,28,52
1465256743,77,0
1465280765,23,114
1465303005,76,0
1465320126,30,97
1465342119,77,0
1465367365,28,64
1465392558,96,98
1465406683,35,0
1465430598,73,109
1465452747,35,0
1465475346,87,64
1465492541,45,112
1465516075,88,0
1465540148,36,125
1465563536,80,62
1465580175,27,62
1465604295,113,71
1465626010,33,0
1465649067,76,48
1465665784,29,64
1465689755,85,64
1465712089,23,85
1465734804,77,39
1465751976,44,62
1465775949,86,41
1465799625,30,107
1465823906,85,72
1465838275,30,0
1465862290,85,63
1465885961,31,115
1465909950,85,61
1465925480,40,52
1465949068,94,62
1465972221,29,55
1465995968,81,74
1466011343,42,0
1466035857,97,55
1466058022,27,65
1466082424,80,56
1466097820,41,63
1466121047,97,129
1466143982,31,0
1466166559,79,49
1466183768,28,134
1466207365,94,0
1466231362,29,106
1466255594,85,72
1466270996,26,0
1466296118,78,118
1466317717,22,0
1466341344,84,37
1466357499,27,111
1466382415,96,60
1466403654,31,0
1466428334,81,42
1466443051,33,71
1466467396,101,55
1466490221,25,81
1466512391,93,39
1466529518,35,122
1466551603,93,0
1466576524,35,135
1466599142,80,0
1466616463,30,118
1466638349,76,80
1466663367,34,46
1466687868,75,61
1466702744,29,0
1466726696,86,110
1466749607,32,0
1466774454,98,42
1466788967,57,125
1466812048,89,0
1466834962,35,66
1466859263,94,49
1466875623,33,149
1466899151,80,71
1466921672,39,67
1466947131,107,72
1466961375,48,0
1466984044,92,50
1467008138,32,143
1467032746,97,79
1467047989,34,0
1467070689,100,123
1467094553,32,58
1467117671,87,0
1467133951,33,132
1467156585,97,0
1467180804,36,73
1467203569,83,49
1467220779,30,70
1467244167,75,122
1467267745,41,48
1467292104,111,67
1467307311,36,0
1467327748,0,44
1467353880,59,81
1467377742,95,75
1467393243,34,72
1467417702,94,60
1467440394,52,0
1467463036,92,54
1467479909,32,124
1467504571,116,0
1467526133,36,160
1467549821,93,68
1467566226,34,0
