DateTime,AddedIPs,RemovedIPs
1462170242,88,90
1462195123,95,94
1462210017,78,81
1462233307,103,100
1462256655,83,84
1462281955,108,105
1462296672,84,88
1462321875,113,112
1462343896,92,92
1462369389,102,100
1462382866,85,90
1462408771,102,99
1462430038,82,84
1462454452,101,98
1462469700,86,87
1462494550,109,108
1462515594,86,86
1462541606,106,105
1462555644,87,89
1462579873,108,105
1462602961,91,94
1462628482,103,100
1462642937,84,86
1462666877,102,100
1462689461,87,89
1462713649,104,102
1462729003,86,87
1462753143,92,88
1462775522,89,93
1462800605,92,91
1462815118,88,85
1462840313,95,98
1462861896,87,89
1462886323,99,104
1462901113,85,84
1462926653,106,101
1462947747,81,86
1462972577,89,91
1462987472,83,81
1463012299,108,104
1463035230,83,86
1463059916,92,93
1463073814,82,81
1463097436,96,95
1463121349,85,86
1463145357,96,94
1463160338,80,82
1463184738,97,95
1463207571,90,91
1463232651,91,91
1463246664,79,80
1463271627,90,89
1463294281,83,85
1463319497,100,97
1463333304,84,87
1463358282,107,105
1463380872,97,99
1463405766,102,99
1463419951,85,88
1463445300,107,105
1463466485,88,89
1463490238,98,97
1463506358,79,83
1463532305,107,101
1463552559,93,97
1463575927,95,90
1463592231,74,81
1463618214,111,104
1463639557,85,88
1463664368,94,94
1463678834,84,83
1463703882,128,127
1463725321,86,89
1463749026,96,94
1463766153,87,89
1463791644,119,115
1463812000,87,90
1463834355,87,85
1463852029,86,87
1463876876,116,115
1463898538,86,87
1463922474,113,110
1463938693,85,88
1463964036,111,110
1463985701,86,88
1464009285,124,123
1464024491,89,90
1464048177,112,109
1464071844,91,94
1464096886,121,117
1464111387,89,91
1464134962,122,120
1464157745,92,93
1464180791,92,92
1464197585,79,79
1464222526,132,134
1464243908,85,85
1464265923,106,106
1464283408,81,82
1464305066,108,105
1464330716,81,85
1464353047,101,96
1464369833,80,84
1464392412,101,97
1464417221,78,82
1464441895,115,114
1464456913,81,81
1464480961,105,104
1464503864,84,83
1464528311,112,115
1464543384,88,86
1464565710,99,101
1464589592,97,94
1464614632,115,115
1464628893,90,90
1464650624,100,100
1464675883,92,93
1464698736,99,99
1464716015,87,87
1464738293,103,103
1464762875,88,87
1464786168,107,109
1464801686,85,89
1464824252,110,105
1464848160,91,93
1464872374,94,93
1464887415,83,84
1464909484,116,115
1464934635,87,86
1464959466,94,92
1464974217,77,81
1464997840,113,110
1465021057,85,85
1465045072,122,121
1465060955,80,81
1465082917,111,110
1465108278,93,93
1465132347,105,106
1465146953,82,82
1465170333,108,108
1465194629,86,86
1465219037,101,103
1465233904,86,85
1465256743,97,98
1465280765,93,92
1465303005,91,90
1465320126,84,86
1465342119,111,111
1465367365,82,84
1465392558,117,112
1465406683,87,90
1465430598,98,95
1465452747,91,93
1465475346,105,104
1465492541,89,91
1465516075,116,114
1465540148,90,91
1465563536,108,107
1465580175,85,88
1465604295,134,131
1465626010,101,102
1465649067,93,92
1465665784,80,81
1465689755,99,98
1465712089,80,80
1465734804,96,96
1465751976,92,93
1465775949,106,104
1465799625,82,85
1465823906,103,102
1465838275,80,82
1465862290,105,104
1465885961,82,85
1465909950,105,102
1465925480,88,90
1465949068,116,112
1465972221,86,89
1465995968,102,98
1466011343,81,83
1466035857,117,116
1466058022,83,84
1466082424,104,104
1466097820,87,88
1466121047,121,120
1466143982,85,86
1466166559,97,95
1466183768,85,88
1466207365,111,109
1466231362,90,91
1466255594,104,101
1466270996,88,92
1466296118,101,97
1466317717,80,85
1466341344,104,99
1466357499,85,87
1466382415,123,122
1466403654,96,98
1466428334,93,90
1466443051,84,86
1466467396,115,114
1466490221,90,92
1466512391,118,114
1466529518,81,84
1466551603,111,109
1466576524,93,96
1466599142,99,98
1466616463,80,81
1466638349,99,99
1466663367,91,91
1466687868,97,95
1466702744,79,86
1466726696,101,97
1466749607,81,84
1466774454,111,107
1466788967,111,112
1466812048,106,103
1466834962,86,88
1466859263,114,114
1466875623,80,82
1466899151,98,95
1466921672,83,85
1466947131,115,112
1466961375,89,93
1466984044,106,104
1467008138,86,88
1467032746,111,107
1467047989,82,86
1467070689,116,112
1467094553,84,89
1467117671,100,96
1467133951,83,87
1467156585,116,110
1467180804,84,91
1467203569,99,92
1467220779,80,86
1467244167,102,96
1467267745,91,95
1467292104,127,125
1467307311,88,89
1467353880,68,69
1467377742,109,108
1467393243,87,90
1467417702,103,99
1467440394,104,104
1467463036,113,113
1467479909,77,80
1467504571,129,126
1467526133,95,98
1467549821,111,108
1467566226,91,94
1467591396,130,127
1467613233,100,99
1467637979,138,138
1467653192,95,97
1467681251,137,137
1467699577,115,117
1467724742,136,134
1467738610,111,113
1467762841,138,136
1467785251,127,127
1467808242,137,135
1467824729,122,121
1467847892,141,141
1467871833,126,125
1467894180,134,137
1467911118,121,125
1467935577,134,129
1467957930,122,125
1467982117,137,132
1467997752,114,115
1468022586,131,132
1468044368,116,115
1468068531,128,130
1468084119,117,115
1468108457,133,134
1468131093,118,118
1468154595,113,112
1468170978,99,100
1468196603,135,135
1468216943,125,123
1468239629,118,119
1468256851,106,105
1468281728,140,142
1468303673,126,124
1468326607,124,128
1468343369,119,116
1468368428,137,137
1468390548,125,125
