DateTime,Entries,UniqueIPs
1462148540,144,144
1462170242,142,142
1462195123,143,143
1462210017,140,140
1462233307,143,143
1462256655,142,142
1462281955,145,145
1462296672,141,141
1462321875,142,142
1462343896,142,142
1462369389,144,144
1462382866,139,139
1462408771,142,142
1462430038,140,140
1462454452,143,143
1462469700,142,142
1462494550,143,143
1462515594,143,143
1462541606,144,144
1462555644,142,142
1462579873,145,145
1462602961,142,142
1462628482,145,145
1462642937,143,143
1462666877,145,145
1462689461,143,143
1462713649,145,145
1462729003,144,144
1462753143,148,148
1462775522,144,144
1462800605,145,145
1462815118,148,148
1462840313,145,145
1462861896,143,143
1462886323,138,138
1462901113,139,139
1462926653,144,144
1462947747,139,139
1462972577,137,137
1462987472,139,139
1463012299,143,143
1463035230,140,140
1463059916,139,139
1463073814,140,140
1463097436,141,141
1463121349,140,140
1463145357,142,142
1463160338,140,140
1463184738,142,142
1463207571,141,141
1463232651,141,141
1463246664,140,140
1463271627,141,141
1463294281,139,139
1463319497,142,142
1463333304,139,139
1463358282,141,141
1463380872,139,139
1463405766,142,142
1463419951,139,139
1463445300,141,141
1463466485,140,140
1463490238,141,141
1463506358,137,137
1463532305,143,143
1463552559,139,139
1463575927,144,144
1463592231,137,137
1463618214,144,144
1463639557,141,141
1463664368,141,141
1463678834,142,142
1463703882,143,143
1463725321,140,140
1463749026,142,142
1463766153,140,140
1463791644,144,144
1463812000,141,141
1463834355,143,143
1463852029,142,142
1463876876,143,143
1463898538,142,142
1463922474,145,145
1463938693,142,142
1463964036,143,143
1463985701,141,141
1464009285,142,142
1464024491,141,141
1464048177,144,144
1464071844,141,141
1464096886,145,145
1464111387,143,143
1464134962,145,145
1464157745,144,144
1464180791,144,144
1464197585,144,144
1464222526,142,142
1464243908,142,142
1464265923,142,142
1464283408,141,141
1464305066,144,144
1464330716,140,140
1464353047,145,145
1464369833,141,141
1464392412,145,145
1464417221,141,141
1464441895,142,142
1464456913,142,142
1464480961,143,143
1464503864,144,144
1464528311,141,141
1464543384,143,143
1464565710,141,141
1464589592,144,144
1464614632,144,144
1464628893,144,144
1464650624,144,144
1464675883,143,143
1464698736,143,143
1464716015,143,143
1464738293,143,143
1464762875,144,144
1464786168,142,142
1464801686,138,138
1464824252,143,143
1464848160,141,141
1464872374,142,142
1464887415,141,141
1464909484,142,142
1464934635,143,143
1464959466,145,145
1464974217,141,141
1464997840,144,144
1465021057,144,144
1465045072,145,145
1465060955,144,144
1465082917,145,145
1465108278,145,145
1465132347,144,144
1465146953,144,144
1465170333,144,144
1465194629,144,144
1465219037,142,142
1465233904,143,143
1465256743,142,142
1465280765,143,143
1465303005,144,144
1465320126,142,142
1465342119,142,142
1465367365,140,140
