DateTime,AddedIPs,RemovedIPs
1472810522,72,72
1472811122,80,80
1472811722,78,78
1472812322,76,76
1472812922,71,71
1472814121,80,80
1472814722,80,80
1472815322,80,80
1472816521,80,80
1472817121,80,80
1472817722,80,80
1472818322,76,76
1472818921,80,80
1472819522,80,80
1472820121,76,76
1472820722,74,74
1472821321,80,80
1472821921,72,72
1472822521,70,70
1472823122,80,80
1472824321,79,79
1472824922,77,77
1472825522,80,80
1472826122,55,55
1472826721,78,78
1472827321,80,80
1472827921,77,77
1472829123,71,71
1472829722,80,80
1472830321,80,80
1472830921,71,71
1472832121,77,77
1472832721,75,75
1472833321,68,68
1472833922,76,76
1472834521,76,76
1472835122,71,71
1472835723,80,80
1472836321,19,19
1472836921,80,80
1472837522,76,76
1472838122,67,67
1472838722,80,80
1472839322,78,78
1472839922,80,80
1472840522,76,76
1472841721,80,80
1472842323,69,69
1472842921,70,70
1472843521,72,72
1472844122,73,73
1472844721,72,72
1472845322,78,78
1472846521,80,80
1472847121,80,80
1472847721,80,80
1472848321,72,72
1472848922,80,80
1472849522,79,79
1472850121,75,75
1472850721,67,67
1472851321,80,80
1472851921,74,74
1472852522,70,70
1472853121,65,65
1472853721,71,71
1472854321,18,18
1472854922,73,73
1472855521,72,72
1472856121,80,80
1472856722,77,77
1472857322,69,69
1472857921,80,80
1472858522,70,70
1472859121,80,80
1472859721,65,65
1472860322,73,73
1472860922,80,80
1472862121,80,80
1472862722,67,67
1472863321,80,80
1472863927,74,74
1472864523,70,70
1472865721,80,80
1472866321,80,80
1472866921,80,80
1472867522,80,80
1472868122,80,80
1472868723,79,79
1472869322,76,76
1472869921,74,74
1472870521,80,80
1472871122,80,80
1472871722,78,78
1472872322,80,80
1472872921,80,80
1472874122,70,70
1472875322,80,80
1472876521,80,80
1472877121,80,80
1472877721,55,55
1472878321,80,80
1472878921,76,76
1472879522,68,68
1472880122,80,80
1472880722,79,79
1472881321,80,80
1472881922,80,80
1472882522,80,80
1472883721,71,71
1472884922,79,79
1472885522,75,75
1472886121,80,80
1472886722,70,70
1472887322,73,73
1472887921,80,80
1472888522,80,80
1472889122,76,76
1472889721,80,80
1472890321,76,76
1472890922,80,80
1472891522,36,36
1472892121,77,77
1472892722,73,73
1472893321,80,80
1472894521,80,80
1472895121,31,31
1472895721,76,76
1472896321,60,60
1472897522,72,72
1472898121,75,75
1472898722,77,77
1472899322,80,80
1472900522,80,80
1472901721,77,77
1472902921,78,78
1472903521,70,70
1472904122,70,70
1472904722,80,80
1472905322,33,33
1472905921,80,80
1472906521,80,80
1472907122,80,80
1472907721,80,80
1472908922,80,80
1472909521,80,80
1472910122,78,78
1472910721,28,28
1472911321,73,73
1472911922,64,64
1472912522,80,80
1472913122,80,80
1472913721,77,77
1472914322,74,74
1472914922,71,71
1472915522,75,75
1472916124,80,80
1472917321,80,80
1472917921,80,80
1472918521,63,63
1472919722,78,78
1472920922,78,78
1472921522,75,75
1472922121,72,72
1472922722,47,47
1472923321,80,80
1472923921,76,76
1472924521,77,77
1472925122,80,80
1472925721,70,70
1472926321,80,80
1472926922,80,80
1472927521,73,73
1472928121,80,80
1472928721,80,80
1472929322,80,80
1472929922,70,70
1472930521,80,80
1472931122,75,75
1472931722,79,79
