DateTime,AddedIPs,RemovedIPs
1443470801,1,0
1443481584,1,0
1443506784,2,0
1443513987,13,0
1443542780,1,0
1443575254,1,0
1443600374,15,0
1443625592,0,1
1443632767,1,0
1443643655,2,0
1443675976,1,0
1443686786,9,0
1443697572,0,1
1443711982,1,0
1443747991,1,0
1443758784,1,0
1443780371,27,0
1443791185,0,1
1443823587,1,0
1443848776,1,0
1443859561,23,0
1443870393,1,0
1443938768,2,0
1443942368,16,0
1444017977,1,0
1444028768,11,1
1444032378,0,1
1444050361,0,1
1444082779,0,1
1444115178,15,0
1444201565,18,0
1444223186,1,0
1444244792,1,0
1444270113,1,0
1444273740,1,0
1444287975,7,0
1444302384,1,0
1444331187,0,2
1444356522,1,0
1444360077,1,0
1444374376,16,3
1444399581,1,1
1444442924,3,0
1444464387,11,0
1444475224,2,0
1444507589,1,0
1444547178,10,0
1444619329,1,0
1444640776,7,0
1444651584,1,0
1444658785,0,1
1444709179,2,0
1444727188,23,0
1444741586,0,1
1444806268,13,0
1444842399,1,0
1444889183,1,1
1444892775,9,0
1444899979,0,1
1444907179,0,1
1444975582,1,0
1444979170,27,3
1445072781,12,0
1445112488,1,0
1445152121,14,0
1445224101,1,0
1445245580,14,1
1445278024,0,4
1445288823,0,1
1445332005,6,0
1445389688,1,0
1445404067,1,0
1445418385,9,0
1445461587,0,1
1445468777,1,0
1445501186,18,3
1445551716,0,2
1445587579,5,0
1445634457,1,0
1445673982,9,0
1445756783,14,0
1445853992,18,0
1445857587,0,1
1445875721,0,1
1445929582,11,0
1445947583,0,2
1445972866,0,1
1446008787,0,1
1446016026,13,0
1446019647,0,1
1446041195,0,1
1446048584,0,2
1446102381,31,0
1446170848,0,1
1446188785,11,0
1446228389,0,1
1446275186,11,0
1446361584,3,0
1446462381,14,0
1446487591,0,2
1446534384,12,0
1446631584,12,0
1446649589,0,5
1446710788,12,0
1446750381,0,1
1446793584,6,0
1446865654,0,1
1446894382,8,0
1446969980,6,0
1447074388,13,2
1447085185,0,1
1447139186,14,0
1447243582,15,0
1447311986,16,0
1447409181,22,0
1447430776,0,1
1447484782,36,2
1447571189,21,0
1447621601,0,1
1447661179,18,0
1447769194,12,1
1447837578,21,0
1447877206,0,1
1447923970,28,0
1447945573,0,1
1448017577,7,1
1448028380,0,1
1448039173,0,1
1448096789,116,0
1448193986,36,0
1448262390,34,3
1448352377,20,0
1448373977,0,1
1448381184,0,4
1448438776,22,0
1448510793,0,1
1448521579,26,1
1448622383,24,0
1448640379,0,1
1448647578,0,1
1448694393,16,0
1448780779,19,0
1448870781,21,0
1448953627,12,0
1448978784,0,1
1449047178,9,0
1449072381,0,2
1449126405,11,0
1449299181,31,3
1449371169,0,1
1449389177,13,0
1449479181,15,0
1449497177,0,1
1449558380,30,0
1449587180,0,2
1449659180,38,0
1449687980,0,2
1449706034,0,1
1449731175,19,0
1449774382,0,1
1449821178,13,3
1449918364,20,0
1449990374,16,0
1450098382,14,0
1450145176,0,1
1450155969,0,1
1450166775,4,3
1450181186,0,1
1450199187,0,1
1450249576,8,0
1450260374,0,1
1450278397,0,1
1450339585,30,0
1450411581,0,1
1450436776,28,0
1450512452,33,0
1450605988,19,0
1450685178,12,0
1450767984,11,0
1450822070,0,2
1450861584,13,3
1450879583,0,1
1450883176,0,1
1450929979,0,1
1450951641,13,0
1451034376,9,0
1451113702,7,0
1451199983,15,1
1451293584,13,0
1451311580,0,2
1451322448,0,1
1451372778,3,0
1451459164,16,0
1451487970,0,1
1451545576,5,0
1451631962,1,0
1451718384,6,0
1451808374,6,0
1451815574,0,1
1451891176,4,0
1451905572,0,1
1451937984,0,2
1451981186,97,0
1452063980,211,0
1452096486,0,1
1452150372,23,0
1452236780,103,0
1452330372,29,1
1452409571,23,0
1452488781,0,1
1452506782,54,0
1452524777,0,1
1452531972,0,1
1452546487,0,1
1452553579,0,1
1452585973,9,0
1452611184,0,1
1452672377,51,1
1452683184,0,1
1452697581,0,1
1452765979,29,1
1452848779,53,0
1452938783,33,0
1453021624,17,0
1453104394,34,0
1453125995,0,2
1453187201,24,0
1453190800,0,1
1453273606,25,0
1453363600,34,0
1453417579,0,1
1453449993,33,0
1453482401,0,8
1453536407,44,0
1453619212,23,0
1453719997,23,0
1453763188,0,1
1453795611,30,0
1453878377,36,0
1453900007,0,1
1453921599,0,1
1453968416,34,0
1454000809,0,1
1454054786,463,1
1454141183,31,0
1454234778,126,0
1454267187,0,1
1454310382,20,0
1454328399,0,1
1454421991,0,2
1454439998,0,1
1454457995,931,0
1454483188,206,0
1454501188,0,1
1454569592,10,0
1454619992,0,1
1454634388,1,0
1454735200,0,1
1454749606,2,0
1454929592,0,1
1455105989,36,1
1455141998,0,1
1455181582,0,1
1455246392,0,1
1455347211,18,0
1455437193,10,0
1455523605,2,0
1455541609,0,2
1455548794,0,1
1455609979,1,0
1455635195,0,1
1455822394,0,3
1455879983,0,1
1456232790,0,1
1456391193,0,1
1456437994,0,1
1456819594,5,0
1456877212,0,10
1456931209,0,1
1456970800,0,3
1457471199,0,1
1457546799,0,1
1457661993,0,1
1457960798,1,0
1458014802,0,1
1458083201,0,1
1458187599,0,1
1458263201,0,1
1458306401,0,2
1458659210,0,10
1458749224,0,1
1458752807,0,1
1458767218,0,1
1458803201,3,0
1458814009,0,5
1459217207,0,1
1459260423,0,1
1459278434,0,2
1459300015,0,1
1459372004,0,1
1459429615,0,1
1459458422,0,1
1459523223,0,3
1459728392,0,1
1459800413,0,1
1459814796,0,1
1459872408,0,1
1459894005,0,1
1459944409,0,1
1460020002,0,1
1460034410,0,6
1460362012,0,1
1460383628,0,1
1460398025,0,1
1460470015,0,1
1460480825,0,1
1460545619,0,3
1460610427,0,1
1460635624,0,1
1460729229,0,11
1460959617,0,1
1460988419,0,1
1460999212,0,1
1461247602,0,3
1461269198,0,1
1461290803,0,1
1461535593,0,1
1461593221,0,1
1461618429,0,1
1461672411,0,1
1461686790,0,1
1461751605,0,1
1461766053,0,1
1461776805,0,1
1461877595,0,1
1461931624,0,1
1461946032,0,2
1462064795,0,1
1462212416,0,2
1462306011,0,1
1462385221,0,4
1462399617,0,1
1462536428,0,1
1462781211,0,1
1462810011,0,1
1462835194,0,1
1462867593,0,1
1462878423,0,20
1463126840,81,0
1463209597,11,0
1463403996,58,3
1463407648,0,1
1463468815,34,1
1463555216,86,3
1463566024,0,2
1463605627,0,1
1463641623,84,3
1463731623,78,8
1463774838,0,1
1463821624,95,0
1463828826,0,1
1463900805,97,15
1463983613,0,1
1463987228,53,0
1464102480,44,0
1464160012,34,0
1464174423,0,1
1464206879,0,1
1464253615,21,0
1464350849,74,2
1464376048,0,9
1464419236,32,0
1464469613,0,1
1464505618,55,0
1464599225,85,0
1464678409,43,0
1464696433,0,1
1464725229,0,1
1464743226,0,1
1464761219,0,1
1464772036,51,5
1464797234,0,1
1464862034,158,0
1464872823,0,3
1464937620,27,0
1465034828,64,0
1465114017,41,0
1465200413,146,0
1465304818,41,0
1465384030,70,0
1465423615,0,1
1465477628,43,0
1465542402,24,0
1465564020,0,15
1465592807,0,1
1465628805,40,0
1465715216,17,0
1465729615,0,1
1465805206,6,0
1465852005,0,1
1465898817,19,0
1465906020,0,1
1465974407,60,0
1466064409,24,1
1466147202,21,0
1466233594,8,0
1466320011,14,0
1466409999,17,0
1466492801,121,0
1466582804,27,0
1466683648,53,5
1466687216,0,2
1466708820,0,1
1466752014,40,0
1466838411,16,0
1466885214,0,24
1466928417,7,0
1467014809,84,0
1467050849,0,1
1467072430,0,1
1467097616,30,0
1467119222,0,1
1467148027,0,1
1467198437,63,3
1467202047,0,1
1467270423,19,3
1467310016,0,1
1467364011,20,0
1467432414,0,1
1467446823,11,0
1467529609,24,0
1467616013,141,0
1467659215,0,1
1467702410,28,0
1467788805,19,0
1467832031,0,1
1467875204,34,0
1467943623,0,1
1467961612,16,0
1468051608,48,0
1468102015,0,1
1468156013,13,0
1468220814,11,0
1468274833,0,1
1468310815,71,0
1468393605,15,0
1468483616,60,0
1468566418,22,0
1468652818,50,0
1468739215,26,0
1468825634,0,1
1468843656,20,0
1469016439,0,1
1469552814,49,3
1469599609,10,0
1469603209,0,1
1469624832,0,3
1469704116,11,2
1469826440,0,1
1469880423,34,3
1469966829,55,0
1470035216,61,0
1470064059,0,1
1470089231,0,1
1470121631,46,0
1470240452,41,0
1470294433,45,0
1470384421,38,0
1471446699,441,9
1471508026,28,0
1471533282,0,1
1471590445,22,0
1471608616,0,1
1471623258,0,1
1471676862,16,0
1471763383,43,3
1471849800,55,3
1471936250,65,6
1472022628,38,0
1472054972,0,1
1472109026,44,0
1472202705,38,0
1472227956,0,1
1472282081,95,0
1472325010,0,1
1472368175,59,0
1472472613,67,0
1472540984,34,0
1472584553,0,1
1472609343,0,1
1472627271,46,3
1472674316,0,1
1472713670,64,0
1472717280,0,1
1472800396,31,0
1472807621,0,1
1472810943,0,1
1472886699,28,0
1472940460,0,1
1472972973,32,0
