DateTime,Entries,UniqueIPs
1456495598,536424,373565574
1456524386,536439,373565559
1456535196,536610,373694825
1456625193,536619,373694848
1456736793,536619,373694847
1456758401,536629,373694843
1456772792,536637,373693814
1456783596,536651,373693796
1456844797,536669,373693006
1456877212,536697,373686824
1456931210,536699,373686819
1456938400,536758,373684333
1456942003,536758,373684332
1456952804,536758,373684331
1456956377,536769,373684329
1457013986,536730,373682001
1457017607,536737,373681996
1457024790,536769,373679918
1457028403,536771,373679921
1457053588,536773,373681201
1457111188,536791,373680164
1457125597,536801,373680147
1457132790,536804,373680142
1457143595,536806,373680910
1457229991,536811,373683470
1457337986,536814,373683465
1457370415,536854,373682611
1457373987,536861,373682606
1457384801,536905,373682295
1457391990,536907,373682298
1457445987,536920,373678192
1457460432,536932,373669741
1457467586,536939,373667677
1457471200,536905,373666732
1457532390,536942,373666565
1457546800,537030,373665061
1457561179,537026,373665001
1457625992,537035,373659876
1457647597,537120,373659459
1457661993,537133,373668158
1457705191,537140,373668147
1457708786,537140,373668146
1457712403,537138,373665586
1457715997,537149,373665577
1457723193,537158,373664805
1457726797,537157,373664804
1457913994,537161,373666340
1457971595,537154,373663684
1457982409,537193,373663617
1458065207,537237,373661272
1458083202,537261,373653783
1458090389,537258,373651991
1458137205,537262,373651986
1458140797,537275,373651975
1458165995,537263,373635079
1458227204,537278,373632757
1458241604,537318,373628877
1458245192,537318,373627848
1458263201,537319,373628104
1458302792,537326,373628094
1458306402,537274,373627149
1458310002,537277,373627144
1458313623,537284,373627134
1458327998,537287,373626609
1458335223,537298,373626604
1458353194,537320,373642722
1458518810,537358,373643437
1458572795,537366,373643178
1458576396,537376,373643155
1458579999,537383,373634943
1458587197,537389,373634682
1458605189,537387,373632122
1458659211,537387,373632116
1458673617,537375,373631908
1458677207,537374,373631396
1458749225,537500,373625845
1458752807,537482,373625606
1458767219,537501,373624836
1458778003,537512,373632767
1458828429,537534,373632268
1458842819,537552,373625544
1458878815,537561,373625553
1458921861,537532,373622261
1458929064,537532,373601515
1458936261,537542,373601485
1459040839,537547,373606349
1459123588,537552,373606354
1459174017,537571,373606081
1459181213,537583,373606071
1459184804,537589,373606066
1459238799,537588,373606065
1459260423,537598,373606055
1459278434,537614,373605781
1459354028,537614,373605527
1459361206,537599,373081241
1459429615,537601,373080537
1459433212,537615,373009118
1459444032,537640,373008070
1459458423,537649,373006780
1459523224,537688,373006230
1459526834,537681,373005979
1459559207,537699,373530006
1459642008,537711,373597334
1459778814,537710,373597333
1459782426,537709,373589141
1459800413,537716,373326987
1459865213,537721,373326982
1459868808,537738,373326972
1459894005,537821,373323675
1459948006,537796,373323479
1459966008,537869,373318807
1459969613,537865,373318803
1459976819,537898,373318510
1459987610,537910,373586542
1460048823,537924,373581660
1460052410,537923,373580636
1460063208,537951,373580611
1460120804,537960,373580088
1460124413,537959,373579064
1460131629,537961,373578803
1460138793,537960,373447731
1460146013,537976,373439519
1460153203,537959,373439275
1460160394,537963,373440555
1460254005,537964,373440811
1460333206,537982,373576230
1460383629,537938,373557321
1460398025,537944,373556799
1460444825,537945,373557823
1460455635,537947,373557818
1460470016,537877,373422224
1460480825,537882,373421580
1460488026,537930,373421282
1460545619,537936,373421277
1460560034,537951,373412814
1460585232,537950,373412558
1460610428,537979,373428420
1460614019,537984,373428415
1460639222,538027,373427341
1460650024,537996,373390029
1460657221,537998,373390024
1460668010,537989,373387982
1460682416,537998,373518798
1460729230,538009,373510585
1460732816,538021,373500320
1460743616,538039,373500290
1460747210,537994,373498077
1460772416,538001,373502685
1460855193,538005,373504733
1460948824,538036,373514386
1460974029,538049,373514381
1460981211,538048,373514373
1460988419,538015,373496214
1460999212,538027,373496203
1461010038,538047,373491320
1461013609,538068,373491299
1461089225,538096,373488686
1461100068,538097,373488446
1461161196,538087,373471804
1461168399,538143,373471744
1461186409,538186,373471671
1461197208,538192,373476791
1461222397,538196,373476786
1461247603,538181,373476621
1461269198,538177,373475848
1461330406,538187,373475843
1461333993,538191,373441017
1461341191,538217,373440716
1461355599,538223,373440706
1461373600,538244,373456822
1461564404,538260,373489329
1461589603,538267,373521841
1461596799,538275,373516708
1461604012,538270,373515678
1461618430,538269,373514654
1461675986,538297,373513902
1461686791,538374,373507250
1461704798,538414,373507212
1461791213,538386,373502622
1461801996,538392,373507230
1461859643,538411,373504380
1461870402,538392,372455809
1461874013,538396,372455555
1461891998,538400,372459395
1461946032,538413,372459111
1461956823,538422,372458847
1461974810,538424,372459615
1462061211,538453,373509722
1462212416,538427,373484127
1462223200,538460,373484106
1462259185,538461,373488202
1462284414,538485,373479985
1462291620,538484,373479233
1462363607,538496,373478716
1462385221,538524,373473823
1462414008,538581,373497852
1462460832,538574,373421949
1462464407,538574,373421948
1462468006,538587,373421940
1462478818,538588,373158761
1462496807,538593,373166697
1462540019,538599,373166692
1462558013,538634,373162070
1462583217,538644,373165905
1462666000,538665,373486417
1462799207,538655,373481550
1462802809,538665,373481545
1462810012,538688,373481518
1462824408,538665,373480296
1462889203,538667,373475952
1462896419,538685,373475926
1462903609,538710,373193265
1462914403,538716,373193260
1462972051,538544,373191497
1462975645,538572,373191214
1462982821,538575,373191209
1462993630,538577,373190692
1463065623,538608,373190393
1463080022,538653,373190321
1463098000,538664,373464241
1463126840,538662,373463729
