DateTime,AddedIPs,RemovedIPs
1468681616,140,12
1468688819,331,32
1468696024,350,30
1468706816,400,9
1468710412,70,0
1468714015,205,23427
1468721215,176,2444
1468739215,520,3161
1468746421,268,1048
1468750012,213,12173
1468753606,176,13734
1468760826,382,10193
1468764413,208,3
1468775207,486,12
1468778815,174,3
1468782429,158,3
1468786013,162,0
1468796816,747,10
1468800415,910,35105
1468825634,5997,2183
1468829215,0,146
1468843656,48729,705
1468847237,9307,174
1468854455,28398,67
1468868842,9628,41
1468879621,6036,22
1468894025,6796,1821
1468901222,2402,215
1468904831,1037,100
1468908411,993,94
1468922850,24574,501
1468933661,21906,606
1468937242,8054,36
1468955244,14924,71
1468958825,722,7
1468962418,2764,14
1468969636,2888,12
1468973210,507,2212
1468976819,376,770
1468980429,443,1003
1468984012,430,1032
1468987618,549,954
1468991217,482,950
1469016440,14921,44260
1469020032,4059,4008
1469027221,533,2
1469030659,2368,28
1469034432,1977,11
1469041629,6157,43
1469048831,4702,25
1469052422,1600,11
1469056020,473,6
1469059616,1203,54866
1469074024,3800,5772
1469084828,3292,3061
1469092025,2351,2502
1469102856,32007,25903
1469117260,9702,5518
1469124415,2745,27
1469128027,2629,13
1469135229,5692,22
1469138834,1256,9
1469146030,3126,40582
1469160438,9883,1790
1469174827,4013,2635
1469178424,994,686
1469185630,8864,4220
1469189228,6072,5141
1469192840,4225,3945
1469200028,4339,23
1469203619,1673,15
1469210810,6581,39
1469228833,627,0
1469232418,124,23546
1469239605,15,1681
1469250417,31,2867
1469254006,6,930
1469257603,9,1459
1469264818,6,2237
1469275642,13,7095
1469282816,18,27554
1469322411,39,25963
1469329608,0,5644
1469340411,11,5720
1469347608,17,1941
1469354819,3,1880
1469358410,12,3171
1469369206,5,11752
1469552815,1962,18848
1469567213,1,0
1469578008,0,2
1469599610,0,40
1469624832,20327,8
1469632051,28618,36
1469704117,215998,370
1469718450,25241,133
1469736463,12009,73
1469743638,9523,57
1469761673,33115,1603
1469765245,5214,82
1469768833,1529,14
1469783242,4036,63
1469790461,13804,95
1469801263,25452,5879
1469804853,2319,21
1469812039,4481,67
1469826441,4683,83
1469830027,756,11
1469833639,525,9
1469837224,1418,137258
1469848033,2233,35309
1469851627,855,11475
1469858823,640,18553
1469862429,18,11842
1469880424,15971,32663
1469891257,6934,12863
1469905641,7349,20
1469923618,8858,43991
1469927238,1808,1920
1469930828,1174,12933
1469938023,2471,15318
1469945225,3184,5985
1469966830,9064,21420
1469974029,2544,9451
1469977616,1221,14
1469992037,7485,35
1470006433,3683,26
1470010018,647,28051
1470017221,1907,1249
1470020833,795,857
1470031624,3215,1936
1470035216,2131,978
1470038836,1506,3542
1470046026,3894,6299
1470049625,4568,2048
1470053243,12537,442
1470064059,41017,2439
1470074853,13276,74
1470089232,10770,59
1470092821,1939,15
1470100030,2786,22305
1470103630,1697,1723
1470107227,513,1029
1470110834,1422,1169
1470114425,1980,1466
1470118029,1976,1861
1470121632,2340,1242
1470128834,2534,4049
1470132442,1529,1626
1470136031,8958,1300
1470143250,21794,2138
1470146855,10481,67
1470150437,2186,18
1470168437,13849,72
1470179242,15984,73
1470182832,2181,14940
1470186437,2199,643
1470190027,2028,1171
1470197227,2855,1599
1470200827,1824,1270
1470204428,2361,1048
1470208025,1813,1684
1470218836,4076,4489
1470233258,33301,18075
1470240452,24137,126
1470244042,13481,86
1470247646,5244,43
1470251232,1194,14
1470254821,1451,21
1470262042,2660,47
1470272828,4973,64698
1470276431,1723,1725
1470280018,627,1470
1470290829,5386,3951
1470294433,2587,2106
1470301629,6129,4009
1470308849,22605,2389
1470312447,9060,10364
1470323259,28065,8888
1470326849,9044,45
1470330453,11250,94
1470334031,1027,11
1470337639,924,24
1470341231,1627,16
1470348431,3399,35
1470359231,2940,54266
1470362833,328,2097
1470370036,541,4004
1470373630,203,658
1470377220,210,2178
1470384422,426,4096
1470398850,17002,13621
1470402442,2501,7392
1471446699,73929,193704
1471450125,9874,3289
1471457502,2951,1135
1471460867,741,530
1471479006,2635,3169
1471493634,2104,2037
1471496973,347,626
1471500581,896,712
1471508027,1317,939
1471511387,411,945
1471514851,795,697
1471533282,20315,19967
1471536598,486,709
1471540180,582,478
1471543816,610,550
1471558073,2104,2259
1471561810,605,456
1471572532,1291,1616
1471576191,606,472
1471583414,853,1122
1471586945,534,550
1471590445,559,470
1471597847,1170,816
1471601372,917,789
1471604982,2216,12938
1471608616,1823,10874
1471612068,3463,2795
1471615877,8886,5915
1471623259,8657,9399
1471630203,1177,11174
1471633643,555,819
1471644466,1386,1761
1471648052,378,571
1471651763,310,474
1471655336,424,512
1471662945,1887,896
1471666207,4289,676
1471673451,4996,863
1471676863,2150,894
1471680468,680,753
1471687979,2661,1002
1471691255,1423,857
1471694858,905,2843
1471698594,960,3987
1471702206,1605,10459
1471705760,1367,2737
1471709250,477,649
1471713022,4948,524
1471716646,2760,583
1471720230,1723,556
1471723664,689,357
1471727410,1147,426
1471731028,899,718
1471734616,441,606
1471738194,487,549
1471741770,602,450
1471745350,643,367
1471748986,465,508
1471752444,281,629
1471756041,1300,448
1471759801,1561,395
1471763383,1384,559
1471766959,1388,528
1471770453,807,554
1471774161,853,627
1471777786,1373,1008
1471785028,1977,4006
1471788589,813,4189
1471792053,1172,8254
1471795779,1134,1197
1471803082,3230,8052
1471806604,1782,519
1471810194,1420,600
1471813649,542,422
1471817256,1529,506
1471820856,1472,435
1471824607,1259,352
1471828200,1233,308
1471831751,1150,443
1471835401,1792,384
1471838858,1529,1217
1471842593,960,4570
1471846049,2107,2607
1471849800,2093,2309
1471853366,619,2267
1471856962,3,433
1471860517,4,1198
1471864129,11,1491
1471867652,0,1555
1471871347,39827,813
1471874663,19978,41
1471882159,29041,3802
1471893116,22713,7140
1471896770,4087,1668
1471903763,5482,1890
1471907406,2649,885
1471910877,1827,425
1471914605,2421,522
1471918078,2081,601
1471925461,3372,1065
1471936250,7084,3165
1471947151,24430,3507
1471950770,7246,935
1471958184,28603,2544
1471961610,11149,750
1471976088,47535,3632
1471979348,9047,2662
1471986769,15299,3094
1471990159,4934,534
1471993882,5383,1797
1471997469,5466,1307
1472001143,6201,1345
1472008127,3008,2455
