DateTime,Entries,UniqueIPs
1468688819,106157,107128
1468696024,106452,107448
1468706816,106819,107839
1468710412,106885,107909
1468714015,83971,84687
1468721215,81739,82419
1468739215,79144,79778
1468746421,78366,78998
1468750012,66505,67038
1468753606,53023,53480
1468760826,43254,43669
1468764413,43440,43874
1468775207,43873,44348
1468778815,44032,44519
1468782429,44176,44674
1468786013,44319,44836
1468796816,45018,45573
1468800415,11039,11378
1468825634,14843,15192
1468829215,14705,15046
1468843656,62466,63070
1468847237,71513,72203
1468854455,99593,100534
1468868842,109064,110121
1468879621,114981,116135
1468894025,120014,121110
1468901222,122165,123297
1468904831,123089,124234
1468908411,123976,125133
1468922850,147708,149206
1468933661,168689,170506
1468937242,176548,178524
1468955244,191052,193377
1468958825,191741,194092
1468962418,194438,196842
1468969636,197234,199718
1468973210,195682,198013
1468976819,195292,197619
1468980429,194739,197059
1468984012,194135,196457
1468987618,193741,196052
1468991217,193295,195584
1469016440,164552,166245
1469020032,164586,166296
1469027221,165110,166827
1469030659,167390,169167
1469034432,169310,171133
1469041629,175321,177247
1469048831,179905,181924
1469052422,181467,183513
1469056020,181925,183980
1469059616,129124,130317
1469074024,127119,128345
1469084828,127356,128576
1469092025,127206,128425
1469102856,133243,134529
1469117260,137322,138713
1469124415,139958,141431
1469128027,142535,144047
1469135229,148098,149717
1469138834,149296,150964
1469146030,112411,113508
1469160438,120430,121601
1469174827,121800,122979
1469178424,122096,123287
1469185630,126647,127931
1469189228,127577,128862
1469192840,127867,129142
1469200028,132066,133458
1469203619,133692,135116
1469210810,140129,141658
1469228833,140730,142285
1469232418,117736,118863
1469239605,116127,117197
1469250417,113358,114361
1469254006,112453,113437
1469257603,111028,111987
1469264818,108842,109756
1469275642,101861,102674
1469282816,74556,75138
1469322411,48905,49214
1469329608,43300,43570
1469340411,37658,37861
1469347608,35744,35937
1469354819,33888,34060
1469358410,30747,30901
1469369206,19056,19154
1469552815,2260,2268
1469567213,2261,2269
1469578008,2259,2267
1469599610,2219,2227
1469624832,22414,22546
1469632051,50743,51128
1469704117,262748,266756
1469718450,287207,291864
1469736463,298822,303800
1469743638,308101,313266
1469761673,338767,344778
1469765245,343735,349910
1469768833,345198,351425
1469783242,349023,355398
1469790461,362368,369107
1469801263,381527,388680
1469804853,383754,390978
1469812039,388002,395392
1469826441,392417,399992
1469830027,393141,400737
1469833639,393643,401253
1469837224,262062,265413
1469848033,229713,232337
