DateTime,Entries,UniqueIPs
1468901223,999168,1036675
1468904832,999569,1037086
1468908412,999986,1037534
1468922850,1015449,1053865
1468933662,1029580,1068768
1468937243,1034851,1074272
1468955245,1042517,1082398
1468958826,1042704,1082558
1468962419,1044709,1084606
1468969637,1046449,1086452
1468973211,1046540,1086545
1468976819,1046581,1086579
1468980429,1046666,1086669
1468984013,1046642,1086652
1468987619,1046548,1086549
1468991218,1046369,1086367
1469016440,1052917,1093215
1469020033,1055138,1095589
1469027222,1054341,1094763
1469030660,1055598,1096121
1469034433,1055621,1096133
1469041629,1058735,1099361
1469048832,1060629,1101292
1469052423,1061104,1101788
1469056021,1061086,1101772
1469059617,1061449,1102161
1469074024,1062199,1102961
1469084829,1062705,1103480
1469092025,1062757,1103556
1469102856,1078027,1119818
1469117261,1081847,1123799
1469124416,1082207,1124214
1469128028,1074118,1115675
1469135230,1067151,1108444
1469138835,1066386,1107674
1469146031,1067082,1108398
1469160438,1071591,1113154
1469174828,1072485,1114090
1469178425,1072817,1114434
1469185631,1077065,1118982
1469189229,1080203,1122317
1469192840,1082241,1124492
1469200029,1083322,1125662
1469203620,1069672,1111217
1469207241,1062548,1103730
1469210811,1064714,1105998
1469228834,1055060,1095849
1469232419,1053346,1094061
1469239606,1051159,1091730
1469250418,1049427,1089878
1469254007,1048793,1089214
1469257604,1048038,1088404
1469264818,1047295,1087598
1469275643,1027264,1066375
1469282817,1023427,1062278
1469286414,1022834,1061652
1469293619,1021650,1060370
1469304411,1020264,1058883
1469311609,1019454,1058029
1469322411,1017806,1056282
1469329609,1016728,1055140
1469340412,1015069,1053358
1469347609,1014064,1052303
1469354820,1012920,1051093
1469358411,1012018,1050134
1469369206,998881,1036223
1469376408,987319,1024013
1469390808,976904,1013068
1469394412,976309,1012442
1469398000,975813,1011889
1469416012,973702,1009575
1469423219,972787,1008609
1469430409,971816,1007578
1469434005,971525,1007264
1469441215,970498,1006191
1469444808,970041,1005710
1469452011,968810,1004411
1469455607,968527,1004119
1469470016,966832,1002336
1469477217,965984,1001413
1469484406,964835,1000189
1469491620,964055,999370
1469495213,963627,998917
1469502410,963035,998277
1469520414,961421,996565
1469524013,960873,995987
1469542008,958356,993323
1469545613,957571,992496
1469549216,956784,991657
1469552815,962502,997661
1469556428,961836,996941
1469560023,961435,996520
1469567214,960612,995636
1469574418,959882,994858
1469578008,959677,994645
1469599610,958074,992886
1469603211,957526,992299
1469614018,956443,991157
1469624833,964663,999757
1469632051,966755,1001901
1469704118,1043023,1082292
1469718451,1047137,1086538
1469736464,1045222,1084562
1469743639,1041326,1080490
1469761674,1062901,1103307
1469765246,1066672,1107295
1469768833,1067519,1108177
1469783243,1068162,1108867
1469790461,1077588,1118948
1469801264,1068601,1109469
1469804854,1066910,1107713
1469812040,1067226,1108014
1469826441,1068814,1109731
1469830028,1062648,1103353
1469833639,1059833,1100455
1469837225,1058600,1099181
1469848034,1057330,1097854
1469851627,1057256,1097772
1469858824,1056627,1097115
1469862429,1056326,1096784
1469880424,1056700,1097241
1469891258,1055508,1095937
1469905642,1054686,1095109
1469912828,1051470,1091713
1469923619,1053621,1093969
1469927239,1082414,1124555
1469930829,1082448,1124603
1469938023,1083054,1125203
1469945226,1084253,1126476
1469966830,1080905,1122897
1469974030,1079945,1121862
1469977617,1079696,1121590
1469992038,1079788,1121735
1470006434,1076702,1118420
1470010019,1076118,1117814
1470017222,1075020,1116629
1470020834,1074219,1115778
1470031625,1073172,1114632
1470035217,1073736,1115218
1470038837,1074045,1115506
1470046027,1074557,1116001
1470049626,1075957,1117487
1470053244,1081301,1123124
1470064060,1098752,1141457
1470074854,1100298,1143077
1470089233,1102442,1145249
1470092822,1103259,1146085
1470100031,1103461,1146299
1470103630,1103145,1145993
1470107228,1102470,1145272
1470110835,1102187,1144938
1470114425,1102435,1145196
1470118030,1102546,1145285
1470121632,1102691,1145403
1470128835,1102223,1144873
1470132443,1102580,1145276
1470136031,1107047,1150035
1470143250,1117991,1161580
1470146855,1123477,1167398
1470150438,1124196,1168152
1470168438,1130264,1174607
1470179243,1138475,1183148
1470182832,1139327,1184050
1470186438,1140161,1184924
1470190028,1140801,1185607
1470197227,1141635,1186511
1470200828,1142315,1187221
1470204429,1143451,1188474
1470208026,1144126,1189219
1470218837,1144988,1190170
1470233259,1165931,1212506
1470240453,1179179,1226665
1470244043,1187014,1235052
1470247647,1190006,1238277
1470251233,1190247,1238541
1470254822,1190682,1239011
1470262043,1191795,1240223
1470272829,1193770,1242383
1470276432,1194126,1242731
1470280019,1194139,1242733
1470290829,1195977,1244739
1470294434,1197095,1245926
1470301630,1199571,1248588
1470308850,1211863,1261691
1470312448,1216768,1266917
1470323260,1224873,1275553
1470326850,1228078,1278967
1470330454,1234431,1285714
1470334032,1232010,1283133
1470337640,1230937,1281973
1470341232,1231252,1282284
1470348432,1232407,1283479
1470359232,1232404,1283476
1470362834,1231882,1282895
1470370037,1230960,1281900
1470373631,1230361,1281256
1470377221,1229634,1280462
1470384423,1227914,1278656
1470398851,1236561,1287811
1470402443,1237186,1288467
1471446700,1213079,1262051
1471450126,1218077,1267392
1471457503,1219594,1269020
1471460867,1219868,1269299
1471479006,1220539,1269989
1471493635,1219933,1269359
1471496974,1219676,1269077
1471500582,1219791,1269181
1471508028,1219521,1268893
1471511387,1219339,1268713
1471514852,1217105,1266295
1471533283,1195374,1242959
1471536599,1187573,1234693
1471540181,1186309,1233354
1471543817,1185192,1232178
1471558074,1182732,1229580
1471561810,1181739,1228532
1471572533,1179713,1226417
1471576192,1179409,1226090
1471583415,1178532,1225165
1471586946,1178169,1224745
1471590446,1177946,1224500
1471597848,1176984,1223482
1471601373,1170283,1216336
1471604983,1163732,1209306
1471608617,1162328,1207808
1471612069,1159259,1204602
1471615878,1156908,1202158
1471623260,1153713,1198801
1471630204,1149767,1194629
1471633644,1149122,1193946
1471644467,1146485,1191222
1471648053,1145093,1189785
1471651764,1144964,1189630
1471655337,1144934,1189591
1471662945,1145354,1190016
1471666208,1147250,1192009
1471673452,1149431,1194301
1471676863,1150391,1195310
1471680468,1150179,1195088
1471687980,1150969,1195914
1471691256,1149724,1194609
1471694859,1147360,1192071
1471698595,1145322,1189878
1471702208,1143629,1188151
1471705761,1144246,1188787
1471709251,1144519,1189087
1471713023,1145979,1190632
1471716646,1146352,1191026
1471720231,1144445,1189055
1471723665,1144008,1188598
1471727411,1144061,1188651
1471731029,1142650,1187205
1471734617,1142067,1186589
1471738195,1141878,1186408
1471741771,1141837,1186366
1471745351,1141809,1186329
1471748987,1141525,1186023
1471752445,1141187,1185669
1471756042,1141680,1186187
1471759801,1142294,1186840
1471763384,1142446,1187036
1471766960,1142875,1187493
1471770454,1142702,1187312
1471774162,1142619,1187227
1471777787,1140461,1184939
1471785029,1125409,1168966
1471788590,1122772,1166160
1471792054,1123042,1166434
1471795780,1123333,1166750
1471803083,1124324,1167841
1471806605,1124685,1168205
1471810195,1124527,1168058
1471813650,1122835,1166303
1471817256,1123072,1166561
1471820857,1123307,1166817
1471824608,1123169,1166653
1471828201,1123224,1166710
1471831752,1122599,1166055
1471835401,1121845,1165260
1471838859,1121659,1165098
1471842593,1120884,1164258
1471846050,1121233,1164610
1471849801,1121781,1165197
1471853367,1121526,1164925
1471856963,1121114,1164498
1471860518,1120594,1163956
1471864130,1118981,1162221
1471867653,1115782,1158788
1471871349,1134176,1178250
1471874664,1145346,1190100
1471882160,1158441,1203866
1471893117,1167912,1213909
1471896771,1169276,1215335
1471903764,1169964,1216031
1471907407,1170484,1216562
1471910878,1171125,1217231
1471914606,1172587,1218777
1471918079,1173847,1220116
1471925462,1175990,1222428
1471936251,1180984,1227671
