DateTime,AddedIPs,RemovedIPs
1472640121,6,10
1472640721,7,10
1472641321,0,3
1472642521,3,1
1472643122,1,0
1472644321,0,7
1472644922,1,0
1472645522,3,0
1472646121,6,0
1472646721,3,0
1472647322,3,1
1472647922,8,0
1472648521,0,2
1472649722,0,10
1472650921,4,2
1472651522,2,4
1472652122,3,0
1472652722,11,3
1472653322,3,0
1472653922,0,1
1472654521,1,4
1472655722,0,1
1472656321,1,0
1472656922,0,3
1472658722,0,1
1472659321,0,13
1472659921,1,0
1472660521,1,1
1472661121,8,3
1472661722,2,2
1472662321,1,0
1472662922,0,1
1472664121,0,2
1472665322,0,6
1472665922,1,2
1472666522,2,0
1472667721,8,1
1472668321,0,2
1472668922,1,0
1472669522,1,0
1472671321,0,4
1472671922,0,5
1472672522,1,0
1472673721,1,5
1472675522,5,0
1472676122,11,0
1472677322,1,3
1472678522,1,7
1472679722,0,2
1472682121,0,4
1472682721,0,4
1472683323,4,0
1472683921,1,0
1472685122,0,4
1472686321,0,7
1472687521,0,4
1472688722,1,2
1472689322,1,1
1472689922,0,1
1472690522,0,1
1472692323,4,0
1472692922,9,1
1472693522,4,0
1472695322,0,1
1472695922,0,1
1472696522,5,0
1472697722,16,8
1472698321,2,1
1472700121,0,2
1472700721,0,6
1472701322,6,0
1472702522,5,2
1472703121,4,0
1472703721,2,0
1472704322,0,1
1472704921,1,3
1472706122,2,0
1472706721,4,0
1472707322,1,0
1472708521,0,4
1472709121,0,1
1472711522,4,0
1472712122,12,0
1472712721,7,9
1472713322,1,0
1472713921,0,2
1472714521,2,0
1472716921,4,6
1472718122,16,0
1472719322,0,1
1472719921,1,0
1472720521,0,1
1472721721,1,0
1472723522,10,0
1472724121,11,1
1472724721,1,0
1472725321,2,1
1472725922,0,4
1472726522,2,2
1472727121,17,2
1472727721,0,1
1472728921,1,0
1472729522,2,5
1472730122,1,2
1472731321,1,0
1472732521,5,0
1472733722,12,0
1472734322,2,1
1472736722,4,4
1472737321,9,0
1472738522,10,2
1472739121,2,0
1472739722,2,0
1472740921,0,4
1472742121,0,1
1472742721,1,0
1472743321,6,1
1472743921,2,1
1472745121,1,3
1472746322,2,0
1472746922,3,1
1472747522,0,1
1472748122,21,1
1472748721,3,0
1472749322,1,0
1472749922,0,1
1472750522,5,0
1472751121,1,4
1472752322,3,1
1472752922,3,0
1472753522,1,0
1472754122,1,0
1472755322,2,0
1472756522,2,1
1472757722,2,1
1472758322,3,0
1472761321,15,1
1472762521,10,2
1472764921,0,1
1472766122,1,0
1472767322,3,1
1472767922,5,1
1472768522,3,0
1472769721,5,1
1472770322,1,1
1472770921,1,0
1472771521,1,2
1472773322,0,3
1472773921,0,5
1472774522,0,1
1472775123,1,0
1472775722,19,2
1472776321,5,0
1472776921,1,0
1472777522,0,2
1472778123,0,3
1472778721,1,2
1472779322,6,2
1472779922,6,0
1472780521,0,1
1472781121,1,0
1472781723,1,8
1472782921,14,2
1472783522,2,2
1472784121,2,11
1472784722,1,0
1472785922,1,8
1472786522,18,1
1472787721,30,0
1472788322,1,11
1472788921,0,7
1472789522,5,11
1472790122,1,0
1472790722,17,0
1472791322,2,0
1472791922,3,2
1472792521,0,2
1472793121,1,0
1472793723,8,0
1472794321,2,0
1472794922,1,0
1472795521,5,0
1472797321,0,14
1472797921,3,4
1472799121,13,3
1472799723,7,0
1472800322,14,0
1472800922,1,0
1472801522,3,2
1472802722,2,1
1472803321,6,0
1472803921,5,0
1472804522,10,5
1472805121,2,1
1472805721,1,0
1472806922,3,3
1472807522,1,0
1472808121,3,0
1472808722,2,0
1472809322,3,0
1472809922,1,6
1472810522,0,1
1472811122,1,3
1472811722,1,0
1472812322,3,0
1472812922,2,0
1472814121,3,5
1472815322,6,4
1472818322,2,2
1472818921,1,5
1472819522,0,1
1472820121,1,0
1472821321,0,1
1472821921,1,0
1472822521,0,6
1472823122,0,4
1472824321,8,1
1472825522,3,1
1472826122,0,2
1472827321,2,0
1472827921,0,1
1472829123,2,2
1472829722,4,0
1472830921,4,0
1472832121,4,0
1472833321,1,0
1472835122,0,3
1472835722,2,2
1472836921,6,6
1472837521,1,0
1472838122,6,0
1472839322,0,7
1472840521,0,1
1472842323,2,1
1472842921,5,1
1472844121,0,2
1472846521,1,3
1472847121,0,2
1472848321,0,3
1472849522,5,0
1472850721,0,1
1472851321,0,6
1472852522,2,1
1472853121,1,2
1472853721,1,10
1472854922,0,11
1472856722,1,0
1472857321,0,2
1472857921,1,0
1472858522,12,0
1472860322,2,1
1472862121,0,3
1472862722,0,2
1472865721,6,5
1472868723,23,0
1472869322,13,0
1472869921,7,0
1472870521,2,0
