DateTime,AddedIPs,RemovedIPs
1472787721,36,36
1472788322,2,2
1472788921,6,6
1472789522,11,11
1472790122,6,6
1472790722,24,24
1472791322,12,12
1472791922,17,17
1472792521,3,3
1472793121,2,2
1472793723,10,10
1472794321,5,5
1472794922,3,3
1472795521,7,7
1472797321,2,2
1472797921,4,4
1472799121,13,13
1472799723,12,12
1472800322,27,27
1472800922,1,1
1472801522,4,4
1472802722,2,2
1472803321,11,11
1472803921,6,6
1472804522,20,20
1472805121,4,4
1472805721,3,3
1472806922,8,8
1472807522,4,4
1472808121,8,8
1472808722,3,3
1472809322,11,11
1472809922,4,4
1472810522,1,1
1472811122,1,1
1472811722,3,3
1472812322,5,5
1472812922,6,6
1472814121,4,4
1472815322,18,18
1472816521,2,2
1472817121,1,1
1472817722,2,2
1472818322,6,6
1472818921,5,5
1472819522,3,3
1472820121,4,4
1472820722,1,1
1472821321,1,1
1472821921,2,2
1472822521,6,6
1472823122,7,7
1472824321,8,8
1472824922,1,1
1472825522,6,6
1472826122,3,3
1472827321,3,3
1472829123,6,6
1472829722,4,4
1472830321,3,3
1472830921,7,7
1472832121,6,6
1472832721,5,5
1472833321,6,6
1472835722,2,2
1472836921,9,9
1472837521,1,1
1472838122,9,9
1472838722,1,1
1472839322,1,1
1472842323,2,2
1472842921,7,7
1472844121,1,1
1472845322,1,1
1472846521,5,5
1472847721,3,3
1472848321,1,1
1472848921,1,1
1472849522,7,7
1472850121,1,1
1472850721,6,6
1472851321,3,3
1472852522,4,4
1472853121,3,3
1472853721,1,1
1472854922,5,5
1472856722,2,2
1472857321,1,1
1472857921,2,2
1472858522,12,12
1472860322,3,3
1472862121,5,5
1472862722,3,3
1472864523,2,2
1472865721,6,6
1472866321,2,2
1472868723,24,24
1472869322,14,14
1472869921,9,9
1472870521,5,5
1472871122,1,1
1472871722,1,1
1472872921,4,4
1472873522,1,1
1472874122,3,3
1472875322,25,25
1472876521,11,11
1472877121,5,5
1472877721,2,2
1472878321,4,4
1472878921,1,1
1472879522,7,7
1472880122,2,2
1472880722,4,4
1472881321,9,9
1472881922,1,1
1472883122,4,4
1472883721,2,2
1472884321,2,2
1472884922,1,1
1472885522,12,12
1472886121,3,3
1472887321,2,2
1472887921,7,7
1472888522,2,2
1472889122,1,1
1472889721,1,1
1472890321,2,2
1472890922,2,2
1472891522,1,1
1472892121,1,1
1472892722,5,5
1472893321,1,1
1472894521,4,4
1472895721,1,1
1472896321,2,2
1472897522,3,3
1472899322,22,22
1472900522,2,2
1472901721,3,3
1472902322,1,1
1472902921,2,2
1472903521,1,1
1472904122,3,3
1472905322,13,13
1472905921,4,4
1472906521,2,2
1472907721,1,1
1472908922,3,3
1472911321,3,3
1472911922,2,2
1472912522,2,2
1472913721,10,10
1472914322,1,1
1472914922,1,1
1472916124,1,1
1472918521,1,1
1472919722,6,6
1472920922,8,8
1472921522,4,4
1472922121,5,5
1472923321,1,1
1472923921,2,2
1472924521,1,1
1472925721,1,1
1472926321,5,5
1472926922,5,5
1472927521,5,5
1472928121,1,1
1472929322,11,11
1472930521,4,4
1472931122,4,4
1472931722,6,6
1472932322,2,2
1472932922,2,2
1472934121,3,3
1472935321,3,3
1472936522,2,2
1472937122,2,2
1472937721,2,2
1472938321,2,2
1472938921,4,4
1472939522,5,5
1472940121,1,1
1472941321,4,4
1472942522,3,3
1472943721,3,3
1472944321,1,1
1472944922,1,1
1472946121,2,2
1472947923,8,8
1472948522,5,5
1472949722,3,3
1472950322,3,3
1472950923,2,2
1472951521,5,5
1472952121,1,1
1472953322,3,3
1472953921,1,1
1472954522,6,6
1472955722,5,5
1472956926,3,3
1472957522,1,1
1472958122,10,10
1472958722,4,4
1472959322,10,10
1472960522,1,1
1472961722,21,21
1472962321,4,4
1472962923,2,2
1472964121,29,29
1472966522,7,7
1472967122,5,5
1472967722,6,6
1472968922,3,3
1472970123,3,3
1472971322,15,15
1472971922,1,1
1472973122,2,2
1472973721,1,1
1472974923,8,8
1472975522,4,4
1472976121,1,1
1472976722,2,2
1472977322,1,1
1472977922,3,3
1472978521,1,1
1472980322,5,5
1472980922,4,4
1472982121,8,8
1472983322,6,6
1472983922,1,1
1472984522,3,3
1472985722,2,2
1472986921,21,21
1472987521,2,2
1472988121,1,1
1472988722,1,1
1472989322,3,3
1472989922,4,4
1472991122,7,7
1472991722,8,8
1472992321,2,2
1472992921,1,1
1472994123,4,4
1472994722,7,7
1472995321,5,5
1472995921,1,1
1472997122,1,1
1472997722,3,3
1472998322,2,2
1472998922,3,3
1472999522,6,6
1473000121,1,1
1473001321,4,4
1473001921,1,1
1473002521,1,1
1473003722,2,2
1473004921,21,21
1473006121,5,5
1473007321,7,7
1473007922,1,1
1473008522,1,1
1473009122,1,1
1473009722,1,1
1473010321,1,1
1473010921,3,3
1473012122,11,11
1473013322,9,9
1473014521,3,3
1473015123,1,1
1473015721,2,2
1473016321,1,1
1473016922,1,1
1473018122,1,1
1473018722,4,4
1473020522,1,1
1473021722,7,7
1473022321,1,1
1473024122,4,4
1473024722,1,1
1473025322,1,1
1473025922,3,3
1473026522,1,1
1473027122,2,2
1473027722,2,2
1473028322,3,3
1473028922,3,3
1473030122,1,1
1473030722,3,3
1473031321,5,5
1473031921,3,3
1473032522,2,2
1473033722,2,2
1473034323,15,15
1473034922,1,1
1473035522,2,2
1473036122,2,2
1473036722,1,1
1473037322,13,13
1473037921,12,12
1473038521,7,7
1473040923,7,7
1473041522,5,5
1473042121,1,1
1473042722,2,2
1473043922,4,4
1473044521,7,7
1473045121,1,1
1473045722,1,1
1473046922,1,1
1473047523,12,12
1473048122,6,6
1473048722,6,6
1473049321,3,3
1473050521,3,3
1473051122,17,17
1473051722,1,1
1473052922,4,4
1473054722,3,3
1473055322,10,10
1473056522,4,4
1473057721,1,1
1473058922,8,8
1473059522,4,4
1473060122,3,3
1473061321,2,2
1473061921,2,2
1473062521,3,3
1473063122,21,21
1473063721,5,5
1473064922,4,4
1473066122,1,1
1473067322,5,5
1473067922,2,2
1473068521,2,2
1473069722,3,3
1473070321,1,1
1473071522,1,1
1473072121,5,5
1473073321,3,3
1473074521,2,2
1473075122,1,1
1473076922,6,6
1473078122,3,3
1473079322,2,2
1473079921,1,1
1473080522,3,3
1473081122,4,4
1473082322,2,2
1473082922,1,1
1473084121,2,2
1473085322,8,8
1473086522,5,5
1473087122,2,2
1473088322,1,1
1473088922,4,4
1473090122,1,1
1473091321,6,6
1473092521,5,5
1473093721,4,4
1473094923,4,4
1473095521,12,12
1473096121,1,1
1473096721,2,2
1473098521,1,1
1473099722,6,6
1473100922,5,5
1473101522,2,2
1473102721,3,3
1473105722,3,3
1473106322,1,1
1473106921,7,7
1473107522,5,5
1473109322,2,2
1473109922,2,2
1473110522,3,3
1473111722,20,20
1473112921,8,8
1473113522,4,4
1473114121,2,2
1473114722,3,3
1473115322,1,1
1473116522,22,22
1473117721,5,5
1473118321,2,2
1473118921,2,2
1473120122,4,4
1473120722,1,1
1473121321,1,1
1473122522,16,16
1473123721,9,9
1473124922,8,8
1473125522,3,3
1473126121,1,1
1473126721,14,14
1473128521,1,1
1473129122,5,5
1473129721,4,4
1473130321,4,4
1473130921,1,1
1473132122,2,2
1473132722,2,2
1473133321,4,4
1473133921,1,1
1473134521,1,1
1473135122,2,2
1473135722,3,3
1473136922,17,17
1473137522,12,12
1473138121,2,2
1473138722,3,3
1473139322,2,2
1473140522,4,4
1473141122,2,2
1473141721,2,2
1473142326,1,1
1473144123,4,4
1473145322,17,17
1473146521,1,1
1473147121,4,4
1473147722,2,2
1473148322,6,6
1473148921,3,3
1473149521,4,4
1473150121,7,7
1473151321,2,2
1473152521,8,8
1473153722,13,13
1473154322,2,2
1473154922,1,1
1473155521,1,1
1473156122,2,2
1473156721,18,18
1473157322,4,4
1473158521,3,3
1473159121,2,2
1473160922,22,22
1473162123,3,3
1473163322,1,1
1473163921,3,3
1473164522,2,2
1473165721,10,10
1473166322,2,2
1473166922,2,2
1473167521,3,3
1473168121,2,2
1473169321,3,3
1473170522,6,6
1473171721,3,3
1473172921,2,2
1473173522,3,3
1473174122,1,1
1473175322,8,8
1473176521,4,4
1473178321,3,3
1473179522,2,2
1473180121,21,21
1473180721,1,1
1473181322,4,4
1473182521,1,1
1473183121,1,1
1473183721,2,2
1473184323,2,2
1473184921,13,13
1473186122,4,4
1473187322,6,6
1473187921,2,2
1473188522,1,1
1473189122,2,2
1473190322,15,15
1473190921,6,6
1473191521,3,3
1473192722,7,7
1473194521,1,1
1473195122,1,1
1473196922,18,18
1473198121,4,4
1473199322,3,3
1473200521,4,4
1473201122,1,1
1473201721,5,5
1473202322,6,6
1473202922,4,4
1473203522,2,2
1473204722,2,2
1473205321,2,2
1473205921,3,3
1473206521,1,1
1473207122,1,1
1473207723,2,2
1473208922,24,24
1473209522,3,3
1473210721,1,1
1473211323,5,5
1473211921,7,7
1473212522,8,8
1473213122,1,1
1473213721,1,1
1473214322,12,12
