DateTime,AddedIPs,RemovedIPs
1471096802,138,129
1471100401,89,101
1471104002,260,106
1471107602,187,112
1471111202,107,109
1471114801,106,141
1471118401,272,133
1471122002,113,104
1471125601,120,119
1471129202,110,84
1471132802,116,122
1471136402,92,107
1471140002,87,88
1471143601,95,108
1471147202,100,104
1471150802,115,102
1471154402,105,100
1471158002,97,108
1471161601,99,120
1471165202,156,130
1471168801,99,100
1471172402,109,125
1471176002,98,148
1471179602,104,116
1471183202,161,152
1471186801,143,86
1471190402,113,238
1471194002,235,212
1471197602,93,115
1471201201,100,115
1471204802,85,218
1471208401,75,178
1471212002,85,90
1471215602,89,139
1471219202,82,134
1471222801,115,83
1471226401,100,90
1471230001,143,96
1471233601,98,110
1471237201,112,98
1471240801,114,95
1471244401,139,96
1471248001,138,96
1471251602,109,155
1471255201,132,108
1471258802,136,106
1471262402,128,91
1471266002,94,97
1471269601,138,179
1471273202,190,164
1471276801,166,122
1471280402,128,253
1471284001,94,89
1471287602,104,108
1471291202,113,97
1471294801,97,81
1471298401,117,85
1471302002,124,98
1471305602,143,106
1471309201,116,89
1471312802,92,103
1471316402,116,124
1471320001,191,106
1471323602,108,101
1471327201,140,117
1471330802,134,129
1471334401,137,125
1471338002,174,114
1471341602,190,103
1471345202,161,126
1471348801,132,114
1471352402,149,108
1471356001,130,138
1471359601,133,195
1471363201,245,164
1471366801,229,128
1471370401,82,101
1471374002,100,99
1471377601,94,121
1471381202,116,101
1471384801,91,121
1471388402,82,109
1471392002,108,177
1471395602,90,104
1471399202,87,90
1471402801,85,101
1471406401,166,191
1471410002,148,107
1471413602,116,125
1471417201,119,133
1471420802,153,136
1471424401,130,138
1471428001,129,174
1471431601,149,167
1471435201,157,152
1471438802,175,139
1471442402,121,149
1471446001,115,150
1471449602,234,226
1471453202,160,277
1471456802,138,113
1471460402,181,99
1471464002,198,97
1471467602,135,121
1471471202,129,85
1471474802,100,76
1471478401,120,125
1471482001,98,84
1471485601,109,89
1471489202,154,87
1471492802,124,93
1471496401,117,165
1471500001,117,110
1471503601,154,98
1471507202,135,140
1471510802,105,106
1471514402,148,120
1471518001,127,113
1471521601,150,214
1471525201,120,172
1471528802,154,117
1471532402,188,129
1471536002,197,193
1471539602,136,183
1471543201,114,140
1471546802,114,174
1471550402,149,179
1471554002,108,121
1471557602,125,120
1471561202,127,114
1471564801,121,133
1471568401,119,78
1471572002,93,103
1471575601,93,152
1471579201,118,97
1471582802,144,127
1471586402,146,112
1471590002,138,151
1471593602,148,134
1471597201,140,118
1471600802,166,123
1471604402,121,133
1471608002,152,150
1471611602,110,132
1471615201,112,157
1471618802,132,206
1471622401,194,196
1471626001,292,163
1471629601,142,103
1471633201,122,129
1471636802,189,166
1471640402,141,111
1471644001,108,127
1471647602,125,129
1471651202,126,136
1471654801,105,102
1471658401,96,107
1471662001,114,97
1471665602,77,94
1471669202,143,131
1471672801,100,139
1471676402,107,126
1471680001,123,122
1471683601,154,152
1471687202,114,154
1471690802,157,134
1471694402,140,173
1471698002,118,135
1471701602,151,113
1471705202,115,140
1471708802,122,198
1471712402,137,252
1471716001,135,221
1471719601,102,131
1471723201,111,167
1471726802,124,156
1471730402,107,139
1471734002,166,135
1471737602,93,131
1471741202,76,89
1471744801,141,96
1471748401,94,129
1471752001,79,82
1471755602,84,130
1471759202,89,109
1471762801,91,92
1471766401,102,115
1471770002,107,138
1471773602,104,117
1471777202,111,121
1471780802,100,133
1471784402,104,120
1471788001,177,159
1471791602,106,139
1471795202,132,151
1471798802,89,145
1471802401,107,155
1471806002,107,109
1471809602,94,123
1471813201,91,97
1471816802,95,145
1471820401,100,161
1471824002,112,130
1471827601,125,66
1471831201,105,122
1471834802,96,101
1471838402,126,87
1471842002,162,93
1471845601,154,101
1471849202,166,78
1471852801,196,99
1471856401,185,101
1471860002,146,122
1471863602,134,108
1471867201,157,99
1471870802,162,95
1471874401,149,138
1471878001,150,148
1471881602,141,153
1471885201,130,90
1471888801,135,102
1471892402,123,118
