DateTime,Entries,UniqueIPs
1471129202,3994,3994
1471132802,3988,3988
1471136402,3973,3973
1471140002,3972,3972
1471143601,3959,3959
1471147202,3955,3955
1471150802,3968,3968
1471154402,3973,3973
1471158002,3962,3962
1471161601,3941,3941
1471165202,3967,3967
1471168801,3966,3966
1471172402,3950,3950
1471176002,3900,3900
1471179602,3888,3888
1471183202,3897,3897
1471186801,3954,3954
1471190402,3829,3829
1471194002,3852,3852
1471197602,3830,3830
1471201201,3815,3815
1471204802,3682,3682
1471208401,3579,3579
1471212002,3574,3574
1471215602,3524,3524
1471219202,3472,3472
1471222801,3504,3504
1471226401,3514,3514
1471230001,3561,3561
1471233601,3549,3549
1471237201,3563,3563
1471240801,3582,3582
1471244401,3625,3625
1471248001,3667,3667
1471251602,3621,3621
1471255201,3645,3645
1471258802,3675,3675
1471262402,3712,3712
1471266002,3709,3709
1471269601,3668,3668
1471273202,3694,3694
1471276801,3738,3738
1471280402,3613,3613
1471284001,3618,3618
1471287602,3614,3614
1471291202,3630,3630
1471294801,3646,3646
1471298401,3678,3678
1471302002,3704,3704
1471305602,3741,3741
1471309201,3768,3768
1471312802,3757,3757
1471316402,3749,3749
1471320001,3834,3834
1471323602,3841,3841
1471327201,3864,3864
1471330802,3869,3869
1471334401,3881,3881
1471338002,3941,3941
1471341602,4028,4028
1471345202,4063,4063
1471348801,4081,4081
1471352402,4122,4122
1471356001,4114,4114
1471359601,4052,4052
1471363201,4133,4133
1471366801,4234,4234
1471370401,4215,4215
1471374002,4216,4216
1471377601,4189,4189
1471381202,4204,4204
1471384801,4174,4174
1471388402,4147,4147
1471392002,4078,4078
1471395602,4064,4064
1471399202,4061,4061
1471402801,4045,4045
1471406401,4020,4020
1471410002,4061,4061
1471413602,4052,4052
1471417201,4038,4038
1471420802,4055,4055
1471424401,4047,4047
1471428001,4002,4002
1471431601,3984,3984
1471435201,3989,3989
1471438802,4025,4025
1471442402,3997,3997
1471446001,3962,3962
1471449602,3970,3970
1471453202,3853,3853
1471456802,3878,3878
1471460402,3960,3960
1471464002,4061,4061
1471467602,4075,4075
1471471202,4119,4119
1471474802,4143,4143
1471478401,4138,4138
1471482001,4152,4152
1471485601,4172,4172
1471489202,4239,4239
1471492802,4270,4270
1471496401,4222,4222
1471500001,4229,4229
1471503601,4285,4285
1471507202,4280,4280
1471510802,4279,4279
1471514402,4307,4307
1471518001,4321,4321
1471521601,4257,4257
1471525201,4205,4205
1471528802,4242,4242
1471532402,4301,4301
1471536002,4305,4305
1471539602,4258,4258
1471543201,4232,4232
1471546802,4172,4172
1471550402,4142,4142
1471554002,4129,4129
1471557602,4134,4134
1471561202,4147,4147
1471564801,4135,4135
1471568401,4176,4176
1471572002,4166,4166
1471575601,4107,4107
1471579201,4128,4128
1471582802,4145,4145
1471586402,4179,4179
1471590002,4166,4166
1471593602,4180,4180
1471597201,4202,4202
1471600802,4245,4245
1471604402,4233,4233
1471608002,4235,4235
1471611602,4213,4213
1471615201,4168,4168
1471618802,4094,4094
1471622401,4092,4092
1471626001,4221,4221
1471629601,4260,4260
1471633201,4253,4253
1471636802,4276,4276
1471640402,4306,4306
1471644001,4287,4287
