DateTime,AddedIPs,RemovedIPs
1472287200,38,233
1472287800,152,0
1472290800,15,135
1472291400,177,0
1472293200,1,4
1472294400,10,118
1472295000,154,0
1472298000,36,136
1472298600,178,0
1472300400,5,2
1472301600,41,139
1472302200,176,0
1472305200,16,129
1472305800,133,0
1472307600,2,3
1472308800,7,138
1472310000,85,0
1472312400,37,116
1472313000,81,0
1472314800,2,6
1472316000,31,134
1472316600,67,0
1472319600,19,117
1472320200,76,0
1472322000,3,8
1472323200,21,118
1472323800,71,0
1472326800,7,101
1472327400,66,0
1472329200,1,3
1472330400,23,70
1472331000,38,0
1472334000,17,95
1472334600,33,1
1472336400,3,10
1472337600,33,146
1472338200,51,0
1472341200,29,160
1472341800,29,0
1472343600,11,4
1472344800,18,163
1472345400,47,0
1472347200,0,1
1472348400,25,159
1472349000,33,0
1472350800,2,10
1472352000,27,210
1472352600,41,0
1472355600,25,226
1472356200,45,0
1472358000,6,7
1472359200,1,230
1472359800,74,0
1472362800,36,230
1472363400,27,0
1472365200,3,2
1472366400,37,200
1472367000,30,0
1472370000,2,180
1472370600,62,0
1472372400,3,3
1472373600,32,227
1472374200,21,0
1472377200,34,225
1472377800,29,0
1472380200,5,4
1472380800,39,247
1472381400,27,0
1472383200,1,0
1472384400,43,271
1472385000,17,0
1472386800,8,4
1472388000,40,322
1472388600,13,0
1472391600,51,277
1472392200,2,0
1472394000,5,6
1472395200,34,258
1472395800,17,0
1472398800,46,308
1472399400,6,0
1472401200,2,7
1472402400,33,237
1472403000,5,0
1472406000,36,227
1472406600,5,0
1472408400,6,5
1472409600,42,324
1472410800,11,0
1472413200,32,327
1472413800,14,0
1472415600,5,3
1472416800,41,275
1472420400,27,291
1472422800,8,6
1472424000,46,218
1472427600,42,236
1472428200,5,0
1472430001,6,4
1472431200,15,283
1472431800,20,2
1472434800,42,293
1472437200,4,8
1472438400,56,289
1472439000,6,0
1472442000,108,321
1472442600,0,1
1472444400,7,3
1472445600,95,316
1472446200,39,0
1472449200,127,252
1472451600,5,5
1472452800,85,185
1472453400,29,0
1472456400,7,187
1472457000,118,0
1472458800,6,3
1472460000,69,195
1472460600,43,0
1472462400,2,0
1472463600,46,172
1472464200,78,0
1472466000,5,6
1472467200,107,213
1472467800,47,0
1472470800,151,221
1472471400,38,0
1472473200,5,5
1472474400,128,151
1472475001,80,0
1472478001,79,98
1472478601,119,0
1472480401,5,4
1472481601,82,112
1472482201,286,1
1472485201,128,104
1472485801,254,1
1472487601,6,6
1472490000,313,89
1472492400,82,87
1472493000,257,0
1472494800,6,4
1472496000,73,67
1472496600,175,0
1472499600,44,49
1472500200,177,0
1472502000,6,2
1472503200,68,55
1472503800,271,0
1472506800,42,69
1472507400,187,0
1472509200,5,4
1472510400,53,59
1472511000,152,0
1472514600,204,46
1472516400,1,2
1472517600,28,59
1472518200,158,0
1472521200,35,60
1472521800,173,0
1472523600,1,8
1472524800,58,74
1472525400,142,0
