DateTime,Entries,UniqueIPs
1472262001,12807,12807
1472262600,13059,13059
1472264400,13048,13048
1472265600,12903,12903
1472266200,13153,13153
1472269200,12986,12986
1472269800,13217,13217
1472271600,13216,13216
1472272800,13030,13030
1472273400,13316,13316
1472276400,13151,13151
1472277000,13417,13417
1472278800,13414,13414
1472280000,13211,13211
1472280600,13392,13392
1472283600,13114,13114
1472284200,13292,13292
1472286000,13294,13294
1472287200,13099,13099
1472287800,13251,13251
1472290800,13131,13131
1472291400,13308,13308
1472293200,13305,13305
1472294400,13197,13197
1472295000,13351,13351
1472298000,13251,13251
1472298600,13429,13429
1472300400,13432,13432
1472301600,13334,13334
1472302200,13510,13510
1472305200,13397,13397
1472305800,13530,13530
1472307600,13529,13529
1472308800,13398,13398
1472310000,13483,13483
1472312400,13404,13404
1472313000,13485,13485
1472314800,13481,13481
1472316000,13378,13378
1472316600,13445,13445
1472319600,13347,13347
1472320200,13423,13423
1472322000,13418,13418
1472323200,13321,13321
1472323800,13392,13392
1472326800,13298,13298
1472327400,13364,13364
1472329200,13362,13362
1472330400,13315,13315
1472331000,13353,13353
1472334000,13275,13275
1472334600,13307,13307
1472336400,13300,13300
1472337600,13187,13187
1472338200,13238,13238
1472341200,13107,13107
1472341800,13136,13136
1472343600,13143,13143
1472344800,12998,12998
1472345400,13045,13045
1472347200,13044,13044
1472348400,12910,12910
1472349000,12943,12943
1472350800,12935,12935
1472352000,12752,12752
1472352600,12793,12793
1472355600,12592,12592
1472356200,12637,12637
1472358000,12636,12636
1472359200,12407,12407
1472359800,12481,12481
1472362800,12287,12287
1472363400,12314,12314
1472365200,12315,12315
1472366400,12152,12152
1472367000,12182,12182
1472370000,12004,12004
1472370600,12066,12066
1472372400,12066,12066
1472373600,11871,11871
1472374200,11892,11892
1472377200,11701,11701
1472377800,11730,11730
1472380200,11731,11731
1472380800,11523,11523
1472381400,11550,11550
1472383200,11551,11551
1472384400,11323,11323
1472385000,11340,11340
1472386800,11344,11344
1472388000,11062,11062
1472388600,11075,11075
1472391600,10849,10849
1472392200,10851,10851
1472394000,10850,10850
1472395200,10626,10626
1472395800,10643,10643
1472398800,10381,10381
1472399400,10387,10387
1472401200,10382,10382
1472402400,10178,10178
1472403000,10183,10183
1472406000,9992,9992
1472406600,9997,9997
1472408400,9998,9998
1472409600,9716,9716
1472410800,9727,9727
1472413200,9432,9432
1472413800,9446,9446
1472415600,9448,9448
1472416800,9214,9214
1472420400,8950,8950
1472422800,8952,8952
1472424000,8780,8780
1472427600,8586,8586
1472428200,8591,8591
1472430001,8593,8593
1472431200,8325,8325
1472431800,8343,8343
1472434800,8092,8092
1472437200,8088,8088
1472438400,7855,7855
1472439000,7861,7861
1472442000,7648,7648
1472442600,7647,7647
1472444400,7651,7651
1472445600,7430,7430
1472446200,7469,7469
1472449200,7344,7344
1472451600,7344,7344
1472452800,7244,7244
1472453400,7273,7273
1472456400,7093,7093
1472457000,7211,7211
1472458800,7214,7214
1472460000,7088,7088
1472460600,7131,7131
1472462400,7133,7133
1472463600,7007,7007
1472464200,7085,7085
1472466000,7084,7084
1472467200,6978,6978
1472467800,7025,7025
1472470800,6955,6955
1472471400,6993,6993
1472473200,6993,6993
1472474400,6970,6970
1472475001,7050,7050
1472478001,7031,7031
1472478601,7150,7150
1472480401,7151,7151
1472481601,7121,7121
1472482201,7406,7406
1472485201,7430,7430
1472485801,7683,7683
1472487601,7683,7683
1472490000,7907,7907
1472492400,7902,7902
1472493000,8159,8159
1472494800,8161,8161
1472496000,8167,8167
1472496600,8342,8342
1472499600,8337,8337
1472500200,8514,8514
1472502000,8518,8518
1472503200,8531,8531
