DateTime,AddedIPs,RemovedIPs
1471312974,1,3
1471316573,4,7
1471318525,4,4
1471320173,0,5
1471323832,3,5
1471327370,2,0
1471329262,1,3
1471334569,6,2
1471338168,3,4
1471341768,3,5
1471345366,3,0
1471347318,2,2
1471352626,3,6
1471356163,3,0
1471358054,1,2
1471363370,1,2
1471366960,2,3
1471370560,6,2
1471374158,1,4
1471376049,5,0
1471381418,0,7
1471383309,2,0
1471388615,4,6
1471394106,2,2
1471395880,0,6
1471399414,1,0
1471402951,6,5
1471406550,4,9
1471410148,3,2
1471412101,3,3
1471417408,3,6
1471420946,1,3
1471422898,2,0
1471428145,4,6
1471431810,2,0
1471435342,3,3
1471439002,1,3
1471442729,0,2
1471446201,2,0
1471449739,1,1
1471451690,1,0
1471453399,0,1
1471457203,5,0
1471460596,3,0
1471464135,2,5
1471467795,1,6
1471469807,2,0
1471474992,4,6
1471478594,3,3
1471480482,4,0
1471485789,2,5
1471489205,4,0
1471489388,0,3
1471492987,5,5
1471496592,2,4
1471498599,1,0
1471503785,3,8
1471507384,3,3
1471509335,1,0
1471510993,0,3
1471514582,2,2
1471518179,2,0
1471521779,2,2
1471525379,2,1
1471527452,1,5
1471529039,0,4
1471532577,0,1
1471536175,1,0
1471539774,2,3
1471544524,2,0
1471547026,2,3
1471550565,1,0
1471552455,5,2
1471557763,6,5
1471561361,2,0
1471562642,4,6
1471568559,0,4
1471570633,0,1
1471572219,0,8
1471575818,5,1
1471579417,0,4
1471580698,2,0
1471586616,3,8
1471590215,3,4
1471591495,5,0
1471597351,3,2
1471599425,2,0
1471604549,1,4
1471608148,1,4
1471609673,2,0
1471611748,0,4
1471619006,0,2
1471622605,1,0
1471626204,1,6
1471627424,6,0
1471633402,1,6
1471636940,3,0
1471638221,3,3
1471644139,1,1
1471647799,5,5
1471649018,3,1
1471654996,2,3
1471658594,1,6
1471659876,4,0
1471665734,2,4
1471669392,3,7
1471670674,3,0
1471672991,0,1
1471676591,2,7
1471680128,1,0
1471681471,4,0
1471687387,2,1
1471690986,0,3
1471692267,1,0
1471698184,1,5
1471701784,0,3
1471703125,2,0
1471708981,1,5
1471711177,4,0
1471712579,0,1
1471716178,2,1
