DateTime,Entries,UniqueIPs
1471276984,1482,1529
1471280584,1480,1527
1471282413,1478,1525
1471287781,1477,1524
1471289672,1478,1525
1471291554,1475,1522
1471294980,1476,1522
1471298579,1479,1525
1471300408,1480,1525
1471305777,1477,1522
1471309376,1478,1523
1471312974,1476,1521
1471316573,1480,1525
1471318525,1480,1525
1471320173,1477,1522
1471323832,1478,1523
1471327370,1480,1525
1471329262,1474,1519
1471334569,1475,1520
1471338168,1478,1523
1471341768,1476,1521
1471345366,1478,1523
1471347318,1479,1524
1471352626,1481,1526
1471356163,1482,1527
1471358054,1484,1529
1471363370,1483,1528
1471366960,1479,1524
1471370560,1485,1530
1471374158,1479,1524
1471376049,1484,1529
1471381418,1479,1524
1471383309,1481,1526
1471385017,1477,1522
1471388615,1481,1526
1471392154,1477,1523
1471394106,1476,1522
1471395880,1472,1518
1471399414,1470,1516
1471402951,1476,1522
1471406550,1473,1519
1471410148,1476,1522
1471412101,1467,1513
1471417408,1467,1512
1471420946,1469,1514
1471422898,1465,1510
1471428145,1467,1512
1471431810,1470,1515
1471435342,1470,1515
1471439002,1467,1510
1471446201,1466,1509
1471449739,1463,1506
1471451690,1465,1508
1471457203,1468,1511
1471460596,1467,1510
1471464135,1466,1509
1471467795,1464,1507
1471469807,1462,1505
1471474992,1465,1508
1471478594,1459,1502
1471480482,1463,1506
1471482190,1463,1507
1471485789,1459,1503
1471489205,1463,1507
1471489388,1462,1505
1471492987,1463,1506
1471496592,1460,1503
1471498599,1461,1504
1471500313,1457,1500
1471503785,1457,1500
1471507384,1458,1501
1471509335,1459,1502
1471510993,1457,1500
1471514582,1456,1499
1471518179,1458,1501
1471521779,1458,1501
1471525379,1459,1502
1471527452,1458,1501
1471532577,1455,1498
1471536175,1456,1499
1471539774,1453,1496
1471544524,1453,1496
1471547026,1463,1506
1471550565,1463,1506
1471552455,1469,1512
1471557763,1464,1507
1471561361,1466,1509
1471562642,1468,1511
1471568559,1464,1507
1471570633,1461,1504
1471572219,1459,1502
1471575818,1457,1500
1471579417,1454,1497
1471580698,1456,1499
1471586616,1451,1494
1471590215,1451,1494
1471591495,1456,1499
1471597351,1451,1494
1471599425,1454,1497
1471604549,1452,1495
1471608148,1450,1493
1471609673,1454,1497
1471611748,1451,1494
1471619006,1449,1492
1471622605,1450,1493
1471626204,1446,1489
1471627424,1452,1495
1471633402,1451,1494
1471636940,1452,1495
1471638221,1454,1497
1471644139,1449,1492
1471647799,1454,1497
1471649018,1455,1498
1471654996,1454,1497
1471658594,1451,1495
1471659876,1455,1499
1471662194,1452,1496
1471665734,1446,1490
1471669392,1447,1490
1471670674,1450,1493
1471676591,1448,1491
1471680128,1449,1492
1471681471,1451,1494
1471687387,1453,1496
1471690986,1449,1492
1471692267,1449,1492
1471698184,1439,1482
1471703125,1441,1484
1471708981,1439,1482
1471711177,1443,1486
1471716178,1439,1482
1471719777,1440,1483
1471723377,1438,1481
1471726976,1437,1481
1471730635,1439,1483
1471732100,1441,1485
1471734173,1440,1484
1471737774,1440,1484
1471741373,1439,1483
1471742897,1443,1487
1471748570,1446,1490
1471752170,1441,1485
1471753694,1443,1487
1471759368,1439,1483
1471762966,1439,1483
1471764491,1440,1484
1471770225,1437,1481
1471773764,1436,1480
1471775288,1439,1483
1471781023,1441,1485
1471784622,1447,1491
1471786086,1448,1492
