DateTime,Entries,UniqueIPs
1471289672,1027,1027
1471291554,1024,1024
1471294980,1027,1027
1471298579,1028,1028
1471300408,1031,1031
1471305777,1030,1030
1471309376,1028,1028
1471312974,1023,1023
1471316573,1025,1025
1471318525,1024,1024
1471323832,1023,1023
1471327370,1024,1024
1471329262,1024,1024
1471334569,1029,1029
1471338168,1033,1033
1471341768,1035,1035
1471345366,1032,1032
1471347318,1033,1033
1471352626,1035,1035
1471356163,1034,1034
1471358054,1036,1036
1471363370,1033,1033
1471366960,1034,1034
1471370560,1035,1035
1471374158,1035,1035
1471376049,1034,1034
1471383309,1034,1034
1471388615,1034,1034
1471392154,1034,1034
1471394106,1037,1037
1471399414,1035,1035
1471402951,1038,1038
1471406550,1038,1038
1471410148,1036,1036
1471412101,1034,1034
1471417408,1037,1037
1471420946,1032,1032
1471422898,1033,1033
1471428145,1035,1035
1471431810,1033,1033
1471435342,1034,1034
1471439002,1033,1033
1471440954,1029,1029
1471442729,1028,1028
1471446201,1024,1024
1471449739,1025,1025
1471451690,1025,1025
1471453399,1023,1023
1471457203,1028,1028
1471460596,1030,1030
1471464135,1034,1034
1471467795,1035,1035
1471469807,1032,1032
1471474992,1033,1033
1471478594,1030,1030
1471480482,1028,1028
1471482190,1029,1029
1471485789,1029,1029
1471489205,1031,1031
1471489388,1030,1030
1471492987,1027,1027
1471496592,1027,1027
1471498599,1028,1028
1471500313,1026,1026
1471503785,1026,1026
1471507384,1021,1021
1471509335,1022,1022
1471514582,1019,1019
1471518179,1020,1020
1471521779,1020,1020
1471525379,1021,1021
1471527452,1022,1022
1471532577,1023,1023
1471536175,1020,1020
1471539774,1022,1022
1471543374,1018,1018
1471544524,1021,1021
1471547026,1037,1037
1471550565,1038,1038
1471552455,1040,1040
1471557763,1044,1044
1471561361,1044,1044
1471562642,1045,1045
1471568559,1044,1044
1471570633,1041,1041
1471575818,1039,1039
1471579417,1039,1039
1471580698,1039,1039
1471586616,1039,1039
1471590215,1039,1039
1471591495,1040,1040
1471597351,1039,1039
1471599425,1039,1039
1471601011,1038,1038
1471604549,1040,1040
1471608148,1040,1040
1471609673,1043,1043
1471615346,1040,1040
1471619006,1039,1039
1471622605,1033,1033
1471626204,1032,1032
1471627424,1038,1038
1471633402,1038,1038
1471636940,1036,1036
1471638221,1029,1029
1471644139,1029,1029
1471647799,1029,1029
1471649018,1032,1032
1471651397,1030,1030
1471654996,1032,1032
1471658594,1032,1032
1471659876,1030,1030
1471665734,1029,1029
1471669392,1028,1028
1471670674,1028,1028
1471676591,1031,1031
1471680128,1029,1029
1471681471,1029,1029
1471687387,1024,1024
1471690986,1023,1023
1471692267,1023,1023
1471694586,1022,1022
1471698184,1022,1022
1471701784,1019,1019
1471703125,1022,1022
1471708981,1021,1021
1471711177,1019,1019
1471716178,1019,1019
1471719777,1018,1018
1471721242,1017,1017
1471723377,1015,1015
1471726976,1013,1013
1471730635,1014,1014
1471732100,1016,1016
1471737774,1017,1017
1471741373,1020,1020
1471742897,1026,1026
1471748570,1028,1028
1471752170,1027,1027
1471753694,1028,1028
1471755829,1026,1026
1471759368,1027,1027
1471762966,1027,1027
1471764491,1026,1026
1471766565,1023,1023
1471770225,1023,1023
1471773764,1024,1024
1471775288,1025,1025
1471781023,1026,1026
1471784622,1030,1030
1471786086,1033,1033
1471788221,1032,1032
1471791758,1032,1032
1471795419,1031,1031
1471796882,1035,1035
1471799018,1033,1033
1471802556,1032,1032
1471806156,1033,1033
1471807680,1035,1035
1471813353,1034,1034
1471816951,1034,1034
1471818476,1035,1035
1471820611,1031,1031
1471824156,1033,1033
1471827748,1032,1032
1471829212,1031,1031
1471835007,1030,1030
1471838606,1029,1029
1471840071,1030,1030
1471845805,1031,1031
1471849403,1032,1032
1471850867,1034,1034
1471853003,1034,1034
1471860201,1033,1033
1471861665,1032,1032
1471867400,1031,1031
1471870944,1033,1033
1471872462,1033,1033
1471878196,1032,1032
1471881735,1033,1033
1471883259,1033,1033
1471888994,1035,1035
1471892592,1040,1040
1471894117,1039,1039
1471899729,1037,1037
1471903392,1035,1035
1471904914,1038,1038
1471910587,1041,1041
1471914187,1041,1041
1471915711,1038,1038
1471921384,1039,1039
1471924983,1035,1035
1471926447,1037,1037
1471932181,1034,1034
1471935780,1032,1032
1471937244,1033,1033
1471939380,1032,1032
1471942978,1032,1032
1471946577,1032,1032
1471948041,1032,1032
1471953776,1029,1029
1471957435,1027,1027
1471958960,1024,1024
1471964578,1022,1022
1471968354,1021,1021
1471971771,1024,1024
1471975368,1024,1024
1471976832,1022,1022
1471982568,1025,1025
1471986226,1023,1023
1471993424,1019,1019
1471995681,1024,1024
1472000622,1021,1021
1472004160,1024,1024
1472007760,1022,1022
1472011420,1021,1021
1472014958,1024,1024
1472017276,1024,1024
1472022156,1025,1025
1472025755,1024,1024
1472029353,1022,1022
1472033014,1020,1020
1472036551,1022,1022
1472040151,1021,1021
1472043750,1021,1021
1472047410,1022,1022
1472051009,1022,1022
1472054546,1026,1026
1472058206,1023,1023
1472061847,1019,1019
1472065405,1016,1016
1472069004,1017,1017
1472072542,1018,1018
1472076204,1017,1017
1472079801,1019,1019
1472082851,1019,1019
1472083400,1018,1018
1472087000,1018,1018
1472090598,1017,1017
1472092123,1017,1017
1472097737,1014,1014
1472101394,1013,1013
1472102859,1015,1015
1472104993,1013,1013
1472108595,1015,1015
1472112194,1016,1016
1472113718,1017,1017
1472115792,1016,1016
1472119392,1017,1017
1472122990,1019,1019
1472125003,1022,1022
1472126589,1021,1021
1472130188,1024,1024
1472133787,1025,1025
1472135800,1026,1026
1472140923,1029,1029
1472144583,1028,1028
1472146352,1034,1034
1472151781,1034,1034
1472155380,1036,1036
1472156844,1036,1036
1472158979,1035,1035
1472162578,1034,1034
1472166178,1028,1028
1472167641,1026,1026
1472173376,1026,1026
1472176974,1025,1025
1472178499,1024,1024
1472180573,1022,1022
1472184172,1021,1021
1472187771,1021,1021
1472189785,1017,1017
1472194969,1015,1015
1472198629,1017,1017
1472205767,1015,1015
1472209366,1016,1016
1472210890,1016,1016
1472216572,1029,1029
1472220169,1031,1031
1472221688,1030,1030
1472223761,1029,1029
1472227360,1030,1030
1472230960,1032,1032
1472232484,1031,1031
1472234620,1029,1029
1472238158,1032,1032
1472241758,1026,1026
1472243587,1029,1029
1472245417,1028,1028
1472248954,1031,1031
1472252555,1030,1030
1472254688,1026,1026
1472259813,1021,1021
1472263411,1023,1023
1472264875,1023,1023
1472267011,1022,1022
1472270548,1021,1021
1472274209,1022,1022
1472275673,1023,1023
1472281406,1015,1015
1472284944,1015,1015
1472286470,1016,1016
1472292205,1013,1013
1472295742,1013,1013
1472297267,1012,1012
1472303001,1004,1004
1472306601,1003,1003
1472308125,1004,1004
1472313799,1001,1001
1472317335,1003,1003
1472319471,998,998
1472324596,995,995
1472328134,994,994
1472330329,994,994
1472335392,994,994
1472338992,997,997
1472340577,1002,1002
1472346189,1005,1005
1472349790,1004,1004
1472351923,1004,1004
1472356986,1000,1000
1472360585,1010,1010
1472362110,1009,1009
1472367784,1009,1009
1472371383,1007,1007
1472373212,1010,1010
1472378581,1011,1011
1472382179,1011,1011
1472384253,1011,1011
1472389376,1016,1016
1472392976,1016,1016
1472394501,1017,1017
1472400181,1018,1018
1472403775,1020,1020
1472405908,1020,1020
1472410970,1021,1021
1472414569,1020,1020
1472416705,1022,1022
1472421773,1025,1025
1472425429,1021,1021
1472426892,1022,1022
1472432566,1021,1021
1472436163,1020,1020
1472438055,1022,1022
1472443361,1025,1025
1472446961,1024,1024
1472449096,1025,1025
1472450621,1024,1024
1472454158,1025,1025
1472457818,1024,1024
1472459405,1025,1025
1472465017,1023,1023
1472468563,1028,1028
1472470751,1029,1029
1472475752,1030,1030
1472479413,1028,1028
1472480877,1028,1028
1472483012,1027,1027
1472486550,1030,1030
1472490210,1029,1029
1472491735,1035,1035
1472497346,1036,1036
1472500946,1036,1036
1472502471,1031,1031
1472508145,1033,1033
1472511805,1033,1033
1472513329,1031,1031
1472519002,1031,1031
1472522601,1028,1028
1472524065,1028,1028
1472529737,1027,1027
1472533399,1023,1023
1472534923,1021,1021
1472540598,1021,1021
1472544196,1022,1022
1472545721,1021,1021
1472551394,1020,1020
1472554994,1017,1017
1472556518,1020,1020
1472562191,1021,1021
1472565789,1022,1022
1472567315,1022,1022
1472572988,1020,1020
1472576527,1020,1020
1472578112,1019,1019
1472580186,1017,1017
1472583785,1013,1013
1472587383,1015,1015
1472588909,1019,1019
1472590984,1018,1018
1472594583,1018,1018
1472598188,1016,1016
1472599773,1019,1019
1472605385,1021,1021
1472608985,1023,1023
1472610509,1025,1025
1472612584,1024,1024
1472616182,1023,1023
1472619781,1021,1021
1472621306,1021,1021
1472626979,1023,1023
1472630578,1022,1022
1472632105,1023,1023
1472637777,1022,1022
1472641375,1022,1022
1472642900,1023,1023
1472648573,1022,1022
1472652235,1021,1021
1472653759,1022,1022
1472659371,1023,1023
1472663032,1021,1021
1472664556,1024,1024
1472670229,1022,1022
1472673767,1025,1025
1472677366,1024,1024
1472680966,1025,1025
1472684625,1023,1023
1472688164,1028,1028
1472691763,1030,1030
1472695423,1036,1036
1472698961,1036,1036
1472702620,1037,1037
1472705060,1038,1038
1472709757,1038,1038
1472713419,1035,1035
1472716284,1036,1036
1472720615,1037,1037
1472724215,1039,1039
1472726898,1040,1040
1472727820,1038,1038
1472731351,1040,1040
1472735023,1037,1037
1472742209,1035,1035
1472745824,1037,1037
1472748065,1039,1039
1472752944,1039,1039
1472756543,1041,1041
1472758739,1041,1041
1472760203,1036,1036
1472763803,1035,1035
1472767401,1036,1036
1472769536,1037,1037
1472774600,1034,1034
1472778199,1032,1032
1472779967,1033,1033
1472785335,1033,1033
1472788996,1032,1032
1472791008,1027,1027
1472796193,1028,1028
1472799733,1027,1027
1472802050,1029,1029
1472803392,1028,1028
1472806991,1028,1028
1472810590,1031,1031
1472812786,1033,1033
1472817788,1035,1035
1472821386,1036,1036
1472823583,1028,1028
1472828584,1027,1027
1472832183,1029,1029
1472834441,1028,1028
1472839383,1023,1023
1472842982,1019,1019
1472844811,1023,1023
1472850178,1024,1024
1472853777,1023,1023
1472855974,1023,1023
1472860975,1024,1024
1472864636,1023,1023
1472866771,1025,1025
1472871834,1022,1022
1472875373,1021,1021
1472877629,1019,1019
1472882570,1020,1020
1472886169,1020,1020
1472888426,1019,1019
1472893366,1020,1020
1472896966,1020,1020
1472899222,1018,1018
1472904163,1019,1019
1472907762,1016,1016
1472909653,1014,1014
1472915021,1014,1014
1472918559,1017,1017
1472920816,1016,1016
1472925757,1012,1012
1472929356,1012,1012
1472931613,1014,1014
1472936616,1010,1010
1472940214,1011,1011
1472942410,1013,1013
1472947412,1015,1015
1472950951,1018,1018
1472953207,1018,1018
1472954610,1015,1015
1472958149,1015,1015
1472961747,1012,1012
1472964004,1011,1011
1472968945,1010,1010
1472972605,1008,1008
