DateTime,Entries,UniqueIPs
1470205024,612,612
1470208624,614,614
1470212225,614,614
1470215824,612,612
1470219426,617,617
1470223024,624,624
1470226624,623,623
1470233826,622,622
1470237425,624,624
1470241027,814,814
1470244627,865,865
1470248226,865,865
1470251826,866,866
1470255427,815,815
1470259026,805,805
1470262625,787,787
1470266225,764,764
1470269825,743,743
1470273426,722,722
1470277025,682,682
1470280624,649,649
1470284225,559,559
1470287825,409,409
1470291423,275,275
1470295023,274,274
1470298623,276,276
1470302223,277,277
1470305823,274,274
1470309423,259,259
1470313024,261,261
1470316623,268,268
1470320222,267,267
1470323822,265,265
1470327422,73,73
1470331022,27,27
1470334622,26,26
1470338221,26,26
1470341822,25,25
1470349022,26,26
1470359822,25,25
1470367022,26,26
1470374222,41,41
1470377823,58,58
1470381422,73,73
1470385023,74,74
1470388622,75,75
1470395823,74,74
1470399422,73,73
1470403022,67,67
1470406623,66,66
1470410222,67,67
1470413823,68,68
1470417422,66,66
1470424623,65,65
1470431822,64,64
1470435423,63,63
1470439022,64,64
1470449822,63,63
1470453423,62,62
1470460622,48,48
1470464222,29,29
1470467821,14,14
1470471422,10,10
1470475021,8,8
1470478622,7,7
1470485822,6,6
1470489422,4,4
1470493022,3,3
1470496621,3,3
1470500221,3,3
1470532622,4,4
1470557821,5,5
1470568621,4,4
1470583022,3,3
1470586622,2,2
1470590221,3,3
1470593821,4,4
1470597422,5,5
1470604622,6,6
1470615421,9,9
1470619022,8,8
1470622622,9,9
1470629822,10,10
1470633422,13,13
1470637022,14,14
1470640621,16,16
1470651421,15,15
1470673323,17,17
1470676923,17,17
1470680523,16,16
1470687723,15,15
1470691323,14,14
1470698523,15,15
1470702122,14,14
1470705723,15,15
1470709323,15,15
1470720123,12,12
1470723723,11,11
1470727323,9,9
1470730923,11,11
1470734523,12,12
1470738122,11,11
1470748923,26,26
1470756123,26,26
1470759723,25,25
1470770523,27,27
1470774124,26,26
1470784923,25,25
1470788523,24,24
1470792123,23,23
1470795723,23,23
1470802923,24,24
1470810123,26,26
1470813723,29,29
1470817323,28,28
1470820923,29,29
1470824523,31,31
1470828422,30,30
1470832022,29,29
1470835621,15,15
1470842821,14,14
1470846421,15,15
1470853622,14,14
1470857222,13,13
1470875523,12,12
1470889923,11,11
1470893523,12,12
1470897122,12,12
1470900723,9,9
1470904323,9,9
1470907923,7,7
1470911523,7,7
1470915123,10,10
1470922323,11,11
1470929523,11,11
1470933123,12,12
1470965523,14,14
1470976621,15,15
1470980222,14,14
1470983822,13,13
1470987422,14,14
1470994622,11,11
1470998221,10,10
1471001821,8,8
1471005422,11,11
1471009022,33,33
1471012622,35,35
1471016222,36,36
1471019822,35,35
1471041421,36,36
1471052221,35,35
1471059421,36,36
1471063022,34,34
1471073822,32,32
1471084622,33,33
1471088222,34,34
1471091822,35,35
1471095422,11,11
1471099022,7,7
1471102622,5,5
1471120621,6,6
1471146123,5,5
1471160523,6,6
1471171323,4,4
1471174923,3,3
1471178523,2,2
1471203723,3,3
1471207323,2,2
1471214523,3,3
1471221723,4,4
1471228923,6,6
1471232523,7,7
1471236123,8,8
1471243323,9,9
1471246922,10,10
1471250523,14,14
1471257723,15,15
1471261323,17,17
1471268523,18,18
1471275723,19,19
1471290124,18,18
1471293722,19,19
1471308122,18,18
1471315323,18,18
1471318923,17,17
1471329723,15,15
1471333322,14,14
1471336922,14,14
1471340523,13,13
1471344123,12,12
1471347723,10,10
1471351322,13,13
1471354923,13,13
1471369323,12,12
1471380123,10,10
1471383722,11,11
1471398123,12,12
1471401723,10,10
1471405323,11,11
1471412523,12,12
1471419723,11,11
1471426922,11,11
1471430523,11,11
1471434123,12,12
1471437723,11,11
1471441323,11,11
1471448524,12,12
1471452123,12,12
1471455722,14,14
1471462923,16,16
1471466524,17,17
1471470123,18,18
1471473723,17,17
1471480923,18,18
1471484522,17,17
1471488123,18,18
1471491723,17,17
1471495323,17,17
1471509723,18,18
1471513323,18,18
1471516923,17,17
1471520523,17,17
1471527723,15,15
1471534922,14,14
1471538523,13,13
1471542123,12,12
1471549323,10,10
1471552923,9,9
1471556523,7,7
1471563722,8,8
1471567323,8,8
1471574522,9,9
1471578122,10,10
1471581723,9,9
1471585322,9,9
1471599723,9,9
1471606923,7,7
1471650123,5,5
1471653723,4,4
1471660922,3,3
1471664523,2,2
1471671723,1,1
1471815723,1,1
1471822923,2,2
1471840923,3,3
1471844523,5,5
1471855323,7,7
1471858923,8,8
1471862523,9,9
1471866123,10,10
1471869723,13,13
1471873323,18,18
1471887723,19,19
1471894923,33,33
1471909323,32,32
1471916523,34,34
1471923723,35,35
1471927323,37,37
1471930923,36,36
1471934523,36,36
1471941724,56,56
1471945325,86,86
1471948925,103,103
1471952525,123,123
1471956125,131,131
1471959725,137,137
1471963326,240,240
1471966926,241,241
1471970525,242,242
1471974125,243,243
1471981325,230,230
1471988525,232,232
1472002925,232,232
1472006525,231,231
1472010126,230,230
1472013726,229,229
1472017326,229,229
1472020926,228,228
1472024524,229,229
1472028125,209,209
1472031725,180,180
1472035323,161,161
1472038925,140,140
1472042523,130,130
1472046124,121,121
1472049724,31,31
1472053324,60,60
1472056924,105,105
1472060524,151,151
1472064126,295,295
1472067727,516,516
1472071328,671,671
1472074929,844,844
1472078529,1001,1001
1472082129,1116,1116
1472085731,1316,1316
1472089330,1535,1535
1472092932,1744,1744
1472096533,1958,1958
1472100135,2130,2130
1472103736,2321,2321
1472107336,2436,2436
1472110937,2491,2491
1472114536,2563,2563
1472118137,2564,2564
1472121737,2563,2563
1472125336,2563,2563
1472128933,2565,2565
1472132537,2563,2563
1472136133,2553,2553
1472139736,2533,2533
1472143335,2510,2510
1472146937,2492,2492
1472150535,2395,2395
1472154135,2190,2190
1472157731,2040,2040
1472161333,1874,1874
1472164930,1721,1721
1472168532,1603,1603
1472172131,1398,1398
1472175729,1175,1175
1472179330,961,961
1472182927,745,745
1472186525,569,569
1472190125,377,377
1472193725,260,260
1472197324,202,202
1472200924,123,123
1472204524,120,120
1472208125,338,338
1472211726,486,486
1472215328,666,666
1472218927,806,806
1472222527,805,805
1472226128,792,792
1472229727,771,771
1472233327,744,744
1472236926,705,705
1472240527,695,695
1472258526,694,694
1472262126,692,692
1472276528,693,693
1472283726,695,695
1472290926,694,694
1472294525,477,477
1472298125,330,330
1472301724,147,147
1472305323,5,5
1472316123,4,4
1472337723,5,5
1472366523,6,6
1472370122,4,4
1472388123,3,3
1472409722,2,2
1472428021,3,3
1472431621,4,4
1472435222,3,3
1472438821,4,4
1472442422,5,5
1472446021,8,8
1472453221,8,8
1472460422,10,10
1472464021,14,14
1472467622,17,17
1472471221,24,24
1472474822,68,68
1472478423,188,188
1472482024,348,348
1472485625,473,473
1472489225,627,627
1472492825,628,628
1472496424,630,630
1472500027,1055,1055
1472503629,1294,1294
1472507228,1483,1483
1472510829,1640,1640
1472514731,1778,1778
1472518333,1990,1990
1472521935,2261,2261
1472525535,2458,2458
1472529137,2697,2697
1472532736,2852,2852
1472536338,3000,3000
1472539935,3041,3041
1472543534,3043,3043
1472547134,3044,3044
1472550739,3100,3100
1472554334,3100,3100
1472557934,3094,3094
1472561540,3133,3133
1472565141,3366,3366
1472568743,3411,3411
1472572339,3459,3459
1472575934,3315,3315
1472579541,3422,3422
1472583142,3854,3854
1472586740,3665,3665
1472590340,3535,3535
1472593940,3426,3426
1472597541,3366,3366
1472601141,3308,3308
1472604739,3238,3238
1472608339,3116,3116
1472611939,3029,3029
1472615537,2799,2799
1472619137,2696,2696
1472622736,2640,2640
1472626332,2629,2629
1472629933,2630,2630
1472633533,2629,2629
1472637133,2569,2569
1472640736,2569,2569
1472647935,2512,2512
1472651535,2233,2233
1472655135,2120,2120
1472658734,2076,2076
1472662336,2097,2097
1472665935,2062,2062
1472669533,1843,1843
1472673133,1767,1767
1472676734,1811,1811
1472680334,1834,1834
1472683934,1842,1842
1472687832,1875,1875
1472691431,1858,1858
1472695032,1847,1847
