DateTime,Entries,UniqueIPs
1469363581,572,590
1469370781,571,589
1469381582,569,587
1469399581,568,586
1469406781,569,587
1469410381,567,585
1469428381,568,586
1469439181,567,585
1469460782,565,581
1469467981,564,580
1469475181,563,579
1469482381,563,580
1469485981,564,581
1469489581,566,583
1469500381,565,582
1469503981,564,581
1469514781,565,582
1469518381,562,579
1469525581,563,580
1469532781,564,581
1469543581,563,580
1469550781,564,581
1469557981,563,579
1469565181,559,574
1469572381,561,576
1469583182,562,577
1469590381,561,576
1469604781,561,577
1469615581,559,575
1469619181,560,576
1469626381,562,579
1469629981,562,579
1469644381,565,582
1469651581,566,583
1469658781,564,581
1469662381,563,580
1469676781,561,578
1469687581,564,581
1469694781,564,582
1469698382,562,580
1469701981,563,581
1469705582,566,584
1469712781,564,582
1469723581,565,583
1469730781,566,584
1469734381,565,583
1469737981,567,585
1469741581,565,583
1469745181,568,586
1469748781,568,586
1469752382,569,587
1469755981,568,586
1469759581,569,587
1469763181,567,585
1469766781,569,587
1469770381,568,586
1469773981,569,587
1469777584,568,586
1469781182,569,587
1469784781,567,585
1469788381,565,583
1469799181,563,581
1469806381,564,582
1469820782,562,580
1469824381,562,582
1469831581,562,582
1469838781,561,581
1469845981,562,582
1469849581,560,580
1469860381,559,579
1469867581,561,581
1469871181,560,580
1469881981,561,581
1469892781,562,582
1469896382,561,581
1469899981,563,583
1469903581,564,584
1469921581,566,586
1469928781,565,585
1469939581,566,586
1469946781,569,589
1469950381,567,587
1469953981,567,588
1469957582,567,589
1469961181,566,588
1469964781,568,590
1469968381,568,590
1469979182,567,589
1469982781,570,592
1469986381,569,591
1469989981,572,594
1470000782,575,597
1470007981,572,594
1470011581,573,595
1470018781,574,596
1470022381,575,597
1470040381,576,598
1470043981,575,597
1470051181,577,599
1470058381,577,599
1470061981,576,598
1470069181,577,599
1470072781,576,598
1470079982,580,602
1470083581,581,603
1470087181,580,602
1470097981,582,604
1470101581,582,604
1470115981,581,602
1470126781,581,603
1470133981,582,605
1470137582,580,604
1470155581,583,608
1470159181,582,607
1470166381,582,607
1470177181,581,606
1470184381,582,608
1470187981,583,609
1470198781,582,608
1470209583,581,607
1470213182,579,605
1470220381,578,604
1470231181,577,603
1470234781,578,604
1470241981,579,605
1470245581,577,603
1470252781,576,602
1470259981,574,600
1470263581,575,601
1470270781,575,601
1470277981,576,602
1470292381,577,603
1470306781,576,602
1470310381,577,606
1470321181,576,605
1470335582,578,607
1470339181,580,609
1470346381,579,608
1470349981,581,610
1470353581,582,611
1470360781,583,612
1470364382,584,613
1470375181,585,614
1470382381,585,614
1470385981,587,616
1470396781,588,617
